Date,Open,High,Low,Close,Volume
25-May-12,29.14,29.36,28.89,28.99,8961455
24-May-12,29.41,29.69,28.79,29.41,16024606
23-May-12,29.02,29.43,28.41,29.26,15231174
22-May-12,29.46,29.98,29.06,29.33,9791392
21-May-12,28.70,29.66,28.33,29.44,13010186
18-May-12,28.59,28.96,27.89,28.33,20420473
17-May-12,29.96,30.16,28.34,28.47,34938982
16-May-12,31.15,31.36,30.34,30.45,18006091
15-May-12,31.20,31.48,30.34,30.96,16716024
14-May-12,31.70,31.83,31.19,31.30,18495702
11-May-12,31.65,32.26,31.52,31.75,19160018
10-May-12,32.39,32.55,32.05,32.14,16676387
9-May-12,31.46,32.15,31.40,31.83,25773759
8-May-12,32.19,32.25,31.05,31.70,40592836
7-May-12,30.50,31.97,30.46,31.84,155232728
4-May-12,32.88,33.20,31.76,32.83,23831146
3-May-12,35.04,35.05,34.00,34.14,14126896
2-May-12,34.21,34.87,33.80,34.76,8687920
1-May-12,34.25,35.04,34.00,34.34,9603149
30-Apr-12,34.44,34.54,33.62,34.03,9941875
27-Apr-12,33.86,34.91,33.41,34.46,12806928
26-Apr-12,32.68,33.96,32.46,33.71,13590280
25-Apr-12,32.73,33.22,32.21,32.83,8892504
24-Apr-12,32.07,32.57,31.83,32.40,6673350
23-Apr-12,31.57,32.13,31.30,32.09,7957137
20-Apr-12,32.58,32.74,31.95,32.06,8498526
19-Apr-12,32.51,32.80,32.01,32.27,9500167
18-Apr-12,33.12,33.15,32.42,32.59,9085182
17-Apr-12,33.05,33.26,32.48,32.72,9402638
16-Apr-12,32.82,33.12,32.11,32.81,8216311
13-Apr-12,33.03,33.07,32.43,32.48,10232883
12-Apr-12,32.02,33.34,31.91,33.23,20276387
11-Apr-12,31.77,32.02,31.60,31.87,10173057
10-Apr-12,32.57,32.80,31.02,31.24,21010174
9-Apr-12,32.40,32.59,31.93,31.99,12638356
5-Apr-12,32.40,33.44,32.15,32.89,18230740
4-Apr-12,31.12,32.99,30.92,32.52,38383822
3-Apr-12,31.41,31.41,30.37,30.87,13923569
2-Apr-12,30.85,31.29,30.45,31.17,16757654
30-Mar-12,30.22,30.92,30.10,30.83,19841322
29-Mar-12,29.39,30.01,29.10,29.94,12477145
28-Mar-12,29.73,30.13,29.28,29.70,14986558
27-Mar-12,29.37,30.45,29.16,29.67,28535081
26-Mar-12,28.75,29.20,28.54,29.06,18982681
23-Mar-12,28.25,28.32,27.98,28.27,8350891
22-Mar-12,28.17,28.30,27.71,27.98,10422278
21-Mar-12,28.46,28.65,28.15,28.49,11103286
20-Mar-12,27.69,28.47,27.60,28.32,15772106
19-Mar-12,27.99,28.03,27.70,27.80,10576753
16-Mar-12,28.10,28.38,27.89,28.03,11433414
15-Mar-12,28.30,28.38,28.05,28.08,13304894
14-Mar-12,28.34,28.51,28.17,28.25,11863193
13-Mar-12,28.28,28.50,27.93,28.40,13496328
12-Mar-12,28.37,28.41,27.88,28.15,11444964
9-Mar-12,28.45,28.68,28.23,28.25,23339673
8-Mar-12,28.59,28.78,28.31,28.31,78004011
7-Mar-12,29.26,29.92,29.12,29.45,9158656
6-Mar-12,29.63,29.84,28.85,29.05,11486116
5-Mar-12,29.65,31.30,29.49,30.39,14492164
2-Mar-12,29.66,29.87,28.43,29.80,11832895
1-Mar-12,29.39,29.99,29.26,29.45,6684015
29-Feb-12,29.13,29.59,28.72,29.22,7314528
28-Feb-12,28.67,29.09,28.56,28.96,9741255
27-Feb-12,28.35,28.79,28.02,28.66,7526584
24-Feb-12,29.82,30.09,28.00,28.41,18346158
23-Feb-12,27.82,28.10,27.48,27.99,7850516
22-Feb-12,27.44,27.94,27.22,27.67,6633854
21-Feb-12,27.30,27.55,27.10,27.33,3838948
17-Feb-12,27.34,27.39,27.04,27.23,2970980
16-Feb-12,26.56,27.30,26.48,27.28,4927476
15-Feb-12,26.73,26.93,26.41,26.49,3475100
14-Feb-12,26.71,26.80,26.24,26.60,3779880
13-Feb-12,27.06,27.40,26.76,26.82,3529713
10-Feb-12,26.93,26.97,26.50,26.66,4104000
9-Feb-12,27.11,27.80,27.10,27.35,5493079
8-Feb-12,26.75,27.13,26.54,27.04,4609531
7-Feb-12,26.97,27.01,26.56,26.70,4244644
6-Feb-12,27.00,27.02,26.52,26.80,4810304
3-Feb-12,26.76,27.69,26.72,27.17,9315223
2-Feb-12,26.73,26.79,26.09,26.31,5008591
1-Feb-12,25.66,26.92,25.36,26.60,9969518
31-Jan-12,25.44,25.63,24.91,25.11,3666423
30-Jan-12,24.97,25.34,24.66,25.20,3604133
27-Jan-12,24.99,25.55,24.84,25.25,5056058
26-Jan-12,25.38,25.60,24.94,25.14,5449167
25-Jan-12,25.18,25.45,24.88,25.31,5309113
24-Jan-12,25.09,25.38,24.75,25.32,3695053
23-Jan-12,25.69,25.90,25.29,25.44,3529014
20-Jan-12,25.47,25.84,25.32,25.65,4950502
19-Jan-12,25.41,25.79,25.27,25.55,4005873
18-Jan-12,24.46,25.25,24.16,25.23,4917442
17-Jan-12,25.18,25.42,24.37,24.56,4504935
13-Jan-12,24.95,24.95,24.95,24.95,0
12-Jan-12,25.52,25.65,25.08,25.43,3444327
11-Jan-12,24.95,25.49,24.77,25.37,4433272
10-Jan-12,24.44,25.34,24.36,25.07,7601207
9-Jan-12,23.67,24.00,23.50,24.00,4125606
6-Jan-12,24.05,24.15,23.51,23.54,5193567
5-Jan-12,23.79,24.10,23.40,23.91,4944049
4-Jan-12,23.96,24.11,23.71,23.92,3697765
3-Jan-12,23.77,24.50,23.73,24.07,4221640
30-Dec-11,23.20,23.20,23.20,23.20,0
29-Dec-11,22.98,23.33,22.95,23.24,3269733
28-Dec-11,23.86,23.98,22.91,22.97,3806300
27-Dec-11,24.15,24.25,23.80,23.83,3093412
23-Dec-11,24.20,24.20,24.20,24.20,0
22-Dec-11,24.15,24.49,23.99,24.17,3827261
21-Dec-11,23.81,24.30,23.80,24.08,4556817
20-Dec-11,22.77,24.00,22.70,23.75,6801838
19-Dec-11,23.38,23.42,22.19,22.36,5100194
16-Dec-11,23.45,23.88,23.16,23.36,7237554
15-Dec-11,23.20,23.52,23.07,23.22,5199370
14-Dec-11,22.52,23.20,22.45,22.78,5114357
13-Dec-11,23.53,23.64,22.50,22.83,5800855
