Date,Open,High,Low,Close,Volume
25-May-12,214.99,215.98,212.22,212.89,2171364
24-May-12,216.98,217.66,212.70,215.24,3141496
23-May-12,214.71,217.55,211.18,217.28,4243774
22-May-12,218.31,218.87,213.96,215.33,3733844
21-May-12,214.03,219.98,212.82,218.11,3580096
18-May-12,219.41,219.63,212.81,213.85,5233522
17-May-12,225.05,226.00,218.09,218.36,4507911
16-May-12,225.00,228.00,222.50,224.06,5261956
15-May-12,226.50,230.61,223.00,224.39,5716858
14-May-12,225.60,227.29,222.51,222.93,3096794
11-May-12,225.95,230.68,225.73,227.68,4195541
10-May-12,223.91,229.08,221.95,226.69,4648359
9-May-12,220.59,225.78,220.16,222.98,3713431
8-May-12,223.15,225.39,218.20,223.90,4523044
7-May-12,222.36,226.87,222.29,225.16,3314226
4-May-12,227.80,229.72,223.74,223.99,4587893
3-May-12,229.74,232.53,228.03,229.45,4057859
2-May-12,227.82,231.44,227.40,230.25,4593971
1-May-12,229.40,232.97,228.40,230.04,6757217
30-Apr-12,223.95,233.84,223.05,231.90,9766512
27-Apr-12,224.83,228.69,220.22,226.85,22112329
26-Apr-12,193.57,196.36,193.02,195.99,10233980
25-Apr-12,191.67,194.80,191.60,194.42,3958413
24-Apr-12,188.68,190.70,186.51,190.33,3381850
23-Apr-12,188.99,188.99,185.51,188.24,3481356
20-Apr-12,192.34,193.48,189.80,189.98,3243745
19-Apr-12,192.93,194.55,189.75,191.10,4003037
18-Apr-12,188.82,193.45,188.74,191.07,4003095
17-Apr-12,187.21,190.04,186.87,188.39,2829460
16-Apr-12,189.01,189.47,183.65,185.50,4044271
13-Apr-12,189.90,189.94,186.26,188.46,3432203
12-Apr-12,188.06,192.26,185.61,190.69,4028910
11-Apr-12,189.63,191.97,186.79,187.97,4338218
10-Apr-12,192.75,193.52,186.57,186.98,4455491
9-Apr-12,192.02,194.20,190.50,191.87,3136878
5-Apr-12,193.55,196.03,193.55,194.39,3217777
4-Apr-12,196.95,197.68,192.36,193.99,5459483
3-Apr-12,198.24,202.39,197.50,199.66,5000080
2-Apr-12,198.02,199.90,197.00,198.05,6430730
30-Mar-12,205.02,206.85,201.87,202.51,4440996
29-Mar-12,201.28,205.31,200.63,204.61,5711525
28-Mar-12,206.14,207.00,200.31,201.16,6246236
27-Mar-12,203.59,209.85,202.88,205.44,9600734
26-Mar-12,196.48,202.97,195.50,202.87,7620695
23-Mar-12,192.01,196.20,191.80,195.04,5984094
22-Mar-12,190.54,194.06,190.26,192.40,3740279
21-Mar-12,192.50,194.28,191.26,191.73,4215499
20-Mar-12,184.88,194.41,182.88,192.33,9167308
19-Mar-12,183.45,186.68,183.00,185.52,3904019
16-Mar-12,183.28,185.68,182.35,185.05,4934824
15-Mar-12,182.02,184.43,180.30,184.43,4160618
14-Mar-12,183.65,184.32,181.14,182.26,3699734
13-Mar-12,183.92,184.87,180.77,184.59,4404299
12-Mar-12,184.13,185.40,182.20,183.39,2588002
9-Mar-12,186.79,187.20,183.44,184.32,4510556
8-Mar-12,184.17,188.38,183.80,187.64,4223589
7-Mar-12,182.65,185.50,182.40,183.77,4951927
6-Mar-12,178.68,183.50,178.04,181.09,5614085
5-Mar-12,179.00,181.82,178.18,180.26,4684257
2-Mar-12,179.48,181.84,178.92,179.30,3658009
1-Mar-12,179.89,180.49,176.58,180.04,4938425
29-Feb-12,183.89,184.00,179.01,179.69,5302508
28-Feb-12,178.90,184.29,177.95,183.80,5764907
27-Feb-12,177.54,179.19,176.50,178.53,3707942
24-Feb-12,179.70,180.74,178.37,179.13,3669165
23-Feb-12,179.64,180.75,176.96,178.89,5157465
22-Feb-12,181.95,182.99,180.29,180.58,5786428
21-Feb-12,182.65,184.75,180.58,182.26,6758962
17-Feb-12,180.09,183.41,179.36,182.50,7418563
16-Feb-12,177.79,181.68,175.14,179.93,12565470
15-Feb-12,191.29,191.54,183.26,184.47,7802059
14-Feb-12,191.08,193.57,186.10,191.30,9534544
13-Feb-12,187.17,192.50,185.68,191.59,6073565
10-Feb-12,183.42,187.63,182.52,185.54,5798484
9-Feb-12,184.50,185.69,181.76,184.98,7189994
8-Feb-12,184.95,186.49,182.91,185.48,5477425
7-Feb-12,182.65,184.94,182.06,184.19,5104453
6-Feb-12,186.28,186.56,182.92,183.14,5311645
3-Feb-12,182.83,187.90,181.89,187.68,8122732
2-Feb-12,179.65,181.94,176.80,181.72,8738896
1-Feb-12,173.81,179.95,172.00,179.46,21341033
31-Jan-12,194.00,195.63,189.70,194.44,12772139
30-Jan-12,193.68,195.00,190.13,192.15,5430039
27-Jan-12,193.09,196.50,192.33,195.37,4663070
26-Jan-12,189.30,194.85,188.73,193.32,5878847
25-Jan-12,186.99,188.17,184.61,187.80,4308183
24-Jan-12,185.00,188.41,183.82,187.00,4681086
23-Jan-12,190.79,191.73,185.23,186.09,4587694
20-Jan-12,190.71,192.90,189.04,190.93,5610542
19-Jan-12,190.88,195.94,190.36,194.45,7100003
18-Jan-12,181.94,190.25,181.12,189.44,7477287
17-Jan-12,180.15,183.30,178.51,181.66,5645244
13-Jan-12,178.42,178.42,178.42,178.42,0
12-Jan-12,179.42,179.49,175.75,175.93,5388353
11-Jan-12,179.64,180.77,178.19,178.90,3102877
10-Jan-12,181.10,182.40,177.10,179.34,3986102
9-Jan-12,182.76,184.37,177.00,178.56,5058542
6-Jan-12,178.07,184.65,177.50,182.61,7010139
5-Jan-12,175.94,178.25,174.05,177.61,3810496
4-Jan-12,179.21,180.50,176.06,177.51,4206624
3-Jan-12,175.89,179.48,175.55,179.03,5111970
30-Dec-11,173.10,173.10,173.10,173.10,0
29-Dec-11,169.62,174.55,166.97,173.86,8212559
28-Dec-11,176.39,176.65,172.28,173.89,3660008
27-Dec-11,177.73,178.59,176.16,176.27,2951104
23-Dec-11,177.34,177.34,177.34,177.34,0
22-Dec-11,175.09,179.67,174.21,179.03,4696272
21-Dec-11,181.92,183.50,172.49,174.35,8068732
20-Dec-11,182.69,183.17,180.54,182.52,4600597
19-Dec-11,182.00,183.17,179.00,179.33,4535016
16-Dec-11,182.42,184.41,180.31,181.26,6665197
15-Dec-11,182.05,184.80,179.53,181.26,7260281
14-Dec-11,179.00,180.75,170.25,180.21,11616875
13-Dec-11,188.56,189.68,178.50,180.51,9306288
12-Dec-11,190.03,191.15,187.63,189.52,4344146
9-Dec-11,191.21,193.95,188.40,193.03,5159276
8-Dec-11,193.57,195.89,190.08,190.48,4361514
7-Dec-11,191.03,196.71,189.12,195.32,6428567
6-Dec-11,195.98,198.32,190.11,191.99,5203688
5-Dec-11,198.86,199.00,193.67,196.24,5922598
2-Dec-11,197.07,199.66,195.18,196.03,7526348
1-Dec-11,191.85,198.08,191.59,197.13,7330072
30-Nov-11,194.76,195.30,188.75,192.29,7718451
29-Nov-11,194.78,195.50,187.30,188.39,6577462
28-Nov-11,191.65,194.62,190.54,194.15,7207253
25-Nov-11,190.41,190.83,181.51,182.40,4971977
23-Nov-11,188.99,188.99,188.99,188.99,0
22-Nov-11,186.95,194.04,183.58,192.34,9919367
21-Nov-11,193.29,193.36,185.05,189.25,11323532
18-Nov-11,205.33,205.34,197.11,197.14,8438477
17-Nov-11,212.51,212.90,202.10,204.52,7985182
16-Nov-11,216.27,216.97,211.23,211.99,5510208
15-Nov-11,218.00,220.33,214.26,217.83,5739106
14-Nov-11,215.65,222.35,214.25,218.93,6522901
11-Nov-11,212.52,217.88,210.31,217.39,5165571
10-Nov-11,213.50,214.06,208.10,210.79,5044864
9-Nov-11,214.95,215.70,210.60,211.22,4685124
8-Nov-11,219.20,219.35,215.21,217.99,3917258
7-Nov-11,216.84,220.20,214.00,217.00,3860758
4-Nov-11,217.65,218.23,214.33,216.48,4066890
3-Nov-11,216.30,218.50,213.02,218.29,5317497
2-Nov-11,215.55,216.79,212.72,215.62,6133127
1-Nov-11,208.11,216.21,207.43,212.10,8516210
31-Oct-11,215.79,218.89,213.04,213.51,7352676
28-Oct-11,206.53,218.40,205.75,217.32,9886256
27-Oct-11,204.26,208.60,201.10,206.78,10776025
26-Oct-11,203.69,207.58,196.51,198.40,24140922
25-Oct-11,238.59,239.01,225.89,227.15,14012593
24-Oct-11,236.02,240.47,234.00,237.61,4976877
21-Oct-11,236.91,237.00,230.60,234.78,4572980
20-Oct-11,232.13,234.74,229.80,233.61,4526838
19-Oct-11,240.67,243.33,229.25,231.53,6715807
18-Oct-11,242.31,244.61,236.62,243.88,4612859
17-Oct-11,244.29,246.71,240.67,242.33,4778929
14-Oct-11,240.87,246.71,240.18,246.71,5927282
13-Oct-11,237.00,239.68,235.23,236.15,4841536
12-Oct-11,236.64,241.84,234.33,236.81,6511045
11-Oct-11,230.60,236.75,229.00,235.48,5005722
10-Oct-11,226.23,232.80,224.10,231.32,5145525
7-Oct-11,222.48,227.90,218.41,224.74,6786465
6-Oct-11,220.28,223.62,217.55,221.51,6850357
5-Oct-11,212.53,220.17,208.48,219.50,6512936
4-Oct-11,209.62,215.00,200.43,212.50,8715811
3-Oct-11,217.01,221.60,211.39,211.98,6625118
30-Sep-11,218.19,223.00,215.21,216.23,6553621
29-Sep-11,234.17,234.30,216.29,222.44,9380228
28-Sep-11,226.35,235.81,225.60,229.71,14439111
27-Sep-11,234.22,234.75,222.40,224.21,7840914
26-Sep-11,227.48,230.24,221.40,229.85,5794703
23-Sep-11,220.51,224.49,219.06,223.61,6469239
22-Sep-11,224.72,228.79,219.00,223.23,8255563
21-Sep-11,234.51,240.52,231.81,231.87,5884096
20-Sep-11,240.80,241.05,231.03,233.25,7385251
19-Sep-11,237.11,244.00,232.88,241.69,8223270
16-Sep-11,227.57,240.44,226.74,239.30,11760132
15-Sep-11,223.99,227.20,221.25,226.78,5610172
14-Sep-11,220.22,224.99,216.72,222.57,5884384
13-Sep-11,217.79,219.95,215.01,219.53,4836596
12-Sep-11,208.75,216.66,208.65,216.56,5343529
9-Sep-11,215.05,216.96,209.75,211.39,4576477
8-Sep-11,218.30,220.64,216.34,217.26,4405196
7-Sep-11,218.80,220.19,214.22,219.90,5302955
