Date,Open,High,Low,Close,Volume
25-May-12,14.50,14.94,14.35,14.88,6934367
24-May-12,14.73,15.08,14.08,14.46,10892614
23-May-12,13.66,14.50,13.34,14.49,9004241
22-May-12,14.12,14.47,13.73,13.87,6783652
21-May-12,13.69,14.33,13.66,14.26,5516983
18-May-12,13.83,14.02,13.57,13.68,9571490
17-May-12,13.27,13.85,13.19,13.50,9201971
16-May-12,12.68,13.26,12.68,13.01,9671111
15-May-12,13.07,13.27,12.69,12.76,7353411
14-May-12,13.29,13.50,13.08,13.11,6860743
11-May-12,13.66,13.94,13.53,13.57,4607535
10-May-12,13.88,14.16,13.72,13.76,6905951
9-May-12,13.09,13.95,13.01,13.77,11242289
8-May-12,13.51,13.56,13.11,13.44,9213456
7-May-12,14.09,14.21,13.63,13.84,5910040
4-May-12,13.74,14.24,13.71,14.12,8732893
3-May-12,14.21,14.22,13.63,13.85,8058130
2-May-12,14.65,14.78,14.21,14.34,7958660
1-May-12,14.75,14.84,14.52,14.73,5888428
30-Apr-12,14.60,14.78,14.46,14.70,4091697
27-Apr-12,14.86,14.92,14.72,14.79,3787743
26-Apr-12,14.61,14.74,14.47,14.59,3739304
25-Apr-12,14.08,14.58,14.02,14.55,6851918
24-Apr-12,14.10,14.22,13.91,13.99,3837036
23-Apr-12,14.05,14.10,13.62,14.09,7450030
20-Apr-12,14.41,14.42,14.22,14.23,6665133
19-Apr-12,14.65,14.70,14.26,14.29,8186888
18-Apr-12,14.71,14.89,14.46,14.48,7756558
17-Apr-12,14.92,15.05,14.61,14.76,8388433
16-Apr-12,15.16,15.35,14.78,14.83,6606110
13-Apr-12,15.42,15.46,15.10,15.16,6012096
12-Apr-12,15.19,15.69,15.08,15.47,6919578
11-Apr-12,15.37,15.40,15.12,15.16,5701810
10-Apr-12,14.90,15.40,14.75,15.36,7798545
9-Apr-12,14.86,15.17,14.82,14.89,6096255
5-Apr-12,15.13,15.19,14.72,14.82,9163068
