Date,Open,High,Low,Close,Volume
27-Aug-12,18.5,18.65,17.79,17.87,17241872
24-Aug-12,17.82,17.91,17.17,17.31,10554873
23-Aug-12,18.3,18.4,17.84,18.01,11548783
22-Aug-12,17.61,18.15,17.52,17.72,8556937
21-Aug-12,16.38,18.34,16.25,17.91,42311964
20-Aug-12,19,19.2,18.14,18.16,22010049
17-Aug-12,20.37,20.55,20.1,20.27,1213687
16-Aug-12,19.72,20.55,19.59,20.41,1256121
15-Aug-12,19.37,19.58,18.98,19.36,553817
14-Aug-12,19.27,19.45,18.97,19.35,1204395
13-Aug-12,19.1,19.73,19.1,19.48,806695
10-Aug-12,19.03,19.45,19,19.21,753926
9-Aug-12,19.79,19.97,18.47,19.19,1480902
8-Aug-12,19.69,20.01,19.5,19.86,1174825
7-Aug-12,19.84,20.05,19.26,19.9,1744102
6-Aug-12,21.5,21.58,19.1,19.99,5598738
3-Aug-12,17.82,17.82,17.51,17.64,831733
2-Aug-12,17.85,17.87,17.17,17.39,6861289
1-Aug-12,18.17,18.69,17.84,18.07,12308823
31-Jul-12,17.92,18.32,17.84,18.09,7382992
30-Jul-12,18.79,18.8,17.77,18.06,7944180
27-Jul-12,17.4,17.89,17.39,17.76,7531400
26-Jul-12,17.59,17.68,16.97,17.23,10931543
25-Jul-12,18,18.03,17.26,17.34,9656249
24-Jul-12,18.53,18.66,17.87,18.1,10517780
23-Jul-12,18,18.83,17.77,18.68,8900394
20-Jul-12,18.62,18.71,18.12,18.23,6586118
19-Jul-12,18.79,18.9,18.46,18.76,6771180
18-Jul-12,18.72,19.1,18.61,18.85,6018315
17-Jul-12,18.92,19,18.44,18.82,5284331
16-Jul-12,19.13,19.18,18.62,18.9,6995682
13-Jul-12,18.87,19.06,18.38,19,9987656
12-Jul-12,19.3,19.52,18.93,19.02,12657047
11-Jul-12,19.93,20.33,19.31,19.37,16447445
10-Jul-12,21.28,21.71,19.6,21.14,7373411
9-Jul-12,21.51,21.58,20.93,21.18,6369598
6-Jul-12,21.58,21.8,21.5,21.59,7996822
5-Jul-12,21.91,22.17,21.72,21.74,6155770
3-Jul-12,22.07,22.14,21.58,21.75,6487045
2-Jul-12,21.88,23.57,21.82,22.2,35781719
29-Jun-12,21.12,21.25,20.3,20.96,8885384
28-Jun-12,19.6,20.94,19.39,20.88,14537184
27-Jun-12,19.27,19.92,18.87,19.8,9559519
26-Jun-12,18.63,21.59,18.39,19.37,17381005
25-Jun-12,19,19.05,18.47,18.51,6737178
