Date,Open,High,Low,Close,Volume
30-Apr-12,55.07,55.62,55.02,55.34,941863
27-Apr-12,54.23,54.59,54.00,54.52,752191
26-Apr-12,54.43,54.85,54.39,54.52,984290
25-Apr-12,54.96,55.03,54.53,54.79,771839
24-Apr-12,54.65,54.85,54.40,54.58,905237
23-Apr-12,54.46,54.60,53.57,54.08,1549093
20-Apr-12,55.86,56.33,55.74,56.00,1286725
19-Apr-12,55.27,55.74,55.05,55.24,969070
18-Apr-12,54.98,55.22,54.80,55.02,485887
17-Apr-12,55.07,55.12,54.75,55.05,840103
16-Apr-12,55.05,55.41,54.70,54.79,549550
13-Apr-12,54.59,54.64,54.37,54.47,540846
12-Apr-12,54.20,54.81,54.20,54.73,693184
11-Apr-12,53.74,54.10,53.68,53.99,778962
10-Apr-12,53.75,54.09,53.26,53.39,745575
9-Apr-12,53.56,53.78,53.35,53.68,847607
5-Apr-12,53.77,54.08,53.71,53.93,439775
4-Apr-12,54.05,54.19,53.78,53.96,663393
3-Apr-12,54.51,54.76,54.25,54.44,796446
2-Apr-12,54.68,54.86,54.48,54.73,1043149
30-Mar-12,54.88,55.29,54.80,55.08,1359258
29-Mar-12,53.92,53.92,53.47,53.88,617424
28-Mar-12,54.07,54.21,53.78,53.93,512895
27-Mar-12,54.29,54.29,54.01,54.04,830588
26-Mar-12,53.69,53.98,53.59,53.81,1270973
23-Mar-12,53.30,53.36,52.94,53.21,678505
22-Mar-12,53.45,53.46,53.02,53.05,905185
21-Mar-12,53.25,53.66,53.14,53.27,1342144
20-Mar-12,52.15,52.57,52.03,52.19,1202982
19-Mar-12,53.09,53.15,52.67,52.83,908077
16-Mar-12,53.95,54.05,53.38,53.56,1292449
15-Mar-12,54.21,54.44,54.00,54.24,933339
14-Mar-12,54.40,54.89,53.91,54.03,1572750
13-Mar-12,55.94,56.08,55.49,56.08,903839
12-Mar-12,56.30,56.30,55.91,56.03,1446787
9-Mar-12,54.44,55.69,54.43,55.35,4890895
8-Mar-12,52.29,52.66,52.16,52.59,1696663
7-Mar-12,51.67,51.75,51.38,51.64,848036
6-Mar-12,51.83,52.04,51.58,51.88,746540
5-Mar-12,52.29,52.43,51.96,52.29,724982
2-Mar-12,52.48,52.75,52.46,52.68,476540
1-Mar-12,52.80,52.92,52.60,52.80,721255
29-Feb-12,53.09,53.34,52.91,53.01,869466
28-Feb-12,52.62,52.75,52.37,52.71,585282
27-Feb-12,52.18,52.21,52.04,52.16,684691
24-Feb-12,52.44,52.58,52.32,52.42,439061
23-Feb-12,52.17,52.40,52.07,52.37,550452
22-Feb-12,52.49,52.54,52.23,52.41,708357
21-Feb-12,52.68,52.72,52.46,52.49,1285342
17-Feb-12,52.78,52.92,52.60,52.92,694131
16-Feb-12,52.38,52.84,52.23,52.80,881266
15-Feb-12,52.10,52.13,51.83,51.99,1490176
14-Feb-12,51.26,51.40,50.98,51.21,1923818
13-Feb-12,51.31,51.48,51.13,51.24,1645452
10-Feb-12,50.67,50.75,50.41,50.60,1642590
9-Feb-12,50.43,50.63,50.25,50.62,734743
8-Feb-12,50.74,51.03,50.72,50.87,1159425
7-Feb-12,50.14,50.65,50.14,50.43,486597
6-Feb-12,50.13,50.50,50.06,50.46,1167874
