Date,Open,High,Low,Close,Volume
15-Nov-12,18.98,19.31,18.16,18.50,2187716
14-Nov-12,19.88,19.93,18.98,19.10,1706815
13-Nov-12,20.02,20.10,19.53,19.86,1860422
12-Nov-12,19.98,20.48,19.98,20.16,1860588
9-Nov-12,19.40,20.19,19.29,19.90,2020076
8-Nov-12,19.55,19.75,19.23,19.56,2513193
7-Nov-12,20.30,20.58,19.32,19.79,3519931
6-Nov-12,21.45,21.49,19.58,20.32,5863374
5-Nov-12,20.36,20.66,19.78,20.05,5387012
2-Nov-12,20.69,20.76,19.80,20.34,3705377
1-Nov-12,20.49,20.84,20.19,20.29,4152649
31-Oct-12,20.10,20.40,19.80,20.01,2063653
26-Oct-12,19.65,19.93,19.25,19.54,1013055
25-Oct-12,20.27,20.28,19.35,19.53,2099032
24-Oct-12,19.65,20.15,19.48,19.79,1778701
23-Oct-12,19.55,19.79,19.41,19.67,2027063
22-Oct-12,19.50,20.44,19.31,19.85,4643764
19-Oct-12,19.75,19.96,19.12,19.34,2865715
18-Oct-12,18.54,20.43,18.48,19.86,5409522
17-Oct-12,18.34,18.74,18.07,18.67,1219926
16-Oct-12,18.39,18.42,18.00,18.36,1394673
15-Oct-12,18.63,18.65,17.94,18.34,1628678
12-Oct-12,18.43,18.76,18.21,18.45,2599159
11-Oct-12,18.25,18.56,18.01,18.43,1580000
10-Oct-12,18.21,18.63,17.87,17.94,2132760
9-Oct-12,17.96,18.62,17.96,18.31,5276632
8-Oct-12,18.00,18.34,17.83,18.05,2608219
5-Oct-12,17.86,18.27,17.68,18.24,3379837
4-Oct-12,17.30,17.89,17.26,17.76,2464050
3-Oct-12,17.63,17.79,17.03,17.43,2562219
2-Oct-12,17.58,17.88,16.99,17.45,3099735
1-Oct-12,16.74,17.22,16.63,16.75,2829529
28-Sep-12,17.36,17.50,16.76,16.88,3668924
27-Sep-12,17.25,17.57,16.95,17.32,3976327
26-Sep-12,17.06,17.44,16.46,17.00,4734789
25-Sep-12,17.42,17.52,17.09,17.23,1902388
24-Sep-12,17.60,17.90,16.99,17.40,3146081
21-Sep-12,17.66,17.96,17.28,17.57,774865
20-Sep-12,18.00,18.18,17.47,17.69,683143
19-Sep-12,18.11,18.84,18.10,18.57,1655784
18-Sep-12,17.65,17.98,17.45,17.58,364170
17-Sep-12,18.17,18.17,17.42,17.82,510326
14-Sep-12,17.30,18.95,17.30,18.36,5525918
13-Sep-12,17.11,17.32,16.79,17.30,519167
12-Sep-12,17.33,17.47,16.79,17.13,811821
11-Sep-12,17.15,17.20,16.70,17.18,480603
10-Sep-12,17.26,17.75,17.11,17.15,716161
7-Sep-12,17.00,17.90,16.97,17.54,2986194
6-Sep-12,16.62,16.90,16.36,16.85,2539480
5-Sep-12,16.68,16.97,16.29,16.37,2598094
4-Sep-12,16.09,16.67,15.63,16.62,3500024
31-Aug-12,16.91,16.95,15.98,16.13,3167296
30-Aug-12,17.35,17.48,16.52,16.57,2041647
29-Aug-12,17.43,17.49,17.12,17.48,1827834
28-Aug-12,17.14,17.50,17.01,17.44,1493086
27-Aug-12,17.19,17.19,16.76,17.07,3510539
24-Aug-12,17.35,17.78,17.07,17.11,5129487
23-Aug-12,15.90,17.48,15.90,17.36,8272393
22-Aug-12,14.99,16.03,14.80,15.98,3511088
21-Aug-12,14.45,15.43,14.32,15.10,2766789
20-Aug-12,14.09,14.52,14.07,14.28,1450246
17-Aug-12,14.08,14.34,13.80,14.23,1817837
16-Aug-12,13.89,14.39,13.75,14.11,1911324
15-Aug-12,13.71,14.08,13.55,13.92,1262494
14-Aug-12,14.39,14.51,13.66,13.70,2681443
13-Aug-12,13.45,14.64,13.45,14.42,3423434
