Date,Open,High,Low,Close,Volume
25-May-12,12.43,12.70,12.42,12.46,20311911
24-May-12,12.54,12.63,12.35,12.45,29707219
23-May-12,12.87,13.10,12.31,12.49,109242617
22-May-12,15.01,15.29,14.75,15.08,27540744
21-May-12,14.80,15.00,14.60,14.97,14991377
18-May-12,15.02,15.02,14.66,14.74,21887932
17-May-12,15.03,15.31,14.94,14.94,23329161
16-May-12,15.35,15.41,15.00,15.02,18569870
15-May-12,15.46,15.62,15.29,15.34,14885123
14-May-12,15.25,15.54,15.24,15.44,13875744
11-May-12,15.52,15.65,15.42,15.42,11615796
10-May-12,15.69,15.81,15.48,15.55,20608954
9-May-12,15.55,15.72,15.36,15.67,13302768
8-May-12,15.71,15.76,15.51,15.71,13159175
7-May-12,15.65,15.92,15.55,15.82,10423785
4-May-12,16.07,16.12,15.77,15.81,15351854
3-May-12,16.23,16.38,16.17,16.23,15063013
2-May-12,16.27,16.40,16.12,16.18,15642325
1-May-12,16.39,16.59,16.31,16.40,10697226
30-Apr-12,16.37,16.45,16.28,16.37,7286332
27-Apr-12,16.61,16.61,16.35,16.44,10173125
26-Apr-12,16.32,16.57,16.28,16.53,10240619
25-Apr-12,16.31,16.45,16.23,16.42,13919879
24-Apr-12,16.16,16.22,16.06,16.18,14084129
23-Apr-12,16.07,16.18,15.92,16.10,13823701
20-Apr-12,16.22,16.34,16.00,16.16,14546810
19-Apr-12,16.06,16.42,15.96,16.16,17728773
18-Apr-12,16.24,16.32,16.13,16.16,10798374
17-Apr-12,16.23,16.43,16.14,16.38,15149973
16-Apr-12,16.20,16.27,16.00,16.13,14338056
13-Apr-12,16.17,16.34,16.05,16.11,14642142
12-Apr-12,16.25,16.32,16.11,16.26,15210246
11-Apr-12,16.36,16.42,16.19,16.26,12616005
10-Apr-12,16.52,16.70,16.16,16.25,29207203
9-Apr-12,16.25,16.32,16.11,16.22,11679772
5-Apr-12,16.33,16.58,16.33,16.49,11782727
4-Apr-12,16.48,16.51,16.32,16.46,15106746
3-Apr-12,16.59,16.77,16.44,16.61,20310809
2-Apr-12,16.52,16.85,16.51,16.77,13366078
30-Mar-12,16.68,16.78,16.57,16.60,19722431
29-Mar-12,16.54,16.61,16.34,16.60,14268903
28-Mar-12,16.63,16.76,16.32,16.52,24309951
27-Mar-12,16.72,16.75,16.60,16.66,17940049
26-Mar-12,16.64,16.74,16.46,16.70,18132403
23-Mar-12,16.82,16.84,16.40,16.48,27710403
22-Mar-12,17.12,17.15,16.97,17.02,15352046
21-Mar-12,17.18,17.27,17.03,17.22,12651437
20-Mar-12,17.25,17.30,17.12,17.16,9210707
