Date,Open,High,Low,Close,Volume,Adj Close
15-Nov-12,"12,571.10","12,600.59","12,496.56","12,542.38","1,291,500","12,542.38"
14-Nov-12,"12,746.54","12,797.73","12,542.68","12,570.95","1,621,800","12,570.95"
13-Nov-12,"12,808.71","12,898.25","12,748.51","12,756.18","1,422,000","12,756.18"
12-Nov-12,"12,815.93","12,861.28","12,783.00","12,815.16","623,600","12,815.16"
9-Nov-12,"12,811.17","12,890.19","12,743.39","12,815.39","1,316,700","12,815.39"
8-Nov-12,"12,932.81","12,980.23","12,811.24","12,811.32","1,383,500","12,811.32"
7-Nov-12,"13,228.24","13,228.32","12,876.60","12,932.73","1,642,500","12,932.73"
6-Nov-12,"13,112.90","13,290.75","13,112.90","13,245.68","1,057,100","13,245.68"
5-Nov-12,"13,092.28","13,140.58","13,038.71","13,112.44","953,500","13,112.44"
2-Nov-12,"13,232.62","13,289.45","13,076.57","13,093.16","1,376,600","13,093.16"
1-Nov-12,"13,099.19","13,273.71","13,099.11","13,232.62","1,405,100","13,232.62"
31-Oct-12,"13,107.44","13,189.08","13,052.07","13,096.46","1,381,600","13,096.46"
26-Oct-12,"13,104.22","13,151.72","13,040.17","13,107.21","1,346,400","13,107.21"
25-Oct-12,"13,079.64","13,214.11","13,017.37","13,103.68","1,145,900","13,103.68"
24-Oct-12,"13,103.53","13,155.21","13,063.63","13,077.34","1,106,700","13,077.34"
23-Oct-12,"13,344.90","13,344.90","13,083.28","13,102.53","1,222,200","13,102.53"
22-Oct-12,"13,344.28","13,368.55","13,235.15","13,345.89","1,218,800","13,345.89"
19-Oct-12,"13,545.33","13,545.49","13,312.22","13,343.51","2,390,800","13,343.51"
18-Oct-12,"13,553.24","13,588.73","13,510.93","13,548.94","1,284,100","13,548.94"
17-Oct-12,"13,539.63","13,561.65","13,468.90","13,557.00","1,355,700","13,557.00"
16-Oct-12,"13,423.84","13,556.37","13,423.76","13,551.78","1,134,500","13,551.78"
15-Oct-12,"13,329.54","13,437.66","13,325.93","13,424.23","1,148,800","13,424.23"
12-Oct-12,"13,325.62","13,401.32","13,296.43","13,328.85","1,137,400","13,328.85"
11-Oct-12,"13,346.28","13,428.49","13,326.12","13,326.39","866,300","13,326.39"
10-Oct-12,"13,473.53","13,478.83","13,327.62","13,344.97","1,011,200","13,344.97"
9-Oct-12,"13,582.88","13,592.33","13,473.31","13,473.53","1,036,300","13,473.53"
8-Oct-12,"13,589.26","13,610.38","13,552.09","13,583.65","713,000","13,583.65"
5-Oct-12,"13,569.18","13,661.87","13,568.75","13,610.15","1,155,000","13,610.15"
4-Oct-12,"13,495.18","13,594.33","13,495.18","13,575.36","1,063,900","13,575.36"
3-Oct-12,"13,479.21","13,536.27","13,439.12","13,494.61","1,038,900","13,494.61"
2-Oct-12,"13,515.30","13,567.06","13,424.92","13,482.36","907,300","13,482.36"
1-Oct-12,"13,437.66","13,598.25","13,437.66","13,515.11","1,061,200","13,515.11"
28-Sep-12,"13,485.89","13,487.66","13,367.27","13,437.13","1,469,500","13,437.13"
