Date,Open,High,Low,Close,Volume
25-May-12,26.36,26.55,26.13,26.23,377085
24-May-12,26.52,26.56,26.01,26.28,418660
23-May-12,26.75,26.82,26.09,26.51,814965
22-May-12,26.75,27.51,26.70,27.14,1156139
21-May-12,26.02,26.91,25.71,26.84,1188972
18-May-12,26.25,27.06,25.67,25.79,956703
17-May-12,26.34,26.54,26.13,26.32,1695895
16-May-12,27.40,27.66,26.20,26.23,1041775
15-May-12,27.09,27.61,27.00,27.33,460642
14-May-12,27.32,27.78,27.18,27.21,611541
11-May-12,27.50,28.16,27.32,27.75,581539
10-May-12,28.43,28.45,27.70,27.83,1123711
9-May-12,28.28,28.56,28.14,28.28,1660121
8-May-12,28.19,28.88,28.18,28.78,1708061
7-May-12,28.58,28.68,28.20,28.57,1617324
4-May-12,28.06,28.80,28.06,28.68,1484516
3-May-12,28.70,28.85,28.05,28.50,1494084
2-May-12,27.37,28.87,27.37,28.82,1287969
1-May-12,26.91,27.63,26.81,27.52,1064216
30-Apr-12,26.89,26.94,26.28,26.73,723239
27-Apr-12,26.32,27.00,26.00,26.90,994468
26-Apr-12,25.78,26.35,25.66,26.16,2084142
25-Apr-12,26.08,26.16,25.62,25.77,516670
24-Apr-12,25.93,26.12,25.60,25.78,709257
23-Apr-12,26.60,26.82,25.33,25.90,1317953
20-Apr-12,27.55,27.62,26.99,27.09,719750
19-Apr-12,27.57,27.99,27.18,27.39,668932
18-Apr-12,27.50,27.79,27.36,27.43,539074
17-Apr-12,27.80,29.19,27.39,27.87,1838976
16-Apr-12,27.55,27.72,26.27,26.91,1264908
13-Apr-12,27.70,27.94,27.10,27.57,844064
12-Apr-12,27.69,28.49,27.53,27.87,930325
11-Apr-12,27.77,28.00,27.43,27.79,609672
10-Apr-12,27.12,27.35,26.70,27.04,702973
9-Apr-12,27.13,27.47,27.01,27.26,450684
5-Apr-12,27.47,28.01,27.40,27.78,784061
4-Apr-12,28.00,28.09,27.47,27.75,659971
3-Apr-12,28.16,28.80,28.16,28.31,537618
2-Apr-12,27.50,28.49,27.48,28.35,813861
30-Mar-12,26.88,27.62,26.74,27.46,1040539
29-Mar-12,26.20,26.87,26.00,26.62,1490734
28-Mar-12,27.22,27.22,26.05,26.40,995977
27-Mar-12,27.33,27.54,26.55,26.91,735953
26-Mar-12,27.22,27.52,26.96,27.30,593685
23-Mar-12,27.00,27.01,26.17,26.97,701783
22-Mar-12,27.59,27.60,26.76,27.00,1895260
21-Mar-12,28.58,28.62,27.95,28.06,1351328
20-Mar-12,28.04,28.75,28.03,28.60,1596331
19-Mar-12,27.74,28.38,27.51,28.19,660912
16-Mar-12,27.95,28.29,27.49,27.68,1045581
15-Mar-12,26.10,27.99,25.99,27.89,998216
14-Mar-12,26.89,26.93,25.98,26.03,1818859
13-Mar-12,27.07,27.31,26.46,26.79,803833
12-Mar-12,27.43,27.90,26.88,27.01,779829
9-Mar-12,28.01,28.03,27.35,27.40,1028913
8-Mar-12,27.03,28.12,26.95,28.04,932214
7-Mar-12,25.83,27.05,25.83,26.72,810092
6-Mar-12,26.69,26.69,25.82,25.82,1474015
5-Mar-12,27.14,27.62,26.96,26.98,1382769
2-Mar-12,26.28,27.76,26.25,27.04,1013671
1-Mar-12,26.41,26.81,25.96,26.15,535374
29-Feb-12,26.45,26.60,26.25,26.51,757611
28-Feb-12,25.92,26.50,25.66,26.34,829075
27-Feb-12,25.80,26.15,25.49,26.00,525181
24-Feb-12,25.81,26.25,25.47,26.15,771282
23-Feb-12,26.30,26.45,25.98,26.08,549000
22-Feb-12,26.46,26.89,26.07,26.22,886632
21-Feb-12,27.00,27.38,25.94,26.16,1498753
17-Feb-12,27.00,27.31,26.94,27.05,645536
16-Feb-12,26.50,27.15,26.38,26.87,987410
15-Feb-12,26.50,26.69,26.24,26.57,804942
14-Feb-12,25.68,26.87,25.66,26.38,1021751
13-Feb-12,25.51,25.97,25.44,25.69,944583
10-Feb-12,25.00,25.65,24.96,25.39,974890
9-Feb-12,25.24,25.86,25.23,25.63,839094
8-Feb-12,25.00,25.80,24.96,25.29,1652773
7-Feb-12,25.18,25.86,24.97,25.02,899457
6-Feb-12,25.54,26.21,24.50,25.33,3059949
3-Feb-12,25.22,25.92,25.00,25.86,1203891
2-Feb-12,24.30,25.59,24.29,25.00,1977473
1-Feb-12,23.87,24.55,23.76,24.29,1319624
31-Jan-12,23.93,24.16,23.30,23.82,1553392
30-Jan-12,24.17,24.44,23.56,23.78,1551448
27-Jan-12,23.60,24.73,23.60,24.59,1630624
26-Jan-12,23.75,24.30,23.50,24.06,1297741
25-Jan-12,23.10,23.83,22.95,23.57,887422
24-Jan-12,22.34,23.08,22.26,23.01,517093
23-Jan-12,23.34,23.34,22.50,22.53,925604
20-Jan-12,23.01,23.49,22.68,23.27,1114592
19-Jan-12,24.00,24.77,22.81,22.89,2744858
18-Jan-12,22.24,24.20,22.20,24.09,3095520
17-Jan-12,23.13,23.67,21.88,22.36,6218686
13-Jan-12,25.22,25.22,25.22,25.22,0
12-Jan-12,24.30,24.61,23.93,24.58,693479
11-Jan-12,23.85,24.17,23.61,24.11,602361
10-Jan-12,22.60,23.93,22.44,23.82,1040076
9-Jan-12,22.47,22.54,21.54,22.11,1157679
6-Jan-12,23.09,23.09,22.16,22.32,925770
5-Jan-12,22.65,23.06,22.19,22.90,1097566
4-Jan-12,23.73,23.79,22.26,22.70,1985013
3-Jan-12,24.57,25.04,23.59,23.76,995219
30-Dec-11,24.05,24.05,24.05,24.05,0
29-Dec-11,23.93,24.04,23.37,23.75,616471
28-Dec-11,24.04,24.18,23.63,23.89,731851
27-Dec-11,23.87,24.21,23.79,24.10,388711
23-Dec-11,24.08,24.08,24.08,24.08,0
