Date,Open,High,Low,Close,Volume
25-May-12,45.41,45.55,44.46,44.89,2830462
24-May-12,45.68,45.84,44.95,45.25,4615308
23-May-12,42.67,46.07,42.30,45.61,8992158
22-May-12,42.50,43.20,42.28,42.71,2874695
21-May-12,40.83,42.47,40.53,42.35,2918718
18-May-12,41.35,41.57,40.57,40.72,4427084
17-May-12,42.95,43.01,41.00,41.10,4220054
16-May-12,41.88,43.22,41.71,43.01,5665837
15-May-12,40.80,42.32,40.80,41.68,4019021
14-May-12,40.83,42.07,40.63,41.40,3611650
11-May-12,40.81,41.44,40.36,41.11,3310064
10-May-12,41.00,41.54,40.29,40.91,3673363
9-May-12,40.49,41.74,40.09,41.14,3562009
8-May-12,40.77,41.13,39.95,41.10,4098304
7-May-12,41.07,41.38,40.50,40.90,4814119
4-May-12,41.02,41.52,40.83,40.98,3604176
3-May-12,42.46,42.46,41.26,41.43,6038254
2-May-12,41.69,42.73,41.28,42.45,4090908
1-May-12,40.85,42.67,40.70,41.64,8152038
30-Apr-12,40.08,43.92,39.90,42.65,12950219
27-Apr-12,39.19,43.00,39.00,40.31,24788287
26-Apr-12,32.36,32.88,31.57,32.63,5905268
25-Apr-12,31.70,32.36,31.44,32.32,3147480
24-Apr-12,31.51,31.75,31.16,31.54,2313326
23-Apr-12,31.77,31.83,30.99,31.39,2375201
20-Apr-12,31.75,31.98,31.61,31.94,3464358
19-Apr-12,31.35,31.98,31.33,31.55,3206784
18-Apr-12,31.20,31.82,31.10,31.49,3395759
17-Apr-12,31.19,31.60,31.13,31.18,2814415
16-Apr-12,31.95,31.95,30.97,31.21,2821324
13-Apr-12,32.02,32.27,31.76,31.80,2783068
12-Apr-12,32.00,32.33,31.81,32.02,3586028
11-Apr-12,32.14,32.49,31.81,31.89,3045124
10-Apr-12,32.37,32.84,31.62,31.71,3518726
9-Apr-12,32.43,32.54,32.18,32.35,2047204
5-Apr-12,32.32,32.95,32.22,32.90,2310069
4-Apr-12,33.03,33.03,31.98,32.32,3932562
3-Apr-12,33.38,33.62,33.06,33.25,2673876
2-Apr-12,33.25,33.62,32.85,33.33,3415782
30-Mar-12,33.47,33.74,33.23,33.44,4866578
29-Mar-12,32.45,33.37,32.35,33.25,6509131
28-Mar-12,34.00,34.17,32.26,32.54,12867098
27-Mar-12,34.25,34.65,34.08,34.12,5975623
26-Mar-12,34.45,35.57,34.39,35.44,3301073
23-Mar-12,34.14,34.22,33.66,34.14,1743978
22-Mar-12,33.67,34.38,33.54,34.22,1819880
21-Mar-12,33.70,34.20,33.70,34.01,1297373
20-Mar-12,33.98,34.02,33.58,33.81,1697439
19-Mar-12,33.50,34.29,33.36,34.16,2242899
16-Mar-12,33.17,33.74,33.17,33.61,3489253
15-Mar-12,32.36,33.41,32.30,33.27,3218306
14-Mar-12,32.39,32.71,32.19,32.41,2502924
13-Mar-12,32.30,32.64,32.04,32.53,2558756
12-Mar-12,31.96,32.17,31.77,32.09,3405782
9-Mar-12,32.41,32.44,31.43,31.71,6208824
8-Mar-12,33.01,33.03,31.94,32.32,5195809
7-Mar-12,32.68,33.11,32.14,32.89,3541362
6-Mar-12,32.99,33.36,32.72,32.77,3867940
5-Mar-12,33.38,33.54,33.03,33.39,2780678
2-Mar-12,33.83,34.29,33.50,33.64,2542432
1-Mar-12,33.96,34.47,33.96,34.07,3673323
29-Feb-12,33.74,34.24,33.52,34.05,3371662
28-Feb-12,33.37,34.40,33.30,33.79,3953338
27-Feb-12,32.81,33.41,32.76,33.14,3288578
24-Feb-12,33.26,33.38,32.91,32.97,2324097
23-Feb-12,33.07,33.56,32.83,33.25,2547672
22-Feb-12,33.13,33.44,32.95,33.01,1367351
21-Feb-12,33.18,33.32,32.83,33.02,3282453
17-Feb-12,33.33,33.52,32.98,33.07,2278988
16-Feb-12,33.70,34.01,32.87,33.27,4108316
15-Feb-12,33.86,34.12,33.25,33.42,3422912
14-Feb-12,34.36,34.75,33.70,33.92,3924584
13-Feb-12,33.80,34.49,33.70,34.41,3428407
10-Feb-12,31.91,33.67,31.86,33.54,7129062
9-Feb-12,33.42,34.23,32.24,34.16,8260376
8-Feb-12,33.75,34.12,33.37,33.65,4155502
7-Feb-12,33.36,34.07,33.13,34.04,3557743
6-Feb-12,34.01,34.11,33.42,33.57,3421484
3-Feb-12,33.40,34.25,32.89,34.22,4274044
2-Feb-12,32.92,33.23,32.80,33.02,2175215
1-Feb-12,32.43,33.06,32.21,32.93,3499404
31-Jan-12,32.07,32.44,31.79,32.37,4042205
30-Jan-12,31.58,32.07,31.30,31.99,4119149
27-Jan-12,31.09,32.16,31.01,31.80,4695139
26-Jan-12,31.41,31.58,30.94,31.11,2365586
25-Jan-12,31.44,31.59,31.07,31.22,2677123
24-Jan-12,30.76,31.53,30.33,31.40,2783479
23-Jan-12,31.15,31.62,30.85,30.91,3679082
20-Jan-12,31.25,31.41,30.67,31.04,3131718
19-Jan-12,31.18,31.43,30.67,31.33,4779139
18-Jan-12,29.33,31.25,29.04,30.88,7261703
17-Jan-12,28.88,29.71,28.87,29.69,4236545
13-Jan-12,28.67,28.67,28.67,28.67,0
12-Jan-12,29.31,29.51,28.59,28.87,2924420
11-Jan-12,29.21,29.70,28.84,29.31,3199253
10-Jan-12,28.78,29.55,28.78,29.50,3227145
9-Jan-12,29.58,29.75,28.38,28.63,4720283
6-Jan-12,28.79,29.91,28.76,29.68,3684591
5-Jan-12,28.90,28.92,28.26,28.77,3828611
4-Jan-12,29.46,29.66,28.50,29.03,3447150
3-Jan-12,29.75,30.19,29.50,29.66,3564942
30-Dec-11,29.02,29.02,29.02,29.02,0
29-Dec-11,29.73,29.73,29.00,29.34,2363617
28-Dec-11,30.27,30.40,29.21,29.55,3636769
27-Dec-11,29.97,30.42,29.38,30.07,2758958
23-Dec-11,30.05,30.05,30.05,30.05,0
22-Dec-11,28.00,29.32,27.93,29.15,5028961
20-Dec-11,57.10,57.10,57.10,57.10,0
19-Dec-11,56.34,56.50,54.94,55.14,1708478
16-Dec-11,55.48,56.46,55.18,55.96,2547341
15-Dec-11,55.34,55.62,54.62,55.18,2302420
14-Dec-11,55.84,55.84,53.76,54.74,2130772
13-Dec-11,57.28,57.64,55.63,55.86,1662022
12-Dec-11,56.60,56.92,56.22,56.86,2077132
9-Dec-11,56.16,57.66,56.06,57.00,1738726
8-Dec-11,56.62,57.80,55.42,56.08,2646956
7-Dec-11,57.34,59.08,56.47,58.42,2015030
6-Dec-11,58.00,58.01,57.24,57.62,1662838
5-Dec-11,57.06,58.66,56.48,57.84,1730228
2-Dec-11,56.38,57.76,56.10,56.20,2091498
1-Dec-11,55.96,57.00,55.52,56.06,1729480
30-Nov-11,56.06,56.38,55.18,55.63,2016740
29-Nov-11,54.04,55.34,53.54,54.76,1656206
28-Nov-11,53.54,54.14,52.30,53.88,1852410
25-Nov-11,51.50,52.89,51.38,52.22,857378
23-Nov-11,51.70,51.70,51.70,51.70,0
22-Nov-11,53.20,53.70,51.37,53.60,3075392
21-Nov-11,54.20,54.40,52.88,53.80,2634604
18-Nov-11,54.26,55.80,53.97,54.92,2494514
17-Nov-11,55.80,55.80,53.24,54.02,1734870
16-Nov-11,55.72,57.30,55.24,55.72,1421316
15-Nov-11,55.26,56.60,54.88,56.36,1526150
14-Nov-11,55.64,55.98,55.16,55.54,751545
11-Nov-11,55.54,56.28,54.62,55.96,1081577
10-Nov-11,54.64,55.46,54.00,54.94,1831094
9-Nov-11,55.50,55.56,53.42,54.04,2321248
8-Nov-11,56.54,57.42,55.62,56.44,2136030
7-Nov-11,56.22,57.88,55.88,57.68,2138660
4-Nov-11,55.68,56.84,55.06,56.74,1218024
3-Nov-11,55.54,56.50,54.76,56.28,1516292
2-Nov-11,54.74,56.10,54.68,55.22,2381944
1-Nov-11,51.24,55.03,50.88,54.76,3791524
31-Oct-11,54.00,54.25,52.06,52.52,3150498
28-Oct-11,56.12,57.92,53.62,54.56,5362644
27-Oct-11,56.98,58.80,56.92,58.18,2920973
26-Oct-11,56.14,56.72,54.70,56.34,1827064
25-Oct-11,57.18,57.29,55.48,55.96,3180842
24-Oct-11,55.64,58.00,55.64,57.72,2007367
21-Oct-11,54.88,55.90,54.72,55.64,1573316
20-Oct-11,54.82,55.22,53.36,54.40,1940564
19-Oct-11,55.98,56.34,54.40,54.72,1311544
18-Oct-11,55.60,56.23,54.40,56.00,1657492
17-Oct-11,55.50,56.32,54.82,55.56,1875138
14-Oct-11,57.12,57.46,55.30,56.02,2047652
13-Oct-11,56.06,56.70,55.30,56.44,1900070
12-Oct-11,56.86,57.20,55.98,56.46,2782640
11-Oct-11,55.72,57.08,54.92,56.46,1563090
10-Oct-11,54.78,56.48,54.74,55.92,1673556
7-Oct-11,54.50,54.72,53.30,53.96,1567313
6-Oct-11,51.96,54.42,51.25,54.30,2641740
5-Oct-11,50.44,52.14,49.24,51.86,3281508
4-Oct-11,48.52,50.50,47.70,50.40,4669915
3-Oct-11,51.20,51.66,48.52,48.62,4393113
30-Sep-11,53.50,53.52,51.48,51.50,3270792
29-Sep-11,57.82,58.02,52.74,54.20,3614620
28-Sep-11,58.04,59.02,56.86,57.12,2361944
27-Sep-11,58.50,59.06,56.98,57.82,2844561
26-Sep-11,56.48,57.10,54.30,56.88,3120612
23-Sep-11,52.84,54.70,52.50,54.34,2528856
22-Sep-11,55.70,55.70,52.16,53.16,4270898
21-Sep-11,57.54,58.70,56.34,56.44,2991678
20-Sep-11,57.84,58.62,56.60,57.74,3096007
19-Sep-11,58.46,58.70,57.18,57.58,2939648
16-Sep-11,59.28,59.90,58.70,59.20,2409996
15-Sep-11,60.00,60.06,58.90,59.08,1920184
14-Sep-11,59.16,59.98,57.50,59.42,2676163
13-Sep-11,59.46,59.99,59.00,59.56,1690838
12-Sep-11,57.26,59.34,56.94,59.28,2094593
9-Sep-11,59.68,60.42,57.86,58.26,2429574
8-Sep-11,60.62,61.46,59.74,60.00,1677477
7-Sep-11,60.52,61.60,60.04,60.89,2271654
6-Sep-11,57.34,59.54,56.96,59.54,2072361
2-Sep-11,58.40,59.70,58.00,58.48,4109349
1-Sep-11,60.78,61.88,60.26,60.40,2084888
31-Aug-11,60.40,61.48,59.80,60.62,2080530
30-Aug-11,58.48,60.50,58.48,59.98,2946938
29-Aug-11,56.60,58.62,56.58,58.52,4439394
26-Aug-11,54.30,56.36,53.22,56.06,3064587
25-Aug-11,55.56,56.06,54.22,54.46,4763624
24-Aug-11,54.94,55.58,53.94,55.48,1706832
23-Aug-11,53.68,55.38,52.90,55.28,2460365
22-Aug-11,53.96,54.74,53.50,53.60,2464696
19-Aug-11,52.42,54.54,52.42,53.06,2600231
18-Aug-11,56.58,56.86,53.28,54.10,2778448
17-Aug-11,58.82,59.32,56.54,57.84,2624982
16-Aug-11,58.66,58.97,57.78,58.68,2124628
15-Aug-11,57.90,59.44,57.82,59.25,2388106
12-Aug-11,57.12,57.99,56.38,57.54,1362864
11-Aug-11,55.14,57.52,54.32,56.86,2563158
10-Aug-11,55.60,56.40,54.20,54.90,2729213
9-Aug-11,0.00,56.66,0.00,56.62,3605239
8-Aug-11,55.54,56.50,52.98,53.56,3911207
5-Aug-11,58.88,59.14,55.93,57.16,4669790
4-Aug-11,60.36,60.60,57.74,57.74,3833540
3-Aug-11,60.80,61.36,59.40,61.28,2668940
2-Aug-11,62.28,63.33,60.86,60.90,2739097
1-Aug-11,63.38,63.70,61.66,62.80,3453332
29-Jul-11,61.02,65.78,59.82,63.38,7711444
28-Jul-11,59.36,59.44,57.20,57.98,3341468
27-Jul-11,61.34,61.86,59.47,59.52,1812614
26-Jul-11,60.34,61.86,60.26,61.18,2189642
25-Jul-11,59.86,61.12,59.80,60.34,1449360
22-Jul-11,60.20,60.80,59.74,60.10,1786833
21-Jul-11,58.94,61.20,58.52,60.09,2154866
20-Jul-11,60.56,60.82,59.60,59.80,2073170
19-Jul-11,60.08,61.20,59.86,60.64,3629921
18-Jul-11,60.20,60.38,58.82,59.50,2102810
15-Jul-11,60.66,61.38,59.84,60.52,1797028
14-Jul-11,61.62,61.82,59.86,60.42,1831063
13-Jul-11,61.42,62.02,60.82,61.22,2199695
12-Jul-11,60.60,61.82,59.90,61.14,3559620
11-Jul-11,60.52,61.68,60.00,60.78,2319742
8-Jul-11,59.78,61.36,59.15,61.36,1847904
7-Jul-11,60.22,60.64,59.68,60.50,1785366
6-Jul-11,59.86,60.00,59.10,59.76,1609603
5-Jul-11,58.98,59.90,58.52,59.86,2413144
1-Jul-11,59.08,59.08,59.08,59.08,0
30-Jun-11,57.40,58.28,57.10,57.98,1515036
29-Jun-11,57.02,57.62,56.12,57.18,1704932
28-Jun-11,56.12,56.86,55.84,56.86,1968996
27-Jun-11,55.94,57.22,55.72,55.78,3188570
24-Jun-11,56.60,57.54,55.84,55.92,2139373
23-Jun-11,55.48,56.72,54.66,56.58,2404799
22-Jun-11,56.50,57.58,56.12,56.14,2358308
21-Jun-11,54.88,56.74,54.39,56.56,3721710
20-Jun-11,54.20,54.90,54.00,54.74,1907134
17-Jun-11,54.76,54.76,53.98,54.06,2007990
16-Jun-11,54.46,54.67,53.44,54.02,1910113
15-Jun-11,54.86,55.28,54.10,54.46,2276595
14-Jun-11,55.54,56.36,55.40,55.44,2549846
13-Jun-11,54.14,55.38,54.10,54.96,2399018
10-Jun-11,54.28,54.56,53.76,54.00,1884908
9-Jun-11,54.22,54.94,53.88,54.64,1727292
8-Jun-11,53.74,54.42,53.34,54.30,3279934
7-Jun-11,55.02,55.22,53.76,53.78,2812752
6-Jun-11,54.72,55.48,53.72,53.86,2324506
3-Jun-11,55.26,56.12,54.94,55.26,2281551
2-Jun-11,55.56,56.06,55.26,55.83,2114262
1-Jun-11,55.38,56.60,54.87,55.60,3924872
31-May-11,55.74,56.30,55.34,56.02,2190510
