Date,Open,High,Low,Close,Volume
19-Oct-12,705.58,706.7,672,681.79,11455401
18-Oct-12,755.54,759.42,676,695,12442346
17-Oct-12,743.95,756.34,740.26,755.49,2292819
16-Oct-12,740.13,746.99,736.46,744.7,2058468
15-Oct-12,741.94,743.83,730.7,740.98,3020098
12-Oct-12,751.85,754.87,744.1,744.75,2406787
11-Oct-12,752.9,758.5,750.29,751.48,2383987
10-Oct-12,741.86,747.53,738.29,744.56,2041203
9-Oct-12,759.67,761.32,742.53,744.09,3003884
8-Oct-12,761,763.58,754.15,757.84,1958625
5-Oct-12,770.71,774.38,765,767.65,2737751
4-Oct-12,762.75,769.89,759.4,768.05,2454496
3-Oct-12,755.72,763.92,752.2,762.5,2208639
2-Oct-12,765.2,765.99,750.27,756.99,2790375
1-Oct-12,759.05,765,756.21,761.78,3168477
28-Sep-12,754.15,759.3,751.15,754.5,2784091
27-Sep-12,759.95,762.84,751.65,756.5,3932272
26-Sep-12,749.85,761.24,741,753.46,5674334
25-Sep-12,753.05,764.89,747.66,749.16,6061033
24-Sep-12,731,750.04,730.25,749.38,3565837
21-Sep-12,732.21,734.92,730.12,733.95,2386142
20-Sep-12,724.47,731.38,721.3,728.1,801177
19-Sep-12,717.5,728.56,716.41,727.5,1041457
18-Sep-12,707.78,718.66,706.78,718.34,597798
17-Sep-12,708.11,712.88,705,709.98,394878
14-Sep-12,709.6,713,707.04,709.68,670622
13-Sep-12,693.09,708.92,690.77,706.04,773976
12-Sep-12,689.41,694.84,681,690.88,646528
11-Sep-12,697.14,700.59,691.06,692.19,523149
10-Sep-12,709.76,712.81,698.43,700.77,674028
7-Sep-12,700,712.25,697.67,706.15,3236308
6-Sep-12,685.96,699.89,684.73,699.4,3044450
5-Sep-12,680,686.5,679.14,680.72,1708169
4-Sep-12,684.55,685,673.5,681.04,1889613
31-Aug-12,684,688.58,680.04,685.09,2127125
30-Aug-12,684.24,687.39,680.18,681.68,1627704
29-Aug-12,677.37,688.99,676.15,688.01,2991037
28-Aug-12,665,677.62,664.74,677.25,2058938
27-Aug-12,662.99,672,659.24,669.22,2614131
24-Aug-12,675.6,680.45,674.08,678.63,1429267
23-Aug-12,674.27,680.48,671,676.8,1784453
22-Aug-12,667.38,680.6,666.7,677.18,1909262
21-Aug-12,673.11,678,662.17,669.51,2222805
20-Aug-12,675.5,678.87,672.66,675.54,1758421
17-Aug-12,674.12,677.25,671.7,677.14,2177896
16-Aug-12,667.51,674.64,667.08,672.87,1717691
15-Aug-12,670.28,674.25,664.1,667.54,2411100
14-Aug-12,659.25,672.85,659,668.66,3662178
13-Aug-12,647.42,660.15,646.68,660.01,3268073
10-Aug-12,638.59,642.24,636.13,642,1434408
9-Aug-12,644.51,646.37,641.52,642.35,1070288
8-Aug-12,639.05,645.87,638.5,642.23,1322386
7-Aug-12,641.79,644.26,636.47,640.54,1982695
6-Aug-12,639.61,649.38,639.22,642.82,1782494
3-Aug-12,640,643.72,636.14,641.33,1897446
2-Aug-12,625.51,638.03,623.41,628.75,1977690
1-Aug-12,637.3,639.51,631.38,632.68,1844556
31-Jul-12,628.26,636.5,628.22,632.97,1865890
30-Jul-12,636.05,642.6,629.5,632.3,2186717
27-Jul-12,618.89,635,617.5,634.96,3550174
26-Jul-12,615,616.87,610.03,613.36,1687485
25-Jul-12,608.32,613.38,605.37,607.99,1822973
24-Jul-12,615,617.93,604.34,607.57,2012189
23-Jul-12,600.48,618.35,598.25,615.51,3561818
20-Jul-12,608.76,612.94,598.18,610.82,6463748
19-Jul-12,586.14,598.48,586,593.06,4674637
18-Jul-12,576.98,583.69,576.13,580.76,1550950
17-Jul-12,578.43,580.67,568.4,576.73,1674828
16-Jul-12,576.37,579.19,571.78,574.92,1462861
13-Jul-12,572.15,579.15,568.55,576.52,1976558
12-Jul-12,567.12,571.93,562.09,570.48,2310094
11-Jul-12,576.3,577.85,564.94,571.19,3500946
10-Jul-12,590.19,592.43,578.74,581.7,1923015
9-Jul-12,584.95,588.6,581.25,586.01,1715020
6-Jul-12,592.45,593.52,582.82,585.98,2162328
5-Jul-12,588.76,600.06,588.54,595.92,2345901
3-Jul-12,580.01,588.41,578,587.83,1190525
2-Jul-12,581.82,583,576.5,580.47,1655563
29-Jun-12,574.96,580.13,572.2,580.07,2522562
28-Jun-12,565.9,566.23,557.21,564.31,1922064
27-Jun-12,567.7,573.99,566.02,569.3,1692446
26-Jun-12,562.76,566.6,559.48,564.68,1351151
25-Jun-12,567.33,568.09,557.35,560.7,1582036
22-Jun-12,568,571.48,565.82,571.48,2229125
21-Jun-12,579.84,579.84,563.73,565.21,2011322
20-Jun-12,579.81,580,573.51,577.51,2346698
19-Jun-12,573.59,584.28,573.12,581.53,2076629
18-Jun-12,562.62,574.21,559.25,570.85,2497864
15-Jun-12,560.34,564.52,557.09,564.51,3002511
14-Jun-12,561.3,565.07,556.52,559.05,2345107
13-Jun-12,561.72,567,558.68,561.09,1954607
12-Jun-12,569.77,570.3,558.58,565.1,3224142
11-Jun-12,584.21,585.32,566.69,568.5,2662269
8-Jun-12,575.85,581,574.58,580.45,1410366
7-Jun-12,587.6,587.89,577.25,578.23,1759532
6-Jun-12,576.48,581.97,573.61,580.57,2096173
5-Jun-12,575.45,578.13,566.47,570.41,2340477
4-Jun-12,570.22,580.49,570.01,578.59,2433786
1-Jun-12,571.79,572.65,568.35,570.98,3058314
31-May-12,588.72,590,579,580.86,2969455
30-May-12,588.16,591.9,583.53,588.23,1906629
29-May-12,595.81,599.13,588.32,594.34,2606651
25-May-12,601.00,601.73,588.28,591.53,3582472
24-May-12,609.16,611.92,598.87,603.66,1892185
23-May-12,601.65,609.60,597.12,609.46,3178016
22-May-12,613.44,613.81,596.00,600.80,3052748
21-May-12,600.51,615.69,600.00,614.11,3075829
18-May-12,625.10,632.42,596.70,600.40,5976129
17-May-12,633.83,637.85,621.23,623.05,3354518
16-May-12,617.96,630.10,615.94,628.93,4837424
15-May-12,605.35,615.00,603.75,611.11,2102339
14-May-12,600.78,608.50,600.58,604.00,1824733
11-May-12,610.35,614.55,604.77,605.23,2099726
10-May-12,612.96,616.19,610.23,613.66,1535877
9-May-12,606.82,616.38,601.81,609.15,2329546
8-May-12,605.53,616.90,600.70,612.79,2678485
7-May-12,595.00,610.57,595.00,607.55,1994515
4-May-12,605.92,607.89,596.81,596.97,2207360
3-May-12,609.62,614.83,608.95,611.02,1868187
2-May-12,601.20,608.11,600.61,607.26,1611434
1-May-12,603.79,611.60,600.19,604.43,2002424
30-Apr-12,612.99,616.08,600.61,604.85,2407213
27-Apr-12,615.02,616.74,610.60,614.98,1636399
26-Apr-12,610.91,618.00,609.70,615.47,2093733
25-Apr-12,604.00,611.35,602.88,609.72,1821042
24-Apr-12,598.24,606.63,597.32,601.27,1933303
23-Apr-12,592.90,598.45,590.20,597.60,2197933
20-Apr-12,604.25,608.85,595.83,596.06,3058961
19-Apr-12,605.69,616.26,599.00,599.30,3295787
18-Apr-12,608.05,612.80,602.81,607.45,2670380
17-Apr-12,608.56,617.69,607.01,609.57,3024414
16-Apr-12,623.00,623.81,601.66,606.07,5693458
13-Apr-12,647.55,648.99,623.54,624.60,8163012
12-Apr-12,642.35,653.14,640.26,651.01,5756582
11-Apr-12,633.97,636.00,631.30,635.96,2200268
10-Apr-12,633.52,634.50,624.55,626.86,2485078
9-Apr-12,628.48,635.33,625.29,630.84,2183535
5-Apr-12,632.24,636.43,628.57,632.32,2319712
4-Apr-12,638.45,639.00,631.10,635.15,1628272
3-Apr-12,645.41,647.95,638.64,642.62,2044362
2-Apr-12,640.77,647.50,634.84,646.92,2284338
30-Mar-12,651.75,653.49,641.00,641.24,2312245
29-Mar-12,653.44,656.59,644.30,648.41,1924315
28-Mar-12,652.03,658.59,651.08,655.76,2538808
27-Mar-12,647.03,653.50,644.80,647.02,2008804
26-Mar-12,645.00,649.49,639.54,649.33,1821467
23-Mar-12,646.60,648.50,640.90,642.59,1940335
22-Mar-12,638.50,648.80,631.00,646.05,2410320
21-Mar-12,634.61,647.39,632.51,639.98,2469637
20-Mar-12,630.92,636.06,627.27,633.49,1540778
19-Mar-12,623.12,637.27,621.24,633.98,2172971
16-Mar-12,620.89,625.91,620.05,625.04,3050457
15-Mar-12,616.60,623.50,614.83,621.13,2435340
14-Mar-12,615.00,622.78,613.46,615.99,2936857
13-Mar-12,608.75,617.85,605.55,617.78,2247354
12-Mar-12,600.00,607.00,599.26,605.15,1669376
9-Mar-12,607.95,611.90,600.00,600.25,2671524
8-Mar-12,610.04,611.50,606.35,607.14,1345428
7-Mar-12,609.05,611.19,605.86,606.80,1264892
6-Mar-12,608.05,608.81,593.84,604.96,3175216
5-Mar-12,620.43,622.49,611.38,614.25,1593250
2-Mar-12,622.00,624.00,620.32,621.25,1573214
1-Mar-12,622.26,625.70,618.15,622.40,2238010
29-Feb-12,618.60,625.60,615.50,618.25,3136837
28-Feb-12,610.00,619.77,607.68,618.39,2847797
27-Feb-12,606.59,612.36,605.06,609.31,1814618
24-Feb-12,607.35,611.65,605.51,609.90,1937074
23-Feb-12,607.00,607.94,600.35,606.11,2055030
22-Feb-12,611.96,616.78,606.71,607.94,1967855
21-Feb-12,603.87,617.88,602.88,614.00,2481110
17-Feb-12,604.97,607.63,602.40,604.64,2449229
16-Feb-12,602.82,608.81,597.73,606.52,2530861
15-Feb-12,612.93,612.93,602.56,605.56,2426960
14-Feb-12,611.54,612.00,604.76,609.76,1803851
13-Feb-12,610.50,613.84,610.02,612.20,1816551
10-Feb-12,607.88,608.13,604.00,605.91,2325443
9-Feb-12,612.02,614.50,609.00,611.46,2265433
8-Feb-12,609.70,609.70,609.70,609.70,0
7-Feb-12,607.15,609.39,603.76,606.77,2092035
6-Feb-12,595.01,610.83,594.01,609.09,3679755
3-Feb-12,590.66,597.07,588.05,596.33,3169260
2-Feb-12,584.87,586.41,582.08,585.11,2414672
1-Feb-12,584.94,585.50,579.14,580.83,2320950
31-Jan-12,583.00,584.00,575.15,580.11,2142716
30-Jan-12,578.05,580.00,573.40,577.69,2330967
27-Jan-12,570.78,580.32,569.33,579.98,3618815
26-Jan-12,571.98,574.48,564.55,568.10,3228004
25-Jan-12,577.51,578.71,566.38,569.49,4988196
24-Jan-12,586.32,587.68,578.00,580.93,3056391
23-Jan-12,586.00,588.66,583.16,585.52,3413040
20-Jan-12,590.53,591.00,581.70,585.99,10576774
19-Jan-12,640.99,640.99,631.46,639.57,6305274
18-Jan-12,626.63,634.00,622.12,632.91,2763190
17-Jan-12,631.98,631.98,625.68,628.58,1909394
13-Jan-12,624.99,624.99,624.99,624.99,0
12-Jan-12,631.22,632.89,626.50,629.64,1875854
11-Jan-12,623.50,629.39,621.12,625.96,2400582
10-Jan-12,629.75,633.80,616.91,623.14,4395615
9-Jan-12,646.50,647.00,621.23,622.46,5825720
6-Jan-12,659.15,660.00,651.76,652.73,1524820
5-Jan-12,662.13,663.97,656.23,659.01,3283277
4-Jan-12,665.03,670.25,660.62,668.28,2864365
3-Jan-12,652.94,668.15,652.37,665.41,3677850
30-Dec-11,645.90,645.90,645.90,645.90,0
29-Dec-11,641.49,643.00,635.20,642.40,1575595
28-Dec-11,642.75,645.00,638.10,639.70,2127130
27-Dec-11,632.05,644.49,632.00,640.25,1609052
23-Dec-11,631.88,631.88,631.88,631.88,0
22-Dec-11,627.95,631.73,627.01,629.70,1824156
21-Dec-11,630.01,631.82,618.96,625.82,2498154
20-Dec-11,628.00,631.84,627.99,630.37,2388184
19-Dec-11,628.01,628.50,620.00,621.83,2144189
16-Dec-11,624.32,629.32,621.47,625.96,4459782
15-Dec-11,622.52,624.00,618.69,619.54,2409785
14-Dec-11,621.85,624.32,612.49,618.07,3904882
13-Dec-11,628.76,636.56,622.85,625.63,4028638
12-Dec-11,621.88,626.18,620.29,625.39,2185234
9-Dec-11,618.00,629.13,617.01,627.42,2768503
8-Dec-11,621.04,627.45,615.30,616.05,2414400
7-Dec-11,621.68,625.66,618.10,623.39,2257980
6-Dec-11,622.99,628.62,620.24,623.77,2326518
5-Dec-11,627.64,631.90,622.40,625.65,3198026
2-Dec-11,617.05,624.00,616.26,620.36,4085965
1-Dec-11,600.00,616.00,599.00,613.77,3621293
30-Nov-11,597.95,599.51,592.09,599.39,3397279
29-Nov-11,587.88,590.36,581.33,582.93,1832619
28-Nov-11,579.37,588.82,576.50,588.19,2828967
25-Nov-11,565.19,574.27,561.33,563.00,1562341
23-Nov-11,570.11,570.11,570.11,570.11,0
22-Nov-11,580.00,584.97,575.24,580.00,2405579
21-Nov-11,587.76,588.50,572.09,580.94,3001666
18-Nov-11,602.00,604.50,593.75,594.88,3287618
17-Nov-11,610.05,612.29,596.78,600.87,3493472
16-Nov-11,612.08,618.30,610.61,611.47,2610280
15-Nov-11,612.80,618.08,610.50,616.56,2675961
14-Nov-11,608.00,618.08,607.78,613.00,3188932
11-Nov-11,601.30,612.09,598.60,608.35,3977320
10-Nov-11,605.94,605.95,591.56,595.08,2868599
9-Nov-11,604.26,609.39,598.66,600.95,3711062
8-Nov-11,609.00,614.37,603.60,612.34,3029383
7-Nov-11,593.32,608.78,592.23,608.33,3358867
4-Nov-11,593.50,599.74,592.43,596.14,2835379
3-Nov-11,587.00,597.50,583.72,597.50,2669745
2-Nov-11,584.90,587.96,580.48,584.82,2121899
1-Nov-11,580.10,585.51,576.75,578.65,3125199
31-Oct-11,595.09,599.69,591.67,592.64,2557738
28-Oct-11,594.52,602.30,594.25,600.14,2508147
27-Oct-11,598.42,602.70,593.30,598.67,3780722
26-Oct-11,589.55,590.18,572.86,586.31,2873690
25-Oct-11,593.10,595.00,582.85,583.16,2540445
24-Oct-11,586.72,599.97,586.50,596.42,3427548
21-Oct-11,589.51,592.75,586.70,590.49,3394233
20-Oct-11,581.90,588.89,579.51,583.67,3379069
19-Oct-11,587.34,592.06,579.22,580.70,2931804
18-Oct-11,580.19,592.56,577.40,590.51,3802493
17-Oct-11,583.72,591.83,578.00,582.41,4008302
14-Oct-11,599.47,599.60,587.57,591.68,8532242
13-Oct-11,550.03,559.00,548.02,558.99,5687512
12-Oct-11,548.13,555.23,544.63,548.50,3178044
11-Oct-11,533.46,546.80,533.46,543.18,2853777
10-Oct-11,525.18,537.47,523.20,537.17,2322903
7-Oct-11,516.83,520.50,510.30,515.12,2856047
6-Oct-11,507.50,515.23,502.60,514.71,3424623
5-Oct-11,496.35,507.80,480.77,504.70,4534752
4-Oct-11,490.03,503.44,480.60,501.90,4159130
3-Oct-11,509.85,512.00,495.00,495.52,4473863
30-Sep-11,520.21,524.00,514.38,515.04,2724908
29-Sep-11,536.04,537.30,519.41,527.50,2907381
28-Sep-11,541.50,544.02,527.70,528.84,2263403
27-Sep-11,538.20,547.05,536.05,539.34,3010925
26-Sep-11,527.25,532.93,513.25,531.89,2634234
23-Sep-11,516.56,526.42,514.50,525.51,2778870
22-Sep-11,526.25,528.78,514.00,520.66,4400586
21-Sep-11,547.69,555.00,538.86,539.20,2516138
20-Sep-11,549.40,558.52,542.67,546.62,2779078
19-Sep-11,540.35,549.90,535.38,546.67,2471190
16-Sep-11,544.80,546.84,543.14,546.68,3534779
15-Sep-11,535.50,544.98,534.56,542.56,2961967
14-Sep-11,532.59,536.95,525.82,532.07,2694739
13-Sep-11,532.00,533.88,523.40,529.52,2354150
12-Sep-11,517.96,531.99,517.50,530.12,2670471
9-Sep-11,531.40,534.65,521.19,524.85,3269069
8-Sep-11,533.80,539.10,531.90,534.96,2381025
7-Sep-11,530.45,535.94,527.40,534.03,2758545
6-Sep-11,510.80,522.76,510.50,522.18,2715977
2-Sep-11,524.47,527.92,520.73,524.84,2402024
1-Sep-11,540.75,543.83,531.22,532.50,2415607
31-Aug-11,544.74,546.30,536.00,540.96,2693390
30-Aug-11,538.19,542.99,530.81,540.70,2990176
29-Aug-11,534.56,539.45,533.56,539.08,2338106
26-Aug-11,519.99,530.45,513.14,526.86,3597309
25-Aug-11,530.38,537.27,518.30,520.04,3297297
24-Aug-11,519.33,530.00,517.23,523.29,3598264
23-Aug-11,503.50,521.41,499.06,518.82,4347823
22-Aug-11,504.00,507.00,494.53,498.17,4907175
19-Aug-11,499.34,514.87,490.86,490.92,5411586
18-Aug-11,523.47,524.89,500.49,504.88,6291368
17-Aug-11,540.03,543.69,530.77,533.15,4079101
16-Aug-11,552.43,552.44,530.30,539.00,6940503
15-Aug-11,553.43,564.99,546.05,557.23,7145020
12-Aug-11,569.50,570.50,560.40,563.77,3155376
11-Aug-11,553.82,568.50,548.41,562.13,4832119
10-Aug-11,561.38,564.12,547.73,549.01,5373697
9-Aug-11,0.00,574.61,541.01,573.41,6470475
8-Aug-11,562.98,569.00,544.35,546.02,7497701
5-Aug-11,582.54,590.00,562.00,579.04,5930780
4-Aug-11,594.50,598.85,577.47,577.52,4916432
3-Aug-11,594.08,603.00,583.63,601.17,3825910
2-Aug-11,606.00,609.67,591.57,592.40,3201303
1-Aug-11,611.22,615.50,599.18,606.77,3968312
29-Jul-11,604.23,614.96,603.69,603.69,4138101
28-Jul-11,605.19,615.98,603.00,610.94,3109115
27-Jul-11,617.18,620.95,604.75,607.22,3934890
26-Jul-11,618.05,627.50,617.22,622.52,2343370
25-Jul-11,613.36,625.41,613.00,618.98,3131952
22-Jul-11,605.39,619.50,604.27,618.23,3531622
21-Jul-11,594.03,608.06,594.01,606.99,3469850
20-Jul-11,602.18,602.83,595.35,595.35,2229023
19-Jul-11,596.14,604.68,595.53,602.55,2967816
18-Jul-11,592.49,602.05,592.00,594.94,4469225
15-Jul-11,597.50,600.25,588.16,597.62,13735983
14-Jul-11,539.12,542.00,526.73,528.94,6649410
13-Jul-11,537.00,544.00,536.48,538.26,2790771
12-Jul-11,528.16,539.42,526.00,534.01,2841532
11-Jul-11,528.18,535.98,525.50,527.28,2839996
8-Jul-11,532.95,537.65,527.27,531.99,4770170
7-Jul-11,541.00,550.68,535.88,546.60,3935660
6-Jul-11,533.50,538.51,533.04,535.36,2695681
5-Jul-11,525.30,535.40,525.30,532.44,3847351
1-Jul-11,521.03,521.03,521.03,521.03,0
30-Jun-11,501.99,506.67,501.50,506.38,2428510
29-Jun-11,496.54,500.25,492.38,497.57,2342920
28-Jun-11,484.02,496.21,484.02,493.65,2717364
27-Jun-11,474.00,488.40,473.60,482.80,3444633
24-Jun-11,480.68,480.75,473.02,474.88,3806587
23-Jun-11,482.13,482.86,473.73,480.22,4802302
22-Jun-11,491.45,492.35,486.73,487.00,2407972
21-Jun-11,487.19,493.94,484.73,493.00,2765357
20-Jun-11,485.00,486.23,479.23,484.58,3028639
17-Jun-11,506.18,506.69,484.80,485.02,5251546
16-Jun-11,502.81,508.13,496.67,500.37,2757216
15-Jun-11,505.03,508.35,500.61,502.95,2073301
14-Jun-11,508.15,514.08,506.99,508.37,2341461
13-Jun-11,505.00,505.00,505.00,505.00,0
10-Jun-11,514.08,516.69,509.29,509.50,2440475
9-Jun-11,520.00,520.00,515.64,516.73,1689086
8-Jun-11,516.53,521.24,515.78,519.17,1654097
7-Jun-11,522.89,524.63,518.99,519.03,1907509
6-Jun-11,525.84,526.82,519.25,521.06,1942088
3-Jun-11,526.35,526.35,526.35,526.35,0
2-Jun-11,527.57,530.30,522.48,528.06,2204422
1-Jun-11,528.04,533.20,525.31,525.60,2957172
31-May-11,525.00,529.05,523.50,529.02,2687858
