Date,Open,High,Low,Close,Volume
15-Nov-12,2.76,2.94,2.75,2.90,15985521
14-Nov-12,2.65,2.73,2.65,2.73,15163887
13-Nov-12,2.67,2.75,2.62,2.63,11206482
12-Nov-12,2.76,2.78,2.60,2.69,17476661
9-Nov-12,3.00,3.08,2.71,2.76,116478946
8-Nov-12,3.77,3.96,3.77,3.92,22324165
7-Nov-12,3.92,3.92,3.70,3.76,26325211
6-Nov-12,3.93,4.05,3.80,3.99,17754823
5-Nov-12,3.87,4.05,3.77,3.90,26658958
2-Nov-12,4.06,4.08,3.68,3.83,28344385
1-Nov-12,4.20,4.23,4.00,4.03,8484809
31-Oct-12,4.23,4.51,4.00,4.12,44643154
26-Oct-12,4.44,4.52,4.35,4.47,13417144
25-Oct-12,4.48,4.50,4.33,4.46,13603783
24-Oct-12,4.70,4.75,4.38,4.42,12164203
23-Oct-12,4.50,4.57,4.35,4.48,13223219
22-Oct-12,4.67,4.77,4.52,4.58,9740393
19-Oct-12,4.90,4.93,4.64,4.69,10187313
18-Oct-12,5.05,5.09,4.83,4.91,9876210
17-Oct-12,5.05,5.15,5.00,5.08,5421212
16-Oct-12,5.25,5.25,5.05,5.05,5517404
15-Oct-12,5.28,5.40,5.06,5.20,6796175
12-Oct-12,5.22,5.40,5.20,5.29,5687320
11-Oct-12,5.14,5.37,5.05,5.25,6322596
10-Oct-12,5.39,5.50,4.97,5.05,12220486
9-Oct-12,5.35,5.44,5.21,5.27,9339064
8-Oct-12,5.14,5.49,5.06,5.47,13244585
5-Oct-12,4.74,5.37,4.71,5.25,18183305
4-Oct-12,4.69,4.86,4.56,4.80,5935333
3-Oct-12,4.72,4.73,4.63,4.68,4206643
2-Oct-12,4.73,4.73,4.62,4.65,2992665
1-Oct-12,4.80,4.88,4.68,4.72,4262634
28-Sep-12,4.85,4.92,4.70,4.76,5662427
27-Sep-12,4.79,4.93,4.71,4.78,6544250
26-Sep-12,4.79,4.85,4.59,4.70,6757812
25-Sep-12,5.17,5.27,4.67,4.82,16192169
24-Sep-12,5.19,5.25,5.07,5.20,11411918
21-Sep-12,5.23,5.37,5.23,5.27,6151070
20-Sep-12,5.22,5.46,5.06,5.15,5276426
19-Sep-12,4.80,5.39,4.76,5.34,5802569
18-Sep-12,4.75,4.84,4.66,4.69,959122
17-Sep-12,5.15,5.18,4.75,4.75,2317972
14-Sep-12,4.86,5.30,4.80,5.27,20016867
13-Sep-12,4.64,4.80,4.55,4.76,1116650
12-Sep-12,4.70,4.78,4.50,4.66,2355672
11-Sep-12,4.27,4.67,4.25,4.60,2001621
10-Sep-12,4.27,4.31,4.24,4.27,888385
7-Sep-12,4.25,4.36,4.22,4.27,5438307
6-Sep-12,4.20,4.29,4.14,4.22,8100825
5-Sep-12,4.24,4.36,4.16,4.18,8660139
4-Sep-12,4.11,4.27,4.00,4.24,10610260
31-Aug-12,4.15,4.30,4.12,4.15,6007522
30-Aug-12,4.28,4.36,4.16,4.19,9192428
29-Aug-12,4.39,4.42,4.26,4.31,7656997
28-Aug-12,4.35,4.51,4.35,4.37,5381985
27-Aug-12,4.42,4.47,4.32,4.41,9497213
24-Aug-12,4.48,4.50,4.41,4.44,8460851
23-Aug-12,4.53,4.70,4.49,4.52,7782283
22-Aug-12,4.50,4.64,4.43,4.54,10068279
21-Aug-12,4.43,4.78,4.34,4.54,15589661
20-Aug-12,4.68,4.88,4.50,4.65,17292934
17-Aug-12,4.83,4.86,4.51,4.75,39538125
16-Aug-12,5.18,5.20,4.97,5.00,33092876
15-Aug-12,5.55,5.63,5.28,5.32,21253226
14-Aug-12,5.82,6.00,5.46,5.51,62342811
13-Aug-12,7.75,8.05,7.25,7.55,30853266
10-Aug-12,6.67,7.62,6.66,7.44,10509987
9-Aug-12,6.92,6.99,6.59,6.65,5984453
8-Aug-12,7.10,7.50,6.92,6.93,5086348
7-Aug-12,7.24,7.36,6.89,7.28,5757158
6-Aug-12,6.65,7.29,6.62,7.25,8466646
3-Aug-12,6.60,6.73,6.43,6.59,3069204
2-Aug-12,6.40,6.60,6.35,6.38,5160512
1-Aug-12,6.69,6.72,6.38,6.48,8670159
31-Jul-12,7.03,7.05,6.62,6.66,5311754
30-Jul-12,7.58,7.80,6.81,6.90,9709162
27-Jul-12,6.51,8.05,6.50,7.59,20333012
26-Jul-12,6.88,7.07,6.55,6.61,13653479
25-Jul-12,7.30,7.35,7.12,7.24,2651880
24-Jul-12,7.32,7.49,7.16,7.24,3072564
23-Jul-12,7.14,7.42,7.06,7.38,3276714
20-Jul-12,7.35,7.58,7.30,7.40,6391034
19-Jul-12,7.30,7.61,7.16,7.40,7039731
18-Jul-12,7.18,7.30,7.02,7.07,11355028
17-Jul-12,7.69,7.74,7.17,7.21,10819631
16-Jul-12,7.91,8.16,7.61,7.67,7761655
13-Jul-12,7.98,8.10,7.77,7.79,7323662
12-Jul-12,7.65,8.01,7.25,7.98,15797155
11-Jul-12,8.31,8.31,7.72,7.77,12945731
10-Jul-12,8.82,8.92,8.25,8.31,7578541
9-Jul-12,8.40,8.83,8.28,8.79,5694207
6-Jul-12,8.76,8.82,8.25,8.44,7326847
5-Jul-12,8.78,9.00,8.51,8.82,5856959
3-Jul-12,9.59,9.59,8.72,8.79,12204101
2-Jul-12,10.43,10.50,9.48,9.51,12719510
29-Jun-12,10.15,10.67,10.00,10.63,6680081
28-Jun-12,10.07,10.08,9.59,9.85,6119914
27-Jun-12,10.17,10.37,9.90,10.13,5028238
26-Jun-12,10.00,10.33,9.91,10.25,4365737
25-Jun-12,10.26,10.34,9.74,9.89,4848011
22-Jun-12,10.54,10.62,10.37,10.40,3714637
21-Jun-12,10.76,10.78,10.36,10.50,4396838
20-Jun-12,11.00,11.18,10.60,10.67,5677241
19-Jun-12,11.01,11.15,10.51,10.93,12579249
18-Jun-12,10.42,11.39,10.33,11.15,13653274
15-Jun-12,9.22,10.14,9.10,10.06,17866366
14-Jun-12,9.24,9.46,9.13,9.43,7599328
13-Jun-12,9.68,9.98,9.51,9.60,10271381
12-Jun-12,10.54,10.55,9.82,9.95,9700656
11-Jun-12,10.84,10.88,10.26,10.34,5755851
8-Jun-12,10.42,10.77,10.23,10.76,6372980
7-Jun-12,11.00,11.05,10.35,10.62,8617564
6-Jun-12,10.00,10.74,9.98,10.63,13375195
5-Jun-12,9.00,9.80,8.95,9.78,10737297
4-Jun-12,9.70,9.79,8.80,8.95,12559720
1-Jun-12,9.72,10.10,9.53,9.69,23369644
31-May-12,10.95,10.95,10.20,10.64,5984385
30-May-12,11.54,11.60,10.91,11.10,3511542
29-May-12,12.02,12.15,11.55,11.79,3110522
25-May-12,12.00,12.20,11.90,12.05,2256470
24-May-12,11.98,12.18,11.75,11.89,2117324
23-May-12,11.69,12.40,11.60,12.03,3557514
22-May-12,12.38,12.43,11.76,11.95,3010608
21-May-12,11.61,12.74,10.90,12.39,7361960
18-May-12,12.49,12.50,11.33,11.58,5978148
17-May-12,12.66,12.90,12.16,12.41,6672066
16-May-12,12.17,13.20,12.16,13.05,7090816
15-May-12,14.89,14.93,12.00,12.17,24684189
14-May-12,10.22,12.18,10.08,11.74,16455436
