Date,Open,High,Low,Close,Volume
19-Oct-12,27.95,28.39,27.59,28.2,243528
18-Oct-12,29.17,29.45,27.82,28.09,524002
17-Oct-12,28,29.48,27.76,29.12,295838
16-Oct-12,27.87,28.45,27.73,28.05,104036
15-Oct-12,27.48,28.5,27.3,28.2,296760
12-Oct-12,27.64,27.89,27.3,27.55,144231
11-Oct-12,26.71,27.88,26.34,27.3,329084
10-Oct-12,27.06,27.24,26.19,26.54,98486
9-Oct-12,27.32,28,26.67,27.36,401459
8-Oct-12,26.3,26.83,25.83,26.58,157637
5-Oct-12,27.5,27.5,26.1,26.3,213970
4-Oct-12,26.44,27.18,26.34,27.09,318355
3-Oct-12,25.71,26.66,25.62,26.49,429536
2-Oct-12,25.8,26.78,25.5,26.75,299298
1-Oct-12,24.99,26.8,24.96,26.03,302443
28-Sep-12,24.47,25.04,24.47,24.8,102959
27-Sep-12,24.51,25.09,24.16,24.7,314711
26-Sep-12,24.04,25.35,24.04,24.14,691189
25-Sep-12,24.16,24.78,23.95,23.99,202661
24-Sep-12,24.04,24.89,24.04,24.25,177235
21-Sep-12,24.13,24.97,23.9,24.29,53806
20-Sep-12,24.23,24.51,23.84,24.09,23071
19-Sep-12,25.22,25.22,24.48,24.5,33543
18-Sep-12,24.52,24.74,24.33,24.61,22713
17-Sep-12,25.67,25.68,24.44,24.73,30499
14-Sep-12,25.45,25.89,25.11,25.74,43967
13-Sep-12,24.6,25.45,24.57,25.43,40053
12-Sep-12,24.67,24.97,24.4,24.48,22207
11-Sep-12,24.08,24.78,24.08,24.54,28300
10-Sep-12,23.88,24.34,23.88,24.32,23211
7-Sep-12,24.01,24.57,23.84,23.99,115846
6-Sep-12,23.52,24,23.19,23.79,83659
5-Sep-12,22.58,23.49,22.15,23.31,107717
4-Sep-12,22.9,23.24,22.14,22.53,129701
31-Aug-12,22.96,23.12,22.52,23.06,146613
30-Aug-12,23.34,23.58,22.79,22.87,77031
29-Aug-12,23.74,23.93,23.36,23.56,57113
28-Aug-12,23.84,24,23.66,23.81,190940
27-Aug-12,23.25,24,22.76,23.98,290931
24-Aug-12,23.43,23.68,22.79,23,108055
23-Aug-12,23.56,23.85,23.29,23.4,88001
22-Aug-12,23.81,24.23,23.52,23.58,290485
21-Aug-12,24.15,24.45,23.64,23.75,295337
20-Aug-12,24.06,24.65,23.82,24.23,238866
17-Aug-12,24.44,24.52,24.07,24.45,384180
16-Aug-12,23.92,24.79,23.91,24.32,569688
15-Aug-12,23.89,24.2,23.5,24,620947
14-Aug-12,23,24.66,22.97,24.14,914700
13-Aug-12,22,23.14,22,22.99,584058
10-Aug-12,24.18,24.29,21.34,22.13,665079
9-Aug-12,22.37,22.37,21.01,21.18,290255
8-Aug-12,21.83,22.41,21.43,21.73,330549
7-Aug-12,21.26,23.36,21.26,23.03,555263
6-Aug-12,19.88,21.87,19.79,21.62,514042
3-Aug-12,19.5,20.06,19.21,20,193321
2-Aug-12,18.42,19.19,18.4,19.11,193293
1-Aug-12,18.33,18.97,17.85,18.86,209651
31-Jul-12,17.98,18.35,17.9,18.26,143005
30-Jul-12,17.94,18.12,17.62,17.88,178488
27-Jul-12,17.73,18,17.59,17.95,135156
26-Jul-12,17.46,17.67,16.95,17.65,170607
25-Jul-12,17.03,17.43,16.91,17.2,188327
24-Jul-12,16.96,17.08,16.72,17.01,169917
