Date,Open,High,Low,Close,Volume
25-May-12,25.72,25.85,25.57,25.74,19123767
24-May-12,25.57,25.78,25.31,25.65,37131849
23-May-12,25.47,25.51,24.92,25.44,61969598
22-May-12,26.27,26.28,25.78,26.03,46047437
21-May-12,26.06,26.19,25.68,26.15,41395585
18-May-12,26.24,26.57,26.05,26.07,43444810
17-May-12,26.47,26.66,26.19,26.19,31505042
16-May-12,26.91,26.99,26.49,26.50,44629246
15-May-12,27.05,27.25,26.82,26.88,35712023
14-May-12,27.35,27.40,26.88,27.02,39447239
11-May-12,27.26,27.95,27.20,27.63,34941404
10-May-12,27.34,27.46,26.96,27.24,36238935
9-May-12,27.08,27.35,26.75,27.19,40607561
8-May-12,27.48,27.60,27.01,27.37,53089337
7-May-12,27.83,27.98,27.65,27.76,37385885
4-May-12,28.32,28.38,27.84,27.90,34575689
3-May-12,29.26,29.27,28.42,28.56,41225995
2-May-12,28.82,29.27,28.72,29.18,40434659
1-May-12,28.47,29.05,28.37,28.95,43317858
30-Apr-12,28.42,28.54,28.29,28.40,28812625
27-Apr-12,28.11,28.53,28.10,28.38,33312329
26-Apr-12,27.80,28.30,27.75,28.22,46649640
25-Apr-12,27.43,27.91,27.35,27.86,40863578
24-Apr-12,27.35,27.60,27.24,27.31,35010516
23-Apr-12,27.33,27.57,27.24,27.45,37792690
20-Apr-12,27.72,27.97,27.57,27.60,38064821
19-Apr-12,27.87,28.09,27.44,27.69,43042968
18-Apr-12,27.58,28.11,27.46,27.95,72256464
17-Apr-12,28.45,28.78,28.41,28.47,61287910
16-Apr-12,28.26,28.55,28.14,28.40,37479937
13-Apr-12,28.35,28.39,28.08,28.09,34483250
12-Apr-12,27.97,28.52,27.93,28.48,37053421
11-Apr-12,27.68,28.00,27.63,27.85,26676812
10-Apr-12,27.70,27.86,27.41,27.45,36272068
9-Apr-12,27.73,27.90,27.59,27.76,22970314
5-Apr-12,27.87,28.10,27.80,28.07,22039042
4-Apr-12,27.87,28.03,27.60,27.93,30845072
3-Apr-12,28.31,28.37,27.94,28.11,34113123
2-Apr-12,28.04,28.45,27.99,28.38,28854183
30-Mar-12,28.39,28.45,28.02,28.12,43024389
29-Mar-12,27.75,28.18,27.67,28.16,39624099
28-Mar-12,28.13,28.25,27.80,27.80,35154501
27-Mar-12,28.24,28.28,28.07,28.19,24372049
26-Mar-12,28.01,28.26,27.96,28.19,32807678
23-Mar-12,27.94,27.99,27.68,27.88,24901400
22-Mar-12,27.73,27.95,27.61,27.90,23395545
21-Mar-12,27.79,27.89,27.70,27.78,22213497
20-Mar-12,27.65,27.90,27.56,27.75,22685407
19-Mar-12,27.66,27.90,27.54,27.74,26941761
16-Mar-12,27.82,27.96,27.70,27.73,54672267
15-Mar-12,27.50,27.85,27.43,27.75,34193222
14-Mar-12,27.45,27.90,27.34,27.46,46835632
13-Mar-12,27.12,27.50,27.12,27.49,33796756
12-Mar-12,27.00,27.08,26.91,26.98,24016824
9-Mar-12,26.94,27.16,26.87,27.07,29406616
8-Mar-12,27.00,27.04,26.75,26.84,37264478
7-Mar-12,26.58,27.00,26.52,26.91,32725475
6-Mar-12,26.25,26.63,26.20,26.60,37196662
5-Mar-12,26.91,26.91,26.36,26.54,32336069
2-Mar-12,26.90,27.03,26.77,26.92,29634029
1-Mar-12,27.06,27.14,26.71,26.86,39415007
29-Feb-12,27.25,27.30,26.84,26.88,41861800
28-Feb-12,26.93,27.30,26.82,27.24,32823451
27-Feb-12,26.52,27.20,26.45,26.89,46027007
24-Feb-12,26.72,26.80,26.45,26.70,39311238
23-Feb-12,26.56,26.86,26.35,26.66,33801411
22-Feb-12,27.06,27.35,26.51,26.73,51979381
21-Feb-12,27.34,27.37,27.01,27.16,34913271
17-Feb-12,26.86,27.50,26.82,27.37,74254034
16-Feb-12,26.40,26.95,26.35,26.82,42457732
15-Feb-12,26.88,26.88,26.50,26.58,35832554
14-Feb-12,26.57,26.78,26.50,26.78,25413701
13-Feb-12,26.83,26.84,26.52,26.70,24727211
10-Feb-12,26.74,26.79,26.45,26.70,33624236
9-Feb-12,26.91,27.00,26.78,26.86,35755017
8-Feb-12,26.66,26.99,26.61,26.85,37072047
7-Feb-12,26.63,26.74,26.42,26.64,33104970
6-Feb-12,26.55,26.72,26.36,26.72,36777891
3-Feb-12,26.66,26.95,26.58,26.74,42194132
2-Feb-12,26.59,26.74,26.46,26.49,34780241
1-Feb-12,26.74,26.84,26.51,26.55,46334702
31-Jan-12,26.79,26.80,26.28,26.42,45330707
30-Jan-12,26.51,26.80,26.27,26.74,60694067
27-Jan-12,26.66,26.84,26.59,26.73,50589869
26-Jan-12,26.95,27.00,26.60,26.75,61678137
25-Jan-12,26.84,26.95,26.50,26.90,54757806
24-Jan-12,26.70,26.98,26.61,26.90,56220363
23-Jan-12,26.35,26.89,26.34,26.71,69668867
20-Jan-12,25.87,26.47,25.50,26.38,101282203
19-Jan-12,25.52,25.68,25.37,25.63,64946206
18-Jan-12,25.13,25.48,25.01,25.39,62695616
17-Jan-12,25.18,25.40,24.97,25.04,60443395
13-Jan-12,25.14,25.14,25.14,25.14,0
12-Jan-12,25.85,25.90,25.54,25.75,44421960
11-Jan-12,25.43,25.89,25.34,25.80,57172312
10-Jan-12,25.71,25.92,25.51,25.59,41060875
9-Jan-12,25.40,25.56,25.22,25.46,47478546
6-Jan-12,25.21,25.40,25.01,25.25,36345173
5-Jan-12,25.06,25.45,24.98,25.40,49492053
4-Jan-12,24.57,25.13,24.53,25.11,47508610
3-Jan-12,24.62,24.89,24.39,24.54,44851030
30-Dec-11,24.25,24.25,24.25,24.25,0
29-Dec-11,24.36,24.58,24.28,24.55,22319335
28-Dec-11,24.24,24.24,24.24,24.24,0
27-Dec-11,24.45,24.70,24.40,24.56,24136135
23-Dec-11,24.39,24.39,24.39,24.39,0
22-Dec-11,23.83,24.10,23.76,24.02,32003486
21-Dec-11,23.95,24.09,23.43,23.68,45222794
20-Dec-11,23.85,23.85,23.85,23.85,0
19-Dec-11,23.39,23.48,23.05,23.10,42252797
16-Dec-11,23.47,23.89,23.22,23.23,94569797
15-Dec-11,23.58,23.67,23.25,23.31,38693666
14-Dec-11,23.48,23.56,23.14,23.31,56394300
13-Dec-11,24.05,24.06,23.42,23.56,78518944
12-Dec-11,24.18,24.29,23.61,24.00,94839535
9-Dec-11,24.41,25.10,24.38,25.01,44073143
8-Dec-11,25.45,25.53,24.63,24.71,58000587
7-Dec-11,25.33,25.78,25.13,25.66,54795336
6-Dec-11,25.09,25.48,25.00,25.35,49517905
5-Dec-11,25.03,25.20,24.79,25.01,42526793
2-Dec-11,25.01,25.14,24.60,24.64,41488925
1-Dec-11,24.87,24.97,24.40,24.92,51820369
30-Nov-11,24.28,24.94,24.23,24.91,73452313
29-Nov-11,23.49,23.90,23.42,23.58,44195101
28-Nov-11,23.28,23.57,23.25,23.46,39757303
25-Nov-11,22.55,23.22,22.51,22.73,28346827
23-Nov-11,22.70,22.70,22.70,22.70,0
22-Nov-11,23.38,23.53,23.09,23.24,48479186
21-Nov-11,24.03,24.15,23.35,23.57,58582822
18-Nov-11,24.17,24.43,24.02,24.29,45688560
17-Nov-11,24.90,24.95,24.12,24.34,62125247
16-Nov-11,25.13,25.50,24.88,24.94,74249584
15-Nov-11,24.66,25.46,24.62,25.34,77391270
14-Nov-11,24.78,24.90,24.48,24.63,49418044
11-Nov-11,24.31,24.90,24.30,24.85,43867192
10-Nov-11,24.14,24.25,23.74,24.06,45508704
9-Nov-11,24.24,24.32,23.80,23.84,56872144
8-Nov-11,24.48,24.77,24.26,24.75,55969275
7-Nov-11,23.70,24.31,23.63,24.28,51144945
4-Nov-11,24.04,24.07,23.66,23.74,46476002
3-Nov-11,23.79,24.23,23.28,24.20,58296345
2-Nov-11,24.02,24.06,23.55,23.85,56702801
1-Nov-11,24.11,24.35,23.82,23.90,68002340
31-Oct-11,24.57,24.92,24.49,24.54,43121769
28-Oct-11,24.87,25.03,24.73,24.98,44897379
27-Oct-11,24.93,25.20,24.85,25.13,84559164
26-Oct-11,24.80,24.84,24.34,24.70,58249853
25-Oct-11,24.47,24.85,24.39,24.63,60941683
24-Oct-11,24.05,24.79,24.02,24.59,138276614
21-Oct-11,23.86,24.25,23.80,24.03,123276914
20-Oct-11,23.88,23.88,23.35,23.61,88691866
19-Oct-11,24.01,24.50,23.86,24.24,139955773
18-Oct-11,23.17,23.48,23.06,23.40,85272150
17-Oct-11,23.32,23.60,23.14,23.28,47936068
14-Oct-11,23.44,23.50,23.25,23.50,44896426
13-Oct-11,23.02,23.46,22.96,23.39,51290454
12-Oct-11,23.00,23.28,22.98,23.12,59913270
11-Oct-11,22.76,23.00,22.61,22.99,50609369
10-Oct-11,22.48,22.89,22.47,22.88,40172733
7-Oct-11,22.07,22.50,21.91,22.29,58431248
6-Oct-11,21.92,22.05,21.67,22.03,58486486
5-Oct-11,21.25,21.97,21.06,21.85,70935737
4-Oct-11,20.45,21.27,20.40,21.22,77903421
3-Oct-11,21.18,21.40,20.57,20.62,95776435
