Date,Open,High,Low,Close,Volume
25-May-12,56.50,56.76,56.13,56.45,1337655
24-May-12,56.52,56.52,55.81,56.39,1930138
23-May-12,55.75,56.63,55.24,56.47,1891643
22-May-12,55.39,56.36,55.07,55.99,2010366
21-May-12,54.55,55.39,53.49,55.25,3706475
18-May-12,54.52,56.90,53.38,54.51,5900104
17-May-12,55.00,55.29,54.21,54.41,2953576
16-May-12,55.66,56.11,55.10,55.10,2052688
15-May-12,55.40,56.47,55.31,55.49,1765074
14-May-12,55.28,55.84,55.06,55.35,1240142
11-May-12,55.40,56.23,55.13,55.83,1648284
10-May-12,56.82,56.91,55.12,55.43,2189106
9-May-12,55.87,56.93,55.41,56.52,2030812
8-May-12,56.24,56.48,55.46,56.28,2212975
7-May-12,56.42,56.83,56.13,56.58,2100135
4-May-12,57.67,57.90,56.70,56.90,2453360
3-May-12,58.79,59.00,58.18,58.39,2255783
2-May-12,57.83,58.71,57.24,58.64,1756474
1-May-12,58.12,58.87,57.80,58.25,1596963
30-Apr-12,57.92,58.18,57.55,57.97,2084208
27-Apr-12,57.66,58.22,57.65,57.98,1749107
26-Apr-12,57.30,57.81,57.16,57.60,1790286
25-Apr-12,56.92,57.77,56.67,57.40,2774923
24-Apr-12,56.69,56.76,56.08,56.29,3182327
23-Apr-12,56.71,56.88,56.10,56.75,4490583
20-Apr-12,57.89,58.99,55.96,57.25,13193042
19-Apr-12,61.30,61.78,60.41,60.90,2065218
18-Apr-12,61.50,61.82,61.04,61.42,1559385
17-Apr-12,60.74,61.70,60.60,61.54,2098234
16-Apr-12,60.57,60.61,59.84,60.31,2169789
13-Apr-12,60.16,60.85,59.77,60.34,2292328
12-Apr-12,60.12,60.66,59.97,60.60,1586027
11-Apr-12,58.94,60.06,58.65,60.03,2575026
10-Apr-12,58.84,59.22,58.37,58.59,2174595
9-Apr-12,58.90,59.31,58.60,59.10,1410333
5-Apr-12,58.99,59.86,58.88,59.77,1410801
4-Apr-12,59.81,59.98,59.06,59.38,986151
3-Apr-12,60.39,60.41,59.80,60.33,1570489
2-Apr-12,60.07,60.92,59.73,60.62,1809107
30-Mar-12,60.15,60.41,59.71,60.16,2474903
29-Mar-12,59.30,59.94,58.91,59.83,2255830
28-Mar-12,59.21,59.54,58.91,59.51,2208340
27-Mar-12,58.95,59.65,58.50,59.48,2588327
26-Mar-12,58.26,58.87,57.99,58.73,1944341
23-Mar-12,57.86,58.03,56.97,57.71,2836853
22-Mar-12,58.57,59.07,57.66,57.73,4433773
21-Mar-12,60.04,60.28,59.77,60.12,1125013
