Date,Open,High,Low,Close,Volume
25-May-12,98.88,99.51,96.55,98.52,3125493
24-May-12,101.58,101.72,95.90,98.80,6156180
23-May-12,100.60,103.75,98.81,103.56,4422344
22-May-12,98.19,105.88,96.85,101.33,6514333
21-May-12,96.28,100.40,92.33,96.84,8300086
18-May-12,106.17,109.50,96.60,99.02,12136565
17-May-12,112.00,113.49,102.64,104.95,6387958
16-May-12,111.91,113.61,110.50,113.49,4434287
15-May-12,111.80,114.33,107.00,110.56,4979668
14-May-12,106.43,111.22,105.50,110.50,3552806
11-May-12,109.00,111.13,106.20,107.23,3719707
10-May-12,114.35,114.64,110.47,111.00,2447527
9-May-12,109.70,115.00,108.00,112.55,4143181
8-May-12,109.75,113.07,101.53,112.61,7982053
7-May-12,114.50,115.67,110.93,111.48,4358412
4-May-12,118.00,120.63,115.51,117.30,10588573
3-May-12,107.00,109.70,105.67,109.41,6283938
2-May-12,106.73,107.00,103.00,106.40,4042021
1-May-12,108.81,109.81,106.10,106.84,2488509
30-Apr-12,109.91,109.98,106.60,108.45,2196205
27-Apr-12,106.36,110.61,104.51,109.72,3412000
26-Apr-12,103.31,106.60,103.31,105.24,2473586
25-Apr-12,100.83,102.91,99.57,102.85,1582645
24-Apr-12,100.80,101.64,96.32,98.07,3319794
23-Apr-12,102.73,103.00,97.47,99.55,3774553
20-Apr-12,105.00,108.20,103.80,105.01,2554571
19-Apr-12,104.98,107.80,102.55,104.58,2534036
18-Apr-12,103.45,106.54,101.59,105.00,2214852
17-Apr-12,102.00,104.65,102.00,103.87,2178859
16-Apr-12,107.54,108.00,99.46,101.08,4277314
13-Apr-12,104.06,108.50,102.56,107.24,3406852
12-Apr-12,99.75,106.71,99.75,105.90,3844983
11-Apr-12,99.50,100.17,96.69,97.66,1713098
10-Apr-12,99.52,102.10,97.50,97.99,2952162
9-Apr-12,96.21,99.17,96.01,99.00,1885558
5-Apr-12,97.50,100.25,97.50,99.25,2068476
4-Apr-12,101.28,102.77,97.94,99.38,2386493
3-Apr-12,103.20,104.60,101.71,102.77,1812070
2-Apr-12,101.99,103.25,101.12,102.64,2515949
30-Mar-12,105.28,105.88,101.25,101.99,3002090
29-Mar-12,101.62,103.16,98.81,102.67,2632267
28-Mar-12,103.16,104.39,99.87,102.08,3271791
27-Mar-12,101.94,106.97,101.80,103.31,5063370
26-Mar-12,100.21,102.53,99.15,101.38,4223599
23-Mar-12,100.06,100.74,98.68,99.50,2521123
22-Mar-12,96.79,100.94,96.60,100.53,5634441
21-Mar-12,97.90,101.11,97.01,97.78,8487456
20-Mar-12,89.89,92.65,87.75,91.84,3448844
19-Mar-12,91.60,91.83,89.52,90.38,2286437
16-Mar-12,92.75,93.61,90.82,91.02,2996811
15-Mar-12,92.89,92.90,91.12,92.40,2194501
14-Mar-12,94.00,94.00,90.73,92.05,4541596
13-Mar-12,92.00,94.99,90.22,94.33,4324551
12-Mar-12,90.11,93.00,89.72,90.67,3190758
9-Mar-12,90.76,91.41,88.99,90.13,3749912
8-Mar-12,86.43,91.38,86.37,90.40,7270369
