Date,Open,High,Low,Close,Volume
25-May-12,416.55,421.95,412.12,413.96,694713
24-May-12,420.06,428.77,416.10,419.83,1080971
23-May-12,411.15,417.14,406.57,417.09,875231
22-May-12,410.21,418.30,408.26,413.44,1232063
21-May-12,396.00,410.79,394.20,410.58,1281004
18-May-12,402.02,404.57,394.56,394.56,1111291
17-May-12,413.80,413.80,398.50,398.58,1202268
16-May-12,418.88,420.50,408.68,409.37,1295236
15-May-12,414.72,419.97,413.37,414.47,676823
14-May-12,418.17,421.00,414.44,414.44,1216311
11-May-12,420.00,427.62,419.00,422.40,789087
10-May-12,425.80,429.35,418.27,422.98,1156060
9-May-12,425.82,432.04,421.00,422.83,999521
8-May-12,434.01,436.15,423.05,431.64,1041017
7-May-12,434.65,442.82,434.65,436.12,1080100
4-May-12,437.00,441.91,433.84,439.69,1471572
3-May-12,453.00,454.77,439.69,442.43,1513652
2-May-12,446.69,458.20,440.00,451.45,2165009
1-May-12,455.85,466.98,453.67,455.90,1759008
30-Apr-12,459.40,460.31,451.34,452.27,979309
27-Apr-12,458.11,462.34,455.51,457.58,1084848
26-Apr-12,444.49,456.49,444.49,453.98,1041103
25-Apr-12,434.68,445.06,431.74,445.06,978076
24-Apr-12,430.24,435.87,426.68,430.30,652603
23-Apr-12,436.01,437.43,420.75,430.26,1235374
20-Apr-12,440.01,443.29,437.48,440.44,907127
19-Apr-12,437.18,440.79,432.34,436.82,687998
18-Apr-12,437.31,440.97,435.97,436.70,520790
17-Apr-12,434.82,439.24,434.48,438.43,523254
16-Apr-12,440.87,441.47,429.01,432.66,768609
13-Apr-12,433.63,443.80,430.99,440.46,1058150
12-Apr-12,430.51,434.22,429.70,433.98,531124
11-Apr-12,429.57,432.42,427.22,430.04,575332
10-Apr-12,439.29,440.95,424.19,424.73,1261439
9-Apr-12,432.94,442.88,432.15,439.29,857709
5-Apr-12,430.48,442.20,428.69,439.85,850598
4-Apr-12,434.39,436.50,426.12,430.94,982383
3-Apr-12,431.71,440.60,429.04,438.02,1151998
2-Apr-12,421.84,434.34,419.00,432.05,894396
30-Mar-12,428.63,428.71,420.00,420.54,1018002
29-Mar-12,424.62,428.32,421.58,428.22,509359
28-Mar-12,433.80,434.74,424.81,427.52,683734
27-Mar-12,435.51,435.90,430.66,430.66,730232
26-Mar-12,427.29,437.56,425.01,435.68,1045952
23-Mar-12,416.22,426.36,416.22,424.01,664332
22-Mar-12,417.45,421.33,415.01,416.84,630503
21-Mar-12,420.05,422.97,417.89,417.94,599791
20-Mar-12,423.18,423.92,417.64,418.98,595935
19-Mar-12,419.77,428.10,419.22,425.09,801084
16-Mar-12,418.69,421.37,418.08,420.17,760906
15-Mar-12,421.42,422.99,418.00,419.55,588850
14-Mar-12,422.42,426.13,418.66,421.42,617447
13-Mar-12,422.00,423.34,416.80,423.22,754435
12-Mar-12,418.07,423.63,417.53,419.86,646238
9-Mar-12,418.17,421.07,415.51,419.52,735318
8-Mar-12,414.46,418.93,413.55,417.26,709489
7-Mar-12,411.31,414.99,410.65,411.74,839685
6-Mar-12,410.97,412.13,406.28,408.34,935879
5-Mar-12,414.52,419.30,412.13,417.62,832032
2-Mar-12,416.50,419.47,412.68,412.78,965360
1-Mar-12,422.49,423.28,417.00,420.43,872579
29-Feb-12,424.13,428.57,417.61,420.00,1099040
28-Feb-12,421.47,426.00,420.01,423.97,969140
27-Feb-12,412.33,422.08,410.97,421.40,875590
24-Feb-12,408.32,418.76,406.19,415.61,1286888
23-Feb-12,406.79,407.77,404.23,406.10,821512
22-Feb-12,397.98,408.54,397.98,406.83,1008691
21-Feb-12,395.45,400.79,394.01,399.55,1158743
17-Feb-12,394.72,396.99,392.29,396.00,768775
16-Feb-12,394.10,395.87,389.77,393.15,722257
15-Feb-12,398.80,399.73,392.65,392.96,730722
14-Feb-12,396.47,396.55,393.82,395.55,765957
13-Feb-12,399.52,400.00,395.32,396.65,584700
10-Feb-12,394.00,396.98,392.41,396.14,748309
9-Feb-12,399.97,401.79,394.27,396.40,999902
8-Feb-12,393.02,395.16,390.25,394.91,1009455
7-Feb-12,391.99,394.48,388.65,392.91,1256756
6-Feb-12,393.00,393.00,387.00,391.31,1125588
3-Feb-12,382.05,391.30,382.05,390.32,2234069
2-Feb-12,367.16,384.25,367.16,381.57,3502577
1-Feb-12,358.24,361.23,356.00,357.62,1459444
31-Jan-12,355.37,358.65,352.44,355.57,1063447
30-Jan-12,346.97,352.37,346.25,351.97,824446
27-Jan-12,347.75,351.70,345.61,348.79,724219
26-Jan-12,349.01,354.94,347.22,347.83,923140
25-Jan-12,342.16,349.88,341.00,348.77,899338
24-Jan-12,338.46,344.60,337.30,342.68,682994
23-Jan-12,339.95,343.90,336.26,339.06,1035739
20-Jan-12,349.97,350.00,337.50,340.66,1896090
19-Jan-12,355.49,356.00,350.52,352.90,885677
18-Jan-12,345.99,354.51,345.67,352.38,1243972
17-Jan-12,341.07,347.00,340.51,345.97,1111743
13-Jan-12,339.08,339.08,339.08,339.08,0
12-Jan-12,341.50,344.85,339.56,343.30,1326168
11-Jan-12,339.98,345.56,339.05,341.47,1435556
10-Jan-12,348.75,351.28,345.24,348.83,1025167
9-Jan-12,344.87,347.82,342.09,345.82,1149213
6-Jan-12,353.36,354.00,341.78,342.92,2088700
5-Jan-12,353.80,355.63,350.54,352.41,1475679
4-Jan-12,364.97,366.74,352.57,356.25,2285425
3-Jan-12,378.37,378.64,365.61,368.37,1471070
30-Dec-11,372.82,372.82,372.82,372.82,0
29-Dec-11,373.99,378.40,373.66,378.27,487381
28-Dec-11,376.90,376.90,371.39,373.78,525167
27-Dec-11,378.79,381.32,374.15,374.75,446228
23-Dec-11,378.15,378.15,378.15,378.15,0
22-Dec-11,374.69,376.56,367.59,371.25,933996
21-Dec-11,373.14,374.50,366.69,374.18,794194
20-Dec-11,363.31,374.17,360.01,373.91,1317811
19-Dec-11,362.70,368.00,358.00,358.74,1094391
16-Dec-11,360.13,365.95,358.29,362.16,839868
15-Dec-11,367.94,367.96,358.97,359.21,766324
14-Dec-11,366.05,367.08,360.00,361.12,1040545
13-Dec-11,374.64,374.95,366.23,368.94,700587
12-Dec-11,373.98,375.31,369.08,371.28,602768
9-Dec-11,373.45,379.30,369.83,377.42,840479
8-Dec-11,373.31,378.11,368.87,369.31,854427
7-Dec-11,371.16,374.98,366.36,374.35,793461
6-Dec-11,372.05,374.98,370.17,371.30,889498
5-Dec-11,382.99,383.35,370.01,372.84,1099413
2-Dec-11,383.70,384.99,378.38,378.38,931914
1-Dec-11,372.41,381.96,372.41,380.96,1215405
30-Nov-11,368.02,374.70,366.05,374.55,1275182
29-Nov-11,360.05,361.46,355.00,357.68,720314
28-Nov-11,355.92,359.99,354.80,359.25,1089764
25-Nov-11,345.30,351.57,345.00,346.20,393859
23-Nov-11,347.05,347.05,347.05,347.05,0
22-Nov-11,352.05,358.35,352.00,354.55,770607
21-Nov-11,355.01,356.81,348.81,351.80,1407908
18-Nov-11,361.58,362.00,356.00,360.42,1058741
17-Nov-11,361.93,366.79,356.63,359.39,1142274
16-Nov-11,368.52,369.83,361.00,361.00,976276
15-Nov-11,367.43,373.55,367.00,371.33,888726
14-Nov-11,366.27,373.20,366.01,367.27,694016
11-Nov-11,362.56,370.37,362.54,370.15,1028767
10-Nov-11,362.21,362.71,355.37,360.11,677747
9-Nov-11,361.69,366.44,357.44,357.44,1111870
8-Nov-11,368.12,368.99,363.05,368.07,915309
7-Nov-11,361.97,365.95,358.74,365.91,1031034
4-Nov-11,364.84,368.99,359.10,360.09,1242249
3-Nov-11,355.35,367.99,355.01,366.59,1451132
2-Nov-11,361.05,364.80,351.43,357.66,3075902
1-Nov-11,336.74,341.00,333.36,334.30,1270517
31-Oct-11,351.15,356.00,346.09,347.24,925381
28-Oct-11,346.58,355.00,346.17,354.58,972819
27-Oct-11,336.01,349.59,331.19,349.15,1693303
26-Oct-11,332.60,332.98,324.58,329.06,1096322
25-Oct-11,338.13,339.83,327.00,327.51,832301
24-Oct-11,332.80,341.10,332.80,340.69,815534
21-Oct-11,329.73,333.61,326.60,333.40,1003108
