Date,Open,High,Low,Close,Volume
30-Apr-12,31.98,32.11,31.92,32.02,35706696
27-Apr-12,32.12,32.22,31.88,31.98,41423609
26-Apr-12,32.12,32.23,31.92,32.11,40312879
25-Apr-12,31.92,32.32,31.87,32.20,62496907
24-Apr-12,32.21,32.52,31.83,31.92,40871061
23-Apr-12,32.31,32.50,32.03,32.12,61403840
20-Apr-12,32.15,32.89,32.05,32.42,106052027
19-Apr-12,31.13,31.68,30.94,31.01,54781106
18-Apr-12,31.28,31.31,31.04,31.14,40555467
17-Apr-12,31.27,31.61,31.20,31.44,34361728
16-Apr-12,30.99,31.19,30.77,31.08,38130098
13-Apr-12,30.89,31.16,30.72,30.81,39749525
12-Apr-12,30.48,31.04,30.42,30.98,38306010
11-Apr-12,30.43,30.53,30.23,30.34,43016353
10-Apr-12,31.06,31.19,30.30,30.47,54137247
9-Apr-12,31.22,31.40,30.97,31.10,31062811
5-Apr-12,31.15,31.63,31.05,31.52,50342719
4-Apr-12,31.66,31.69,31.05,31.21,49455870
3-Apr-12,32.16,32.19,31.66,31.94,42709273
2-Apr-12,32.22,32.46,31.95,32.29,35850785
30-Mar-12,32.40,32.41,32.04,32.26,31754740
29-Mar-12,32.06,32.19,31.81,32.12,37038894
28-Mar-12,32.52,32.70,32.04,32.19,41350041
27-Mar-12,32.65,32.70,32.40,32.52,36274889
26-Mar-12,32.19,32.61,32.16,32.59,36758279
23-Mar-12,32.10,32.11,31.72,32.01,35912885
22-Mar-12,31.81,32.09,31.79,32.00,31749516
21-Mar-12,31.96,32.15,31.82,31.91,37935484
20-Mar-12,32.10,32.15,31.74,31.99,41566788
19-Mar-12,32.54,32.61,32.15,32.20,44797109
16-Mar-12,32.91,32.95,32.50,32.60,65626398
15-Mar-12,32.79,32.94,32.58,32.85,49070794
14-Mar-12,32.53,32.88,32.49,32.77,41987743
13-Mar-12,32.24,32.69,32.15,32.67,48951650
12-Mar-12,31.97,32.20,31.82,32.04,34076755
9-Mar-12,32.10,32.16,31.92,31.99,34628398
8-Mar-12,32.04,32.21,31.90,32.01,36752011
7-Mar-12,31.67,31.92,31.53,31.84,34340619
6-Mar-12,31.54,31.98,31.49,31.56,51938950
5-Mar-12,32.01,32.05,31.62,31.80,45239832
2-Mar-12,32.31,32.44,32.00,32.08,47318927
1-Mar-12,31.93,32.39,31.85,32.29,77348930
29-Feb-12,31.88,32.00,31.61,31.74,59326545
28-Feb-12,31.41,31.93,31.38,31.87,45230573
27-Feb-12,31.24,31.50,31.10,31.35,34575391
24-Feb-12,31.48,31.50,31.24,31.48,35577833
23-Feb-12,31.20,31.59,31.00,31.37,35035609
22-Feb-12,31.45,31.68,31.18,31.27,49253117
21-Feb-12,31.18,31.61,31.15,31.44,50832547
17-Feb-12,31.20,31.32,30.95,31.25,70040830
16-Feb-12,30.31,31.55,30.30,31.28,94705078
15-Feb-12,30.33,30.39,30.03,30.05,43316117
14-Feb-12,30.33,30.46,29.85,30.25,59662711
13-Feb-12,30.63,30.77,30.43,30.58,33322516
10-Feb-12,30.64,30.80,30.36,30.50,44606751
9-Feb-12,30.68,30.80,30.48,30.77,50481549
