Date,Open,High,Low,Close,Volume
25-May-12,70.60,73.51,69.89,70.22,4769660
24-May-12,71.52,71.69,69.50,70.27,2963659
23-May-12,67.47,72.15,67.17,71.91,6305391
22-May-12,71.80,72.40,67.25,67.71,5721898
21-May-12,69.85,72.19,67.55,71.74,3592857
18-May-12,72.30,72.75,65.36,69.96,4203457
17-May-12,74.25,74.41,71.90,71.97,3398237
16-May-12,77.57,78.44,73.65,74.20,5245343
15-May-12,77.78,79.30,77.10,77.48,4475596
14-May-12,77.13,78.65,75.61,76.96,5413179
11-May-12,72.89,78.39,72.49,77.38,8894352
10-May-12,74.85,74.98,72.10,72.42,3774877
9-May-12,72.13,74.93,71.34,74.35,3733985
8-May-12,73.07,73.31,70.58,72.79,3892072
7-May-12,72.50,75.62,72.33,73.45,4103757
4-May-12,75.79,76.40,72.11,73.14,9096794
3-May-12,81.81,82.18,75.52,75.97,7574544
2-May-12,80.74,82.98,80.16,82.23,3912333
1-May-12,80.29,82.69,79.00,81.36,4714651
30-Apr-12,82.62,82.87,79.76,80.14,7527398
27-Apr-12,85.71,85.89,83.00,83.74,5151689
26-Apr-12,85.60,87.84,83.81,85.07,7998067
25-Apr-12,88.59,88.59,81.56,86.35,11922883
24-Apr-12,86.52,90.00,86.30,87.68,16778355
23-Apr-12,104.89,105.00,101.79,101.84,12039138
20-Apr-12,107.52,108.17,105.67,106.11,2613322
19-Apr-12,105.07,109.71,104.28,107.09,3585410
18-Apr-12,106.49,108.72,106.25,106.96,3359167
17-Apr-12,101.70,107.66,101.69,107.02,4447403
16-Apr-12,104.61,105.00,100.40,101.15,3820653
13-Apr-12,104.91,106.50,102.31,104.17,3957652
12-Apr-12,101.26,104.93,99.31,104.26,4843373
11-Apr-12,103.24,103.72,98.52,99.81,7476046
10-Apr-12,107.32,107.80,101.80,101.92,5016337
9-Apr-12,108.76,109.68,106.63,106.68,3237080
5-Apr-12,109.94,111.61,109.32,110.50,3247727
4-Apr-12,111.63,112.55,109.90,110.26,2968153
3-Apr-12,110.82,114.25,109.75,112.96,6571959
2-Apr-12,114.80,114.80,112.10,113.97,3807521
30-Mar-12,115.51,117.29,114.18,115.04,4181740
29-Mar-12,117.93,118.59,113.00,115.05,4662647
28-Mar-12,120.25,121.00,118.34,118.80,3271348
27-Mar-12,122.14,123.47,120.54,120.67,3488102
26-Mar-12,121.59,122.19,119.15,121.99,4634841
23-Mar-12,119.44,121.18,117.31,120.19,5393074
22-Mar-12,120.03,123.48,117.87,118.73,6110493
21-Mar-12,116.00,120.89,115.62,120.10,6763840
20-Mar-12,113.91,116.75,113.11,115.02,4502248
19-Mar-12,109.51,115.00,108.81,114.33,5301188
16-Mar-12,110.26,111.71,107.56,109.96,5314495
15-Mar-12,105.35,110.65,105.00,110.17,5841306
14-Mar-12,105.82,105.95,102.90,105.25,5174958
13-Mar-12,107.88,109.30,105.15,106.35,4392389
12-Mar-12,107.75,110.75,105.55,106.20,4943767
9-Mar-12,107.00,110.26,105.65,109.13,5309571
8-Mar-12,105.95,108.44,104.00,108.07,6536075
7-Mar-12,111.44,111.44,102.53,105.19,10976881
6-Mar-12,109.49,109.58,106.00,107.13,4603016
5-Mar-12,114.70,116.52,110.71,110.81,3944875
2-Mar-12,112.49,117.84,111.60,115.10,5810053
1-Mar-12,109.10,113.67,108.52,112.75,5272360
29-Feb-12,113.08,113.89,109.76,110.73,5370177
28-Feb-12,108.41,114.87,108.10,113.32,6032402
27-Feb-12,108.05,110.39,106.64,109.41,6443568
24-Feb-12,112.88,113.95,111.30,111.67,3870733
23-Feb-12,111.55,114.15,111.16,112.99,5685655
22-Feb-12,114.91,115.00,108.54,112.40,13320791
21-Feb-12,123.85,126.15,116.68,117.40,11498605
17-Feb-12,122.13,122.87,120.05,121.85,3706435
16-Feb-12,122.21,124.13,120.00,121.91,5799178
15-Feb-12,123.63,125.32,121.09,122.06,5307136
14-Feb-12,118.99,124.25,118.55,123.07,7498309
13-Feb-12,124.97,124.98,118.13,118.30,7514005
10-Feb-12,124.05,126.25,122.87,123.93,4845430
9-Feb-12,124.41,126.98,122.15,124.84,5791574
8-Feb-12,125.87,127.39,123.43,124.00,7291197
7-Feb-12,128.73,133.43,126.81,127.88,11633585
6-Feb-12,123.22,130.60,121.85,129.25,11664132
3-Feb-12,125.00,127.49,123.34,126.43,6690137
2-Feb-12,123.50,125.75,122.25,124.00,5879328
1-Feb-12,121.41,123.75,118.25,122.97,7479424
31-Jan-12,124.99,125.49,117.75,120.20,12044650
30-Jan-12,124.76,129.48,123.22,125.43,15126928
27-Jan-12,115.80,123.99,114.28,123.79,14604032
26-Jan-12,113.90,119.37,112.06,116.01,22706295
25-Jan-12,95.11,95.11,95.11,95.11,0
24-Jan-12,92.10,94.69,91.48,92.67,5991000
23-Jan-12,98.71,99.62,93.60,93.96,8726687
20-Jan-12,102.60,104.77,99.69,100.24,7696417
19-Jan-12,99.66,104.60,99.66,103.46,11262284
18-Jan-12,93.18,98.92,92.25,98.54,9447517
17-Jan-12,96.00,97.85,94.33,94.72,8409263
13-Jan-12,94.38,94.38,94.38,94.38,0
12-Jan-12,92.48,93.37,89.20,92.15,8756123
11-Jan-12,94.99,95.60,91.45,92.15,12458129
10-Jan-12,99.80,99.84,92.50,95.83,20904985
9-Jan-12,89.61,99.65,87.14,98.18,30581831
6-Jan-12,79.12,86.89,78.70,86.10,11549069
5-Jan-12,79.42,81.86,77.28,79.30,12372657
4-Jan-12,72.35,80.97,71.81,80.45,14364728
3-Jan-12,70.28,72.72,70.13,72.24,4174212
30-Dec-11,69.29,69.29,69.29,69.29,0
29-Dec-11,68.98,69.89,67.61,69.30,3737616
28-Dec-11,69.02,69.02,69.02,69.02,0
27-Dec-11,72.30,72.49,70.20,70.60,3134319
23-Dec-11,72.55,72.55,72.55,72.55,0
22-Dec-11,71.12,74.40,71.12,73.84,3696883
21-Dec-11,71.29,72.41,70.19,70.97,3627612
20-Dec-11,68.65,71.59,68.22,71.40,4415857
19-Dec-11,69.79,69.79,66.93,67.15,3461889
16-Dec-11,70.19,70.85,69.16,69.82,4652239
15-Dec-11,71.60,71.96,69.40,69.72,3752782
14-Dec-11,69.58,71.65,68.92,71.04,5314724
13-Dec-11,75.45,77.59,71.60,72.11,10380248
12-Dec-11,69.74,76.83,69.52,75.26,13342879
9-Dec-11,69.54,71.68,69.53,70.89,4703040
8-Dec-11,71.53,72.95,69.09,69.42,6604520
7-Dec-11,68.30,72.77,67.50,71.96,8440408
6-Dec-11,70.08,70.77,66.81,68.14,8499410
5-Dec-11,66.95,71.91,65.30,70.12,9700765
2-Dec-11,66.22,67.89,65.11,66.37,5677171
1-Dec-11,64.42,68.44,64.00,67.17,7494404
30-Nov-11,69.03,69.32,62.37,64.53,15481129
29-Nov-11,69.33,69.39,65.65,67.57,7159061
28-Nov-11,67.20,70.76,66.81,69.95,8075003
25-Nov-11,68.17,69.62,62.90,63.86,5434991
23-Nov-11,68.50,68.50,68.50,68.50,0
22-Nov-11,69.21,74.20,69.00,70.45,15250598
21-Nov-11,77.00,79.98,73.26,74.47,6343987
18-Nov-11,76.70,79.00,76.04,78.06,4961750
17-Nov-11,80.77,81.00,75.79,76.46,7549547
16-Nov-11,86.46,86.46,80.89,81.18,4940277
15-Nov-11,85.15,87.05,84.50,86.28,3054059
14-Nov-11,87.99,88.10,85.45,85.72,3117269
11-Nov-11,85.90,87.95,83.70,87.75,5450643
10-Nov-11,89.29,90.30,84.84,85.12,5668654
9-Nov-11,89.00,90.44,88.00,88.05,4113154
8-Nov-11,91.23,92.60,89.66,90.47,4559534
7-Nov-11,91.00,93.84,89.98,90.83,6789506
4-Nov-11,91.47,92.89,87.75,90.02,12071736
3-Nov-11,84.13,92.60,81.80,92.29,13532027
2-Nov-11,80.71,84.40,80.11,83.39,5918948
1-Nov-11,80.11,81.00,78.74,80.09,4718520
31-Oct-11,83.64,84.09,81.45,82.08,5666174
28-Oct-11,80.28,84.66,79.60,84.14,8256355
27-Oct-11,82.18,82.72,79.25,80.86,10173808
26-Oct-11,78.73,81.42,75.40,79.40,21247615
25-Oct-11,74.90,79.39,74.25,77.37,45077313
24-Oct-11,119.10,120.28,115.10,118.84,17208511
21-Oct-11,113.69,117.13,110.94,117.04,6283722
20-Oct-11,110.05,111.99,109.08,111.48,3655864
19-Oct-11,110.66,114.09,105.59,109.42,8638141
18-Oct-11,117.25,117.49,110.58,111.74,6004104
17-Oct-11,115.91,119.25,115.23,117.33,5622031
14-Oct-11,121.47,122.00,114.40,116.04,7048832
13-Oct-11,112.60,118.97,111.25,117.01,9873586
12-Oct-11,109.40,116.24,107.07,113.62,10316408
11-Oct-11,109.32,110.94,103.13,108.66,20158907
10-Oct-11,127.56,128.50,107.31,111.62,21686641
7-Oct-11,123.00,124.18,117.00,117.21,5774235
6-Oct-11,119.70,124.25,118.48,123.24,5788203
5-Oct-11,115.59,119.86,112.00,119.76,7493194
4-Oct-11,114.68,117.00,110.00,114.90,7221011
3-Oct-11,115.14,119.94,112.62,113.25,8450850
30-Sep-11,109.22,115.75,107.63,113.27,10985456
29-Sep-11,128.07,128.43,107.74,113.19,19420452
28-Sep-11,128.54,132.30,126.57,127.14,8004459
27-Sep-11,134.38,134.99,126.42,127.49,11115492
26-Sep-11,136.22,137.88,126.56,132.22,11573443
23-Sep-11,128.05,134.19,127.52,129.36,10646238
22-Sep-11,132.13,132.90,125.25,128.53,16442906
21-Sep-11,130.38,134.28,125.02,128.50,22637694
20-Sep-11,141.40,142.98,129.37,130.03,32048845
19-Sep-11,156.69,162.99,142.59,143.75,19972107
16-Sep-11,167.80,168.00,154.14,155.19,17852947
15-Sep-11,177.47,185.40,168.13,169.25,21258759
14-Sep-11,209.07,211.25,205.42,208.71,2613025
13-Sep-11,209.96,209.98,204.05,208.75,3143919
12-Sep-11,201.31,210.63,198.62,210.05,4559378
9-Sep-11,210.22,212.10,203.19,203.97,4554601
8-Sep-11,214.06,218.75,209.81,211.20,3943925
7-Sep-11,221.49,221.98,212.56,216.00,4249749
6-Sep-11,209.10,218.95,208.73,218.77,4023394
2-Sep-11,208.71,214.89,207.62,213.11,7948991
1-Sep-11,234.53,238.50,232.53,233.27,3012199
31-Aug-11,238.93,241.88,230.89,235.01,3942690
30-Aug-11,224.50,238.81,223.50,236.28,4503044
29-Aug-11,226.97,226.98,222.25,225.04,2789467
26-Aug-11,214.38,222.50,212.50,221.89,3659762
25-Aug-11,217.79,223.71,214.42,215.83,3722911
24-Aug-11,219.04,220.00,209.50,216.03,4410610
23-Aug-11,207.00,219.75,204.09,219.54,4220004
22-Aug-11,212.37,212.37,203.35,205.21,4795995
19-Aug-11,214.37,221.00,205.00,205.21,4696756
18-Aug-11,223.40,226.00,214.98,217.48,4999468
17-Aug-11,240.61,241.08,228.54,232.24,3685456
