Date,Open,High,Low,Close,Volume
25-May-12,12.10,12.50,12.10,12.40,9793870
24-May-12,12.51,12.53,12.02,12.11,13010829
23-May-12,12.01,12.46,11.82,12.44,12395821
22-May-12,12.28,12.30,11.96,12.14,10258486
21-May-12,12.10,12.35,12.02,12.29,10408963
18-May-12,12.68,12.74,12.02,12.08,14183399
17-May-12,12.79,12.91,12.65,12.65,8385998
16-May-12,13.02,13.17,12.70,12.74,11767073
15-May-12,13.13,13.42,12.94,13.00,15000016
14-May-12,13.10,13.33,12.83,13.13,10944415
11-May-12,13.45,13.68,13.16,13.21,35884745
10-May-12,12.63,12.65,12.22,12.42,14927203
9-May-12,12.24,12.61,12.12,12.51,13017921
8-May-12,12.36,12.54,12.14,12.46,11557988
7-May-12,12.48,12.69,12.37,12.47,15110990
4-May-12,12.55,12.62,12.26,12.26,13631042
3-May-12,12.88,12.96,12.55,12.63,10489016
2-May-12,13.18,13.23,12.78,12.85,17101239
1-May-12,12.93,13.37,12.93,13.23,10220088
30-Apr-12,12.91,13.07,12.82,13.00,6560297
27-Apr-12,13.07,13.14,12.84,12.98,11883834
26-Apr-12,13.07,13.20,12.98,13.09,13480351
25-Apr-12,13.01,13.18,12.77,13.08,18178814
24-Apr-12,13.27,13.38,12.75,12.82,18260959
23-Apr-12,13.16,13.28,12.91,13.23,17656234
20-Apr-12,13.74,13.78,13.36,13.39,12740924
19-Apr-12,13.69,14.21,13.59,13.66,16682464
18-Apr-12,13.93,14.00,13.70,13.87,10019076
17-Apr-12,14.03,14.20,13.97,14.02,11519917
16-Apr-12,14.26,14.30,13.76,13.99,11591106
13-Apr-12,14.55,14.62,14.15,14.16,7783029
12-Apr-12,14.36,14.76,14.30,14.68,9621629
11-Apr-12,14.35,14.65,14.30,14.34,9324274
10-Apr-12,14.38,14.58,14.09,14.16,11761581
9-Apr-12,14.40,14.49,14.16,14.44,9137855
5-Apr-12,14.67,14.85,14.58,14.63,9233270
4-Apr-12,14.85,15.04,14.56,14.65,12398136
3-Apr-12,15.44,15.46,15.00,15.08,10759320
2-Apr-12,15.36,15.49,15.11,15.33,10194318
30-Mar-12,15.36,15.49,15.14,15.40,13181903
29-Mar-12,15.14,15.35,14.95,15.23,9317801
28-Mar-12,15.01,15.36,14.90,15.16,22311982
27-Mar-12,14.78,15.00,14.75,14.82,10507623
26-Mar-12,14.69,14.79,14.55,14.72,7215483
23-Mar-12,14.40,14.59,14.30,14.54,7886589
22-Mar-12,14.35,14.56,14.31,14.44,10635444
21-Mar-12,14.40,14.59,14.24,14.46,11696563
20-Mar-12,14.56,14.56,14.27,14.40,11241227
19-Mar-12,14.68,14.75,14.57,14.64,10135502
16-Mar-12,14.59,14.66,14.51,14.60,10708843
15-Mar-12,14.41,14.66,14.36,14.58,9564493
14-Mar-12,14.79,14.82,14.32,14.36,18396991
13-Mar-12,14.65,14.87,14.58,14.79,13838184
12-Mar-12,14.88,14.98,14.55,14.58,7498730
9-Mar-12,14.90,15.01,14.74,14.82,9195823
8-Mar-12,14.85,15.01,14.77,14.86,10771486
7-Mar-12,14.80,14.87,14.60,14.81,11049586
6-Mar-12,14.69,14.81,14.46,14.72,11785700
5-Mar-12,15.27,15.30,14.75,14.86,12877763
2-Mar-12,15.20,15.60,15.20,15.38,17101859
1-Mar-12,15.21,15.43,15.15,15.25,11249134
29-Feb-12,15.38,15.64,15.14,15.15,17231357
28-Feb-12,15.47,15.65,15.17,15.33,17498048
27-Feb-12,15.59,15.66,15.24,15.47,18634252
24-Feb-12,15.96,15.98,15.72,15.79,9167727
23-Feb-12,15.85,16.00,15.60,15.91,8099102
22-Feb-12,15.85,16.24,15.80,15.82,12312086
21-Feb-12,15.84,16.32,15.81,15.92,12955217
17-Feb-12,16.46,16.57,15.70,15.85,25512430
16-Feb-12,15.06,16.58,15.00,16.45,47223210
15-Feb-12,16.39,16.90,16.13,16.17,27771364
14-Feb-12,16.15,16.38,16.01,16.24,11350467
13-Feb-12,16.30,16.36,15.82,16.15,15272031
10-Feb-12,16.14,16.20,15.81,15.90,11007217
9-Feb-12,16.51,16.60,16.27,16.30,14050995
8-Feb-12,15.74,16.62,15.66,16.31,21191229
7-Feb-12,15.72,15.83,15.46,15.74,10257531
6-Feb-12,15.74,15.76,15.56,15.70,6972667
3-Feb-12,15.72,15.95,15.69,15.82,12388778
2-Feb-12,15.01,15.55,14.86,15.48,17411491
1-Feb-12,14.94,15.10,14.73,14.93,10700480
31-Jan-12,14.84,14.85,14.51,14.77,8947428
30-Jan-12,14.65,14.87,14.43,14.80,9976870
27-Jan-12,14.62,14.99,14.50,14.91,11253705
26-Jan-12,15.07,15.24,14.63,14.71,19995196
25-Jan-12,14.54,14.89,14.12,14.85,31861141
24-Jan-12,14.51,15.00,14.50,14.94,18273000
23-Jan-12,14.23,14.62,14.05,14.61,14073674
20-Jan-12,14.33,14.50,14.17,14.22,13656710
19-Jan-12,14.10,14.37,13.95,14.35,15207925
18-Jan-12,13.78,14.09,13.70,13.98,15823933
17-Jan-12,13.94,13.94,13.50,13.52,15679825
13-Jan-12,13.73,13.73,13.73,13.73,0
12-Jan-12,14.22,14.23,13.79,14.10,16309571
11-Jan-12,14.35,14.48,14.13,14.19,12108921
10-Jan-12,14.76,14.77,14.38,14.48,13659484
9-Jan-12,14.55,14.82,14.44,14.54,12708863
6-Jan-12,14.70,14.71,14.37,14.54,13341151
5-Jan-12,14.13,14.78,14.07,14.71,14089284
4-Jan-12,14.05,14.26,13.92,14.20,8684216
3-Jan-12,14.30,14.40,14.01,14.04,11703338
30-Dec-11,13.86,13.86,13.86,13.86,0
29-Dec-11,13.85,14.00,13.65,13.97,5277991
28-Dec-11,13.71,13.71,13.71,13.71,0
27-Dec-11,14.11,14.28,14.02,14.06,4893716
23-Dec-11,14.16,14.16,14.16,14.16,0
22-Dec-11,13.76,14.35,13.76,14.30,14416187
21-Dec-11,13.82,13.97,13.45,13.72,13710540
20-Dec-11,13.46,13.95,13.46,13.90,11138012
19-Dec-11,13.57,13.73,13.11,13.16,11585844
16-Dec-11,13.57,13.83,13.45,13.51,15479668
15-Dec-11,13.81,13.90,13.43,13.46,10881738
