Date,Open,High,Low,Close,Volume
25-May-12,668.40,668.97,652.12,652.88,678502
24-May-12,676.31,676.93,658.71,668.97,980671
23-May-12,657.07,675.07,652.61,673.12,1110140
22-May-12,659.53,679.09,655.74,660.08,1327217
21-May-12,635.03,658.84,635.00,657.68,1060944
18-May-12,648.85,650.73,630.13,632.00,1431689
17-May-12,663.77,665.49,645.00,645.41,1340401
16-May-12,664.90,674.80,656.99,662.24,1214032
15-May-12,664.59,675.60,658.97,662.33,1027476
14-May-12,669.50,673.88,662.18,663.18,1084243
11-May-12,671.49,684.84,670.02,675.39,1697762
10-May-12,703.12,706.00,680.23,681.11,3137172
9-May-12,708.74,733.05,707.20,718.95,2556667
8-May-12,736.01,739.99,705.01,716.20,2152763
7-May-12,736.38,752.46,734.53,737.65,1047860
4-May-12,745.31,747.00,734.31,736.06,1141552
3-May-12,763.05,764.59,745.55,749.73,898635
2-May-12,755.56,762.40,747.14,761.06,1129488
1-May-12,760.82,766.89,750.00,755.17,1050221
30-Apr-12,761.01,772.35,751.00,760.82,1253494
27-Apr-12,750.98,767.50,748.00,762.13,1850221
26-Apr-12,723.40,736.85,720.88,733.27,1082724
25-Apr-12,701.57,726.98,695.49,724.55,1360459
24-Apr-12,696.67,703.99,678.04,685.01,1069283
23-Apr-12,701.20,702.21,683.24,699.00,1284718
20-Apr-12,719.86,727.00,707.28,710.17,1020514
19-Apr-12,727.71,738.58,711.65,717.18,1170485
18-Apr-12,714.81,739.00,712.06,732.22,1347047
17-Apr-12,704.20,721.37,699.05,715.37,1119579
16-Apr-12,737.00,738.40,698.95,702.00,1915897
13-Apr-12,739.79,749.81,730.70,735.18,1258199
12-Apr-12,731.44,744.00,724.29,742.15,1218827
11-Apr-12,750.88,751.00,719.25,729.57,2149197
10-Apr-12,768.50,774.96,739.06,741.26,2382298
9-Apr-12,746.85,768.90,746.00,764.75,1272724
5-Apr-12,749.28,759.89,748.00,756.80,1577925
4-Apr-12,737.55,746.54,729.00,745.90,1525860
3-Apr-12,721.20,745.00,721.20,743.62,1503284
2-Apr-12,717.26,727.63,717.25,719.97,807698
30-Mar-12,725.00,729.06,715.90,717.50,882046
29-Mar-12,712.10,722.05,709.09,720.04,1033364
28-Mar-12,729.45,734.63,709.43,718.20,1160075
27-Mar-12,735.39,736.45,727.20,728.85,955132
26-Mar-12,722.01,736.92,718.85,735.40,1307828
23-Mar-12,713.95,717.17,707.00,714.99,1032580
22-Mar-12,700.28,713.53,699.50,711.99,975710
21-Mar-12,695.56,709.31,695.25,703.65,1084140
20-Mar-12,693.30,698.04,686.15,696.46,847289
19-Mar-12,678.86,699.89,678.51,696.93,1115003
16-Mar-12,657.25,675.64,657.25,675.50,1264638
15-Mar-12,649.99,659.67,646.07,657.25,690049
14-Mar-12,653.15,653.54,643.90,650.75,614163
13-Mar-12,654.96,655.33,647.08,653.79,549976
12-Mar-12,647.45,653.38,644.62,650.95,564175
9-Mar-12,655.00,655.09,647.00,647.45,979986
8-Mar-12,647.43,654.90,641.26,653.82,866393
7-Mar-12,636.00,643.82,635.51,641.60,1429123
6-Mar-12,634.53,638.52,628.20,629.74,862469
5-Mar-12,647.03,649.70,635.20,642.69,882160
2-Mar-12,637.42,646.00,635.66,645.86,1145959
1-Mar-12,626.03,638.56,626.00,637.32,1054373
29-Feb-12,632.40,634.66,626.42,627.02,1249793
28-Feb-12,634.81,637.88,627.31,632.76,2768158
