Date,Open,High,Low,Close,Volume
15-Nov-12,23.16,23.45,22.88,23.03,940536
14-Nov-12,23.82,24.00,22.90,23.01,1179929
13-Nov-12,23.54,24.30,23.45,23.51,1509494
12-Nov-12,23.02,23.76,22.82,23.69,1405272
9-Nov-12,22.20,23.38,22.10,22.94,1063969
8-Nov-12,22.90,22.99,22.08,22.32,763976
7-Nov-12,23.11,23.30,22.72,22.81,1155765
6-Nov-12,22.70,23.55,22.60,23.25,1489313
5-Nov-12,21.75,22.75,21.74,22.66,1449076
2-Nov-12,21.52,21.99,21.40,21.75,1606329
1-Nov-12,20.62,22.32,20.55,21.82,1605642
31-Oct-12,20.30,21.03,20.03,20.57,1703785
26-Oct-12,20.51,20.90,20.01,20.32,1398188
25-Oct-12,20.71,21.05,20.48,20.92,1206490
24-Oct-12,21.43,21.45,20.19,20.48,2763186
23-Oct-12,21.46,21.65,21.00,21.11,1688469
22-Oct-12,21.86,22.40,21.78,21.89,1148216
19-Oct-12,21.54,22.25,21.46,21.96,758053
18-Oct-12,22.09,22.25,21.30,21.66,1071582
17-Oct-12,21.99,22.34,21.96,22.23,831591
16-Oct-12,22.22,22.40,21.92,22.00,1215494
15-Oct-12,22.40,22.58,21.62,22.10,2197763
12-Oct-12,22.88,22.88,21.82,22.00,1644038
11-Oct-12,22.85,23.00,22.55,22.69,643090
10-Oct-12,22.54,23.00,22.31,22.49,1195365
9-Oct-12,22.66,22.85,22.28,22.49,1022478
8-Oct-12,23.25,23.29,22.59,22.65,1076741
5-Oct-12,23.56,23.87,23.15,23.29,544382
4-Oct-12,23.12,23.63,23.10,23.55,1079327
3-Oct-12,22.64,23.59,22.59,23.46,1961425
2-Oct-12,21.97,23.00,21.80,22.87,2438519
1-Oct-12,22.03,22.06,21.50,21.81,2227839
28-Sep-12,22.31,22.40,21.80,22.05,2064274
27-Sep-12,22.41,22.44,21.38,22.02,3449178
26-Sep-12,22.62,22.68,22.00,22.22,1704247
25-Sep-12,23.50,23.56,22.75,22.81,1109284
24-Sep-12,23.58,23.90,23.09,23.24,1736936
21-Sep-12,24.50,24.94,23.25,23.50,2407431
20-Sep-12,24.69,24.90,24.21,24.75,3350404
19-Sep-12,24.96,25.50,24.61,25.20,3839482
18-Sep-12,24.95,24.98,24.01,24.72,1623390
17-Sep-12,25.00,25.06,24.43,24.72,1624037
14-Sep-12,24.53,25.45,24.31,24.89,4658348
