Date,Open,High,Low,Close,Volume
15-Nov-12,39.99,40.30,39.27,39.28,3706035
14-Nov-12,40.85,41.13,39.69,39.82,5378240
13-Nov-12,40.26,41.11,40.00,40.46,4174090
12-Nov-12,41.36,41.53,39.70,40.47,4442534
9-Nov-12,41.16,42.08,41.06,41.22,4032681
8-Nov-12,43.56,43.65,41.00,41.09,7870129
7-Nov-12,44.11,44.24,43.02,43.40,4348685
6-Nov-12,44.43,45.33,44.18,44.81,5322224
5-Nov-12,43.36,44.39,43.32,44.31,3344736
2-Nov-12,44.39,44.40,43.33,43.46,4143434
1-Nov-12,41.98,44.28,41.85,44.16,5461953
31-Oct-12,41.82,42.48,41.68,41.78,3261383
26-Oct-12,42.54,43.19,41.79,42.23,4031744
25-Oct-12,43.63,43.63,42.14,42.39,3946248
24-Oct-12,43.75,44.21,42.62,43.11,4450607
23-Oct-12,42.79,43.75,42.66,43.36,4965017
22-Oct-12,43.44,44.37,42.88,43.43,6450735
19-Oct-12,46.26,46.84,43.98,44.02,21759729
18-Oct-12,44.10,44.41,42.71,42.86,10271157
17-Oct-12,44.64,45.09,44.26,44.34,5143020
16-Oct-12,43.88,45.27,43.79,44.82,5720152
15-Oct-12,43.39,43.88,42.98,43.73,6686657
12-Oct-12,42.34,43.35,42.20,42.28,3855807
11-Oct-12,43.06,43.30,41.93,42.28,4404647
10-Oct-12,43.26,43.46,42.40,42.56,3580091
9-Oct-12,43.75,44.00,43.00,43.39,3039203
8-Oct-12,44.05,44.98,43.57,43.73,3675771
5-Oct-12,44.72,45.05,43.96,44.09,3259190
4-Oct-12,43.77,45.02,43.48,44.64,5170609
3-Oct-12,44.46,44.66,43.54,43.63,4083289
2-Oct-12,43.34,44.37,42.78,44.31,4746672
1-Oct-12,43.70,44.09,42.70,43.01,3833017
28-Sep-12,43.57,44.00,43.04,43.43,5764830
27-Sep-12,42.73,43.48,42.07,43.24,5251430
26-Sep-12,42.54,42.90,42.00,42.66,6908258
25-Sep-12,45.42,45.60,43.72,43.89,4121154
24-Sep-12,44.84,45.95,44.82,45.16,3645893
21-Sep-12,46.32,46.82,45.19,45.24,2011636
20-Sep-12,45.82,46.32,45.37,45.95,946720
19-Sep-12,45.56,46.99,45.35,46.18,1238082
18-Sep-12,45.56,45.99,45.01,45.19,728724
17-Sep-12,45.84,45.88,45.26,45.75,766180
14-Sep-12,45.60,46.28,45.59,45.69,4149800
13-Sep-12,45.13,45.74,44.64,45.36,1099242
12-Sep-12,44.69,45.47,44.67,44.97,1393779
11-Sep-12,44.02,44.75,43.28,44.52,1402597
10-Sep-12,44.06,44.90,43.97,43.99,1157138
7-Sep-12,43.70,44.48,43.38,44.26,5922169
6-Sep-12,42.05,44.17,41.95,44.01,12013537
5-Sep-12,40.89,41.09,40.46,40.60,3480634
4-Sep-12,41.03,41.23,40.49,40.89,2568858
31-Aug-12,41.44,41.65,40.69,41.22,2204573
30-Aug-12,41.87,41.87,40.73,41.03,4006387
29-Aug-12,42.41,42.55,41.92,42.04,3551283
28-Aug-12,42.81,43.10,42.31,42.31,3297822
27-Aug-12,43.40,43.46,42.64,42.95,2314531
24-Aug-12,42.19,43.29,42.09,43.04,3425498
23-Aug-12,43.31,43.31,42.12,42.27,4519099
22-Aug-12,42.77,43.91,42.66,43.54,4454451
21-Aug-12,42.49,44.00,42.44,42.98,4822212
20-Aug-12,42.47,42.70,41.92,42.27,2903204
17-Aug-12,42.85,43.00,42.11,42.55,3949788
16-Aug-12,41.59,42.96,41.56,42.70,4844899
15-Aug-12,40.41,42.25,40.35,41.56,5324721
14-Aug-12,40.95,41.28,40.36,40.53,2913177
13-Aug-12,41.40,41.57,40.72,40.90,2951084
10-Aug-12,41.44,41.65,40.97,41.40,2781711
9-Aug-12,41.69,42.10,41.49,41.59,2530985
8-Aug-12,41.81,41.94,41.28,41.70,4315265
7-Aug-12,41.84,42.60,41.78,42.08,4597227
6-Aug-12,41.53,41.97,41.28,41.48,2157314
3-Aug-12,41.60,42.22,41.17,41.37,4602920
2-Aug-12,41.19,41.84,40.59,40.75,4630547
1-Aug-12,41.66,41.96,41.10,41.43,4124889
31-Jul-12,41.07,42.34,40.92,41.13,5187854
30-Jul-12,42.44,42.75,40.56,41.17,5773728
27-Jul-12,41.92,42.64,41.21,42.44,5102801
26-Jul-12,40.50,42.23,40.38,41.50,7695452
25-Jul-12,39.44,40.52,39.31,39.73,6146217
24-Jul-12,40.38,41.23,39.30,39.66,8879047
23-Jul-12,38.21,40.18,37.95,39.88,10386032
20-Jul-12,39.19,40.45,38.51,38.70,24127873
19-Jul-12,34.45,35.54,34.18,35.08,9365686
18-Jul-12,32.89,34.91,32.75,34.26,6631845
17-Jul-12,32.97,33.45,32.08,33.34,5504170
16-Jul-12,32.33,33.07,32.26,32.81,4429248
13-Jul-12,33.36,33.61,33.02,33.42,3625537
12-Jul-12,33.69,33.84,32.63,33.41,5432822
11-Jul-12,34.80,34.95,33.67,33.99,6200388
10-Jul-12,36.16,36.50,34.38,34.66,6594640
9-Jul-12,36.70,36.85,36.06,36.19,2886482
6-Jul-12,36.31,36.82,36.10,36.71,3732461
5-Jul-12,36.82,37.06,36.05,36.62,4212186
3-Jul-12,36.94,37.39,36.61,37.12,2192839
2-Jul-12,36.60,37.05,36.03,36.91,4326164
29-Jun-12,35.33,36.51,35.15,36.48,5775745
28-Jun-12,35.16,35.30,34.00,34.70,6538358
27-Jun-12,36.29,36.50,35.29,35.41,6210218
26-Jun-12,35.96,36.45,35.61,36.27,4144237
25-Jun-12,36.88,37.25,35.70,35.87,4907463
22-Jun-12,36.15,36.52,36.00,36.36,3207672
21-Jun-12,37.26,37.40,35.94,36.00,4575254
20-Jun-12,37.36,37.64,36.89,37.47,3264752
19-Jun-12,37.23,37.46,36.94,37.17,4736715
18-Jun-12,36.61,37.23,36.26,36.83,4045165
