Date,Open,High,Low,Close,Volume
25-May-12,30.16,30.41,29.20,29.81,757009
24-May-12,31.25,31.25,29.69,30.32,1075520
23-May-12,30.56,31.05,29.50,31.02,1220349
22-May-12,30.10,31.34,30.00,30.79,2366170
21-May-12,27.58,29.26,27.12,28.77,1475170
18-May-12,28.37,28.46,26.83,27.56,1616487
17-May-12,29.30,29.79,28.24,28.57,1149043
16-May-12,29.58,30.18,28.88,29.18,1257193
15-May-12,30.26,30.96,29.22,29.43,1585682
14-May-12,31.92,32.13,30.05,30.06,1380842
11-May-12,32.49,33.44,32.16,32.25,1221205
10-May-12,32.97,34.68,32.40,32.96,5556301
9-May-12,30.30,30.77,29.76,30.06,1947828
8-May-12,32.50,32.73,29.37,30.19,3097180
7-May-12,31.96,32.58,31.61,32.47,1157969
4-May-12,32.32,32.46,31.40,31.83,1247486
3-May-12,33.91,34.00,32.13,32.46,842107
2-May-12,33.50,34.39,33.39,33.94,497251
1-May-12,33.13,34.21,33.13,33.78,658947
30-Apr-12,33.27,33.36,32.58,33.13,413948
27-Apr-12,33.60,33.63,32.91,33.34,590205
26-Apr-12,32.96,33.52,32.91,33.49,427619
25-Apr-12,32.07,32.99,32.07,32.91,712133
24-Apr-12,31.82,32.20,31.00,31.82,674467
23-Apr-12,32.86,32.97,31.71,31.94,890715
20-Apr-12,33.14,33.73,32.94,33.16,821774
19-Apr-12,32.75,33.43,32.50,33.16,774878
18-Apr-12,32.09,32.75,31.53,32.66,823096
17-Apr-12,32.43,33.07,32.04,32.24,1115538
16-Apr-12,33.41,33.70,32.09,32.25,1099751
13-Apr-12,33.94,34.04,32.85,33.59,649580
12-Apr-12,33.77,34.48,32.92,33.44,1034154
11-Apr-12,33.24,33.29,32.01,33.09,1105447
10-Apr-12,33.15,33.85,32.10,32.46,1847669
9-Apr-12,34.10,34.29,33.10,33.15,1655805
5-Apr-12,35.10,35.44,34.41,34.48,1509478
4-Apr-12,35.27,35.49,34.69,35.00,4482816
3-Apr-12,36.70,38.47,36.67,38.01,1073304
2-Apr-12,37.33,37.97,36.53,36.58,1028504
30-Mar-12,37.52,37.94,36.68,37.24,886312
29-Mar-12,38.19,38.19,37.03,37.33,796335
28-Mar-12,37.78,38.44,37.11,37.85,954970
27-Mar-12,37.16,39.95,37.03,37.94,2540053
26-Mar-12,35.59,38.09,35.04,37.40,3140891
23-Mar-12,34.26,34.63,33.15,34.08,1170567
22-Mar-12,34.97,35.15,34.30,34.40,522353
21-Mar-12,34.94,35.30,34.60,35.15,607103
20-Mar-12,34.98,35.20,34.57,34.96,567001
19-Mar-12,35.26,35.32,34.54,34.98,1015586
16-Mar-12,34.90,35.89,34.83,35.32,729236
15-Mar-12,35.28,35.48,34.78,35.00,571596
14-Mar-12,36.00,36.00,34.80,35.29,851464
13-Mar-12,36.51,36.59,35.50,36.09,1001643
12-Mar-12,34.69,36.29,34.60,36.01,1964520
9-Mar-12,33.20,35.31,33.20,34.74,1553423
8-Mar-12,33.11,33.49,33.04,33.07,633267
7-Mar-12,33.12,33.32,32.91,33.12,364831
6-Mar-12,33.25,33.28,32.62,33.11,573749
5-Mar-12,34.35,34.40,33.46,33.77,466938
2-Mar-12,34.40,34.50,33.71,34.04,549971
1-Mar-12,33.51,34.50,33.30,34.41,703435
29-Feb-12,33.81,34.12,33.14,33.41,535684
28-Feb-12,33.64,34.44,33.17,33.81,612183
27-Feb-12,33.41,34.00,33.00,33.62,605953
24-Feb-12,34.23,34.52,33.27,33.75,959866
23-Feb-12,33.99,34.97,33.56,34.53,820345
22-Feb-12,34.50,34.72,32.50,34.22,1654985
21-Feb-12,34.87,34.87,33.81,34.50,1135788
17-Feb-12,33.99,34.97,33.50,34.97,1376645
16-Feb-12,33.50,34.51,32.54,34.18,2219636
15-Feb-12,33.10,34.41,32.27,33.60,2764476
14-Feb-12,31.74,33.79,31.40,33.17,1811365
13-Feb-12,31.55,32.06,30.90,31.49,1157858
10-Feb-12,32.26,32.27,29.84,31.10,1874139
9-Feb-12,32.00,32.90,31.43,32.58,1277968
8-Feb-12,31.60,32.01,31.29,31.93,623626
7-Feb-12,31.30,31.30,31.30,31.30,0
6-Feb-12,31.10,31.90,31.05,31.80,652161
3-Feb-12,30.41,31.33,30.25,31.15,764418
2-Feb-12,29.72,30.88,29.60,30.25,805610
1-Feb-12,29.07,29.70,29.00,29.58,523169
31-Jan-12,29.90,30.00,28.87,29.07,956713
30-Jan-12,29.49,29.61,28.53,29.57,728979
27-Jan-12,28.50,29.72,28.50,29.33,748361
26-Jan-12,28.07,29.58,28.00,28.94,1271028
25-Jan-12,27.27,28.01,27.05,27.97,611112
24-Jan-12,26.63,27.68,26.44,27.42,857914
23-Jan-12,26.81,27.21,26.60,26.77,594533
20-Jan-12,26.90,27.00,26.40,26.60,662289
19-Jan-12,27.19,27.74,26.61,26.76,1246222
18-Jan-12,26.69,26.88,26.25,26.81,1260183
17-Jan-12,26.62,27.34,26.41,26.60,4652386
