Date,Open,High,Low,Close,Volume
25-May-12,23.95,24.08,23.62,23.84,1273587
24-May-12,23.88,24.07,23.53,23.82,1783170
23-May-12,23.51,23.91,22.98,23.84,3094342
22-May-12,24.21,24.65,24.02,24.11,2462923
21-May-12,23.51,24.54,23.50,24.50,2707779
18-May-12,23.83,23.95,23.32,23.43,2025594
17-May-12,24.58,24.70,24.12,24.12,2294974
16-May-12,24.97,25.14,24.18,24.38,4052867
15-May-12,26.44,26.54,25.94,26.19,2871527
14-May-12,26.89,27.04,26.61,26.79,1371660
11-May-12,27.49,27.93,27.40,27.55,1372068
10-May-12,27.34,27.48,27.10,27.16,1564449
9-May-12,27.25,27.36,27.02,27.16,2357578
8-May-12,27.90,28.07,27.42,27.85,1740448
7-May-12,28.55,28.92,28.54,28.73,1829111
4-May-12,28.10,28.13,27.75,27.91,1733094
3-May-12,28.44,28.56,28.10,28.21,1850968
2-May-12,28.80,28.93,28.45,28.66,2553710
1-May-12,29.67,30.00,29.44,29.88,817497
30-Apr-12,29.89,30.00,29.55,29.75,992082
27-Apr-12,29.75,29.93,29.42,29.83,1379991
26-Apr-12,29.68,29.88,29.26,29.84,1641758
25-Apr-12,29.93,30.02,29.67,29.73,1638433
24-Apr-12,29.53,29.95,29.52,29.71,1321760
23-Apr-12,29.21,29.70,29.16,29.67,1873486
20-Apr-12,30.26,30.36,29.92,29.96,2393837
19-Apr-12,30.13,30.63,30.10,30.28,3811969
18-Apr-12,29.51,29.89,29.45,29.79,2896830
17-Apr-12,29.00,29.38,28.87,29.31,1973734
16-Apr-12,28.93,28.98,28.48,28.85,2971667
13-Apr-12,28.33,28.39,27.78,27.92,1449266
12-Apr-12,27.85,28.50,27.85,28.39,1355707
11-Apr-12,27.50,27.86,27.32,27.71,1841628
10-Apr-12,27.43,27.66,27.10,27.13,2474803
9-Apr-12,27.04,27.18,26.80,27.00,1386577
5-Apr-12,27.25,27.77,27.18,27.67,1449723
4-Apr-12,27.33,27.49,27.08,27.41,1479698
3-Apr-12,27.76,28.12,27.55,27.82,1221338
2-Apr-12,27.17,27.86,27.15,27.80,2581182
30-Mar-12,26.65,27.17,26.65,26.97,1606684
29-Mar-12,26.07,26.60,25.95,26.37,1411494
28-Mar-12,26.52,26.53,25.80,26.22,2500339
27-Mar-12,26.89,27.00,26.58,26.60,1262859
26-Mar-12,26.67,26.81,26.45,26.76,1523935
23-Mar-12,26.65,26.75,26.50,26.64,1174553
22-Mar-12,26.66,26.92,26.47,26.61,2069984
21-Mar-12,27.49,27.69,27.25,27.55,1555930
20-Mar-12,27.14,27.26,26.89,27.26,2559452
19-Mar-12,28.25,28.53,28.22,28.40,1144394
16-Mar-12,28.69,28.96,28.52,28.78,1912284
15-Mar-12,28.69,28.87,28.33,28.87,1244792
14-Mar-12,28.72,28.86,28.50,28.66,1342092
13-Mar-12,28.18,28.61,28.12,28.61,2138374
12-Mar-12,28.00,28.20,27.67,27.77,1674978
9-Mar-12,28.05,28.20,27.88,27.99,2465484
8-Mar-12,27.38,27.50,27.28,27.46,1732527
7-Mar-12,26.46,27.17,26.46,27.05,1963827
6-Mar-12,26.16,26.35,26.00,26.23,2495446
5-Mar-12,27.57,27.75,27.20,27.33,1805568
2-Mar-12,27.37,27.52,27.05,27.39,2059397
1-Mar-12,27.34,27.96,27.31,27.75,2135694
29-Feb-12,27.53,27.72,27.28,27.30,1809964
28-Feb-12,27.51,27.99,27.48,27.71,3238977
27-Feb-12,26.70,26.75,26.10,26.58,2515219
24-Feb-12,27.04,27.59,27.04,27.36,1379486
23-Feb-12,27.49,27.49,27.03,27.18,1980398
22-Feb-12,27.41,27.74,27.32,27.67,2207717
21-Feb-12,27.52,27.82,27.26,27.56,1872625
17-Feb-12,27.68,28.03,27.64,27.76,1469258
16-Feb-12,27.58,27.90,27.25,27.83,2588189
15-Feb-12,28.31,28.74,28.12,28.14,4644719
14-Feb-12,26.77,27.94,26.70,27.80,5253591
13-Feb-12,26.05,26.28,26.05,26.13,1484232
10-Feb-12,25.82,25.84,25.61,25.80,2167976
9-Feb-12,25.87,26.30,25.85,26.25,2779085
8-Feb-12,25.49,25.87,25.28,25.39,1528922
7-Feb-12,25.55,25.60,25.14,25.43,1869826
6-Feb-12,25.43,25.99,25.43,25.94,1663256
3-Feb-12,25.31,25.73,25.30,25.70,2485947
2-Feb-12,24.98,25.06,24.75,24.98,1723470
1-Feb-12,24.85,25.32,24.75,25.04,3319718
31-Jan-12,24.38,24.44,23.80,24.08,2839636
30-Jan-12,23.25,23.64,23.10,23.58,1697864
27-Jan-12,23.89,24.20,23.78,23.88,2884323
26-Jan-12,23.46,23.63,23.26,23.40,2526716
25-Jan-12,22.72,23.45,22.61,23.26,3033229
24-Jan-12,21.96,22.42,21.68,22.36,1606035
23-Jan-12,21.75,22.30,21.73,22.09,2297364
20-Jan-12,21.83,22.09,21.74,22.06,2008809
19-Jan-12,21.73,22.22,21.68,22.09,4020425
18-Jan-12,20.75,21.67,20.75,21.56,4295834
17-Jan-12,20.79,21.00,20.67,20.70,5247739
13-Jan-12,19.82,19.82,19.82,19.82,0
12-Jan-12,20.06,20.07,19.71,19.76,1616858
11-Jan-12,19.64,20.01,19.60,19.98,1304367
10-Jan-12,19.64,19.98,19.56,19.88,2370816
9-Jan-12,18.82,19.15,18.76,19.13,1216058
6-Jan-12,19.08,19.18,18.89,19.05,1877876
5-Jan-12,18.79,19.18,18.70,19.10,1765314
4-Jan-12,18.44,19.00,18.44,18.79,2907546
3-Jan-12,17.82,18.32,17.82,18.11,1919850
30-Dec-11,16.90,16.90,16.90,16.90,0
29-Dec-11,16.52,16.89,16.52,16.89,875210
28-Dec-11,16.78,16.80,16.50,16.54,1220215
27-Dec-11,17.03,17.08,16.73,16.88,1155177
23-Dec-11,17.44,17.44,17.44,17.44,0
22-Dec-11,17.00,17.67,16.97,17.46,2137326
21-Dec-11,16.55,16.67,16.41,16.57,899674
20-Dec-11,16.32,16.68,16.31,16.61,1449672
19-Dec-11,16.51,16.74,16.11,16.16,2751208
16-Dec-11,16.17,16.21,15.88,15.94,2040514
15-Dec-11,16.30,17.00,16.11,16.14,1599431
14-Dec-11,16.27,16.33,15.90,16.03,1327987
13-Dec-11,16.83,17.03,16.25,16.40,1657420
12-Dec-11,16.85,16.85,16.65,16.78,2251155
9-Dec-11,17.51,18.08,17.47,18.04,1935896
