Date,Open,High,Low,Close,Volume
25-May-12,119.39,120.40,118.95,119.37,2944986
24-May-12,119.72,121.00,118.77,119.77,3187352
23-May-12,117.62,119.46,117.39,119.17,4139449
22-May-12,116.41,119.25,116.41,118.39,4648563
21-May-12,113.27,116.32,112.66,116.22,3318029
18-May-12,114.85,115.25,112.50,112.64,6485003
17-May-12,117.00,118.26,115.01,115.01,4455572
16-May-12,116.99,118.20,116.30,117.53,4334804
15-May-12,116.45,117.90,116.45,116.61,3147367
14-May-12,116.83,118.36,115.83,116.72,4061807
11-May-12,117.36,118.97,117.26,117.92,2034998
10-May-12,118.30,119.49,117.64,118.17,3367772
9-May-12,117.31,118.98,116.57,117.42,4419602
8-May-12,118.10,119.08,116.15,118.14,3650407
7-May-12,116.96,119.09,116.96,118.51,3369138
4-May-12,116.22,118.89,115.31,117.79,5852729
3-May-12,122.01,122.51,115.38,116.41,11959599
2-May-12,121.61,123.19,120.67,122.19,6341678
1-May-12,123.47,125.35,123.04,123.09,4295654
30-Apr-12,124.11,124.15,122.31,122.98,2343729
27-Apr-12,123.74,124.21,122.86,123.52,2165286
26-Apr-12,121.89,123.50,121.51,123.19,2777677
25-Apr-12,119.74,122.40,119.56,121.79,3037607
24-Apr-12,118.35,119.24,117.49,118.93,2360298
23-Apr-12,120.25,120.81,116.48,118.10,4337505
20-Apr-12,121.82,122.15,120.58,121.01,1960215
19-Apr-12,121.27,122.26,120.51,121.19,2131403
18-Apr-12,121.61,122.48,121.32,121.78,2121206
17-Apr-12,121.63,122.50,121.25,122.08,2582222
16-Apr-12,123.04,123.05,120.04,120.83,4577137
13-Apr-12,120.40,123.68,120.31,123.16,5374311
12-Apr-12,117.47,121.16,117.19,121.02,4291518
11-Apr-12,118.02,118.95,116.97,117.38,3542780
10-Apr-12,119.48,119.77,116.59,116.74,2670012
9-Apr-12,119.66,120.35,118.71,119.50,3324683
5-Apr-12,118.32,121.15,118.07,121.01,3350316
4-Apr-12,119.49,119.68,118.20,118.98,2577112
3-Apr-12,118.84,120.59,118.37,120.36,3920098
2-Apr-12,118.00,119.90,117.10,118.98,2944352
30-Mar-12,119.09,119.20,117.60,118.00,3000483
29-Mar-12,118.54,119.18,117.55,119.00,2172704
28-Mar-12,119.68,120.30,118.51,119.35,2247923
27-Mar-12,119.98,120.28,119.55,119.81,2665466
26-Mar-12,119.36,120.70,117.25,120.06,4092043
23-Mar-12,117.51,119.00,116.90,118.78,2538836
22-Mar-12,116.15,117.50,116.00,117.28,2341923
21-Mar-12,117.09,117.65,116.58,116.75,2106733
20-Mar-12,118.15,118.60,116.00,116.52,2647163
19-Mar-12,116.44,119.72,116.15,118.84,3979886
16-Mar-12,117.43,117.50,116.27,116.68,4002152
15-Mar-12,116.62,117.47,116.30,117.00,3323425
14-Mar-12,117.31,117.89,116.47,116.75,3749091
13-Mar-12,116.91,117.41,115.68,117.27,3198077
12-Mar-12,117.02,117.55,116.07,116.53,1927301
9-Mar-12,118.07,118.39,117.01,117.17,2114334
8-Mar-12,116.68,118.18,116.03,117.97,2381117
7-Mar-12,115.72,116.10,114.96,115.64,2674377
6-Mar-12,115.22,115.50,113.54,114.84,3326123
5-Mar-12,116.16,116.83,115.90,116.24,2539197
2-Mar-12,116.51,116.97,115.60,116.16,3054632
1-Mar-12,117.45,117.99,116.55,117.18,2793628
29-Feb-12,119.02,119.36,116.01,116.37,3804983
28-Feb-12,117.16,118.97,117.05,118.95,2984400
27-Feb-12,117.07,117.30,116.30,116.86,3953751
24-Feb-12,116.49,117.77,115.90,117.54,2773660
23-Feb-12,116.36,116.80,115.66,116.48,2722672
22-Feb-12,113.79,116.75,113.30,116.36,3595558
21-Feb-12,115.26,116.00,113.85,114.20,2704901
17-Feb-12,114.41,115.25,113.80,115.01,3879310
16-Feb-12,115.46,115.73,113.60,113.80,3993328
15-Feb-12,115.74,117.18,114.64,115.10,5425293
14-Feb-12,112.11,115.25,112.09,115.24,4490888
13-Feb-12,114.25,115.17,112.36,112.71,5519971
10-Feb-12,111.79,114.00,111.40,113.90,5472281
9-Feb-12,113.06,114.90,112.05,112.42,9902007
8-Feb-12,107.77,108.64,107.02,108.35,5685422
7-Feb-12,107.46,107.55,106.06,106.98,3262851
6-Feb-12,106.94,108.27,106.80,107.36,3337952
3-Feb-12,106.79,107.82,106.59,107.03,4133478
2-Feb-12,103.78,107.12,103.59,106.06,8436287
1-Feb-12,101.18,102.70,100.60,102.51,3844465
31-Jan-12,100.49,100.78,99.83,100.64,3310204
30-Jan-12,100.14,100.52,99.50,99.88,3119526
27-Jan-12,100.41,101.53,99.90,101.05,2840735
26-Jan-12,100.72,102.15,99.98,100.86,3484877
25-Jan-12,100.61,100.97,99.80,100.56,3772078
24-Jan-12,99.05,101.27,98.99,101.01,3035274
23-Jan-12,100.75,100.89,98.80,99.60,4041556
20-Jan-12,102.39,102.52,99.80,100.58,5008911
19-Jan-12,104.16,104.20,102.25,102.37,3642621
18-Jan-12,102.16,103.88,102.11,103.78,2938146
17-Jan-12,101.30,102.94,101.19,102.53,4255411
13-Jan-12,100.74,100.74,100.74,100.74,0
12-Jan-12,99.38,101.68,99.38,101.34,4177268
11-Jan-12,98.98,99.50,98.33,99.11,4753917
10-Jan-12,100.87,100.95,99.45,99.80,4678363
9-Jan-12,101.01,101.18,98.78,99.90,4500949
6-Jan-12,101.96,102.22,100.22,100.71,3272245
5-Jan-12,100.71,102.21,99.66,101.91,3024116
4-Jan-12,101.69,102.46,100.00,101.15,4131763
3-Jan-12,103.40,103.40,101.85,102.99,4209534
30-Dec-11,101.53,101.53,101.53,101.53,0
29-Dec-11,101.00,103.24,100.82,103.15,2159712
28-Dec-11,101.69,102.00,100.60,100.72,2492375
27-Dec-11,102.49,103.45,101.91,101.91,2180020
23-Dec-11,102.48,102.48,102.48,102.48,0
22-Dec-11,100.61,101.97,100.10,100.54,3359888
21-Dec-11,101.11,101.26,99.50,100.72,3810981
20-Dec-11,99.53,101.50,99.36,101.35,6863755
19-Dec-11,97.51,99.37,97.51,98.58,5886056
16-Dec-11,96.67,97.75,96.41,97.44,4389172
15-Dec-11,97.32,97.32,95.57,95.82,5255014
14-Dec-11,95.71,96.74,95.05,96.36,4788635
13-Dec-11,97.44,97.54,95.53,95.91,3391261
12-Dec-11,96.64,97.40,95.83,96.92,3411007
9-Dec-11,96.63,97.46,95.51,97.19,2993419
8-Dec-11,96.94,97.87,95.59,95.80,3559877
7-Dec-11,95.27,97.44,95.05,97.07,4013854
6-Dec-11,96.04,96.28,95.08,95.37,3534273
5-Dec-11,98.28,98.29,95.20,96.06,4183421
2-Dec-11,98.39,98.60,96.80,97.20,3231986
1-Dec-11,95.92,98.26,95.75,97.76,4760826
30-Nov-11,94.85,97.03,94.64,96.97,5376242
29-Nov-11,93.47,93.50,92.54,92.90,3628347
28-Nov-11,91.67,93.75,91.13,93.47,3698281
25-Nov-11,89.04,90.39,88.78,89.02,1733391
23-Nov-11,89.29,89.29,89.29,89.29,0
22-Nov-11,90.95,92.19,90.63,90.84,3367444
21-Nov-11,89.66,91.87,89.10,91.21,3961743
18-Nov-11,91.52,91.65,90.43,90.81,3226489
17-Nov-11,93.69,94.01,90.86,91.40,4307267
16-Nov-11,94.55,95.00,93.17,93.40,3250241
15-Nov-11,94.02,95.82,93.85,95.63,3538237
14-Nov-11,94.61,95.72,93.57,93.82,2607957
11-Nov-11,93.79,95.65,93.71,95.16,3412133
10-Nov-11,94.35,94.35,92.59,93.04,2812132
9-Nov-11,92.29,94.10,92.29,93.13,4899207
8-Nov-11,93.43,94.66,93.40,94.54,4900787
7-Nov-11,92.80,93.33,91.52,92.96,2411766
4-Nov-11,92.33,93.63,91.65,92.64,3402086
3-Nov-11,92.06,93.80,90.28,93.18,4603139
2-Nov-11,93.04,93.99,91.12,91.50,6141408
1-Nov-11,91.16,92.46,90.00,90.03,7635326
31-Oct-11,94.28,95.87,93.24,93.26,4456429
28-Oct-11,93.25,95.75,93.25,95.10,5824927
27-Oct-11,91.00,94.49,90.60,94.40,10393380
26-Oct-11,92.14,92.73,89.60,92.02,6686559
25-Oct-11,93.50,93.63,90.55,90.68,4206689
24-Oct-11,93.29,94.41,93.19,94.21,3035065
21-Oct-11,92.49,93.43,91.90,93.43,3532946
20-Oct-11,90.80,91.97,90.27,91.35,4411509
19-Oct-11,94.21,94.48,89.88,90.08,5416256
18-Oct-11,91.11,94.50,90.59,93.91,3599910
17-Oct-11,93.13,93.92,91.03,91.19,3460680
14-Oct-11,93.42,94.65,93.17,93.92,3950160
