Date,Open,High,Low,Close,Volume
25-May-12,95.35,96.47,93.37,94.02,2180008
24-May-12,100.20,100.58,92.86,95.43,4918220
23-May-12,99.59,101.98,98.28,101.52,1632692
22-May-12,101.37,103.05,99.99,100.89,1675783
21-May-12,98.77,101.63,96.30,101.37,1642450
18-May-12,99.77,100.62,97.39,97.90,1883590
17-May-12,99.53,101.79,98.46,98.95,1782935
16-May-12,101.91,103.11,98.89,99.58,1398112
15-May-12,100.67,103.97,100.50,101.76,1092772
14-May-12,101.12,102.41,100.46,100.67,954359
11-May-12,100.77,103.95,99.91,102.32,1640680
10-May-12,105.71,106.49,100.62,101.18,2914377
9-May-12,102.98,106.72,102.92,105.33,1368823
8-May-12,107.06,107.38,101.60,105.07,1653723
7-May-12,106.83,109.46,106.72,107.60,993173
4-May-12,111.43,111.47,107.72,108.02,1529990
3-May-12,114.77,114.96,111.36,112.46,1324860
2-May-12,111.40,115.00,111.22,114.62,1379314
1-May-12,111.97,113.88,110.86,112.63,1287386
30-Apr-12,111.21,112.92,110.83,111.72,1624268
27-Apr-12,111.06,112.86,110.35,112.41,1588306
26-Apr-12,106.88,111.40,106.73,110.92,2255015
25-Apr-12,105.24,107.00,104.47,106.69,2228884
24-Apr-12,107.84,107.90,102.66,103.48,3163844
23-Apr-12,109.53,109.63,106.98,107.52,2121202
20-Apr-12,113.76,115.00,110.98,111.24,1798244
19-Apr-12,113.78,118.79,112.53,113.75,4713757
18-Apr-12,111.46,112.48,109.75,111.29,2888754
17-Apr-12,109.80,110.87,109.34,110.49,1138467
16-Apr-12,113.00,113.37,108.20,109.00,1520856
13-Apr-12,109.83,113.44,109.20,112.48,2215337
12-Apr-12,107.48,109.48,107.48,109.07,1430091
11-Apr-12,105.49,109.50,103.00,107.61,5475103
10-Apr-12,112.83,114.46,109.95,110.37,1256402
9-Apr-12,111.48,113.14,111.04,112.51,760537
5-Apr-12,112.23,113.95,111.77,113.75,942603
4-Apr-12,113.40,114.41,111.84,112.97,1268585
3-Apr-12,114.00,115.00,113.17,114.53,1373248
2-Apr-12,111.30,115.19,111.00,114.40,1883921
30-Mar-12,112.96,113.76,110.80,112.37,1484278
29-Mar-12,109.07,112.79,108.91,112.46,2131040
28-Mar-12,110.00,111.00,107.50,108.59,1654478
27-Mar-12,110.42,110.71,108.46,108.55,1132549
26-Mar-12,109.11,110.75,109.11,110.35,1181341
23-Mar-12,108.30,108.97,107.20,108.84,748807
22-Mar-12,108.12,109.53,107.80,108.66,1282920
21-Mar-12,106.97,109.95,106.88,109.45,1655774
