Date,Open,High,Low,Close,Volume
25-May-12,33.70,34.43,33.67,34.21,4025819
24-May-12,34.19,34.28,33.52,33.83,5888006
23-May-12,33.95,34.40,33.42,34.10,6328872
22-May-12,35.08,35.08,33.39,34.51,8172743
21-May-12,35.07,36.13,34.50,35.96,5100771
18-May-12,37.16,37.25,34.55,34.66,7983406
17-May-12,38.71,38.93,36.94,37.07,4295482
16-May-12,40.21,40.28,38.49,38.63,3736631
15-May-12,39.80,40.54,39.68,39.96,3571366
14-May-12,39.96,40.34,39.29,39.93,3147533
11-May-12,40.36,40.68,39.94,40.30,3920737
10-May-12,40.20,41.09,39.92,40.74,6700360
9-May-12,38.65,40.29,38.21,39.95,5988922
8-May-12,38.90,39.24,38.28,39.14,6199425
7-May-12,38.07,39.42,37.94,39.15,6687627
4-May-12,38.90,39.22,38.32,38.88,5691527
3-May-12,40.56,40.71,38.64,39.24,6340471
2-May-12,39.80,40.74,39.63,40.53,5740782
1-May-12,38.68,40.35,38.66,40.04,6594722
30-Apr-12,38.27,39.24,38.22,38.81,8268632
27-Apr-12,38.80,39.46,37.40,37.93,18451188
26-Apr-12,43.67,44.44,43.31,44.10,5599426
25-Apr-12,41.72,43.70,41.60,43.14,5820560
24-Apr-12,41.28,42.92,40.75,41.44,3303706
23-Apr-12,40.95,41.70,40.83,41.42,2631255
20-Apr-12,42.06,42.06,41.23,41.44,5390002
19-Apr-12,41.42,42.70,41.10,42.05,6825669
18-Apr-12,40.28,42.07,39.97,41.56,7585217
17-Apr-12,39.92,40.51,39.51,39.51,5178926
16-Apr-12,39.43,40.28,39.14,39.57,4336140
13-Apr-12,39.17,39.78,38.99,39.02,2741599
12-Apr-12,38.25,39.31,38.22,39.19,2768160
11-Apr-12,38.65,38.81,37.97,38.22,2565941
10-Apr-12,39.54,39.83,38.18,38.27,3894424
9-Apr-12,39.35,40.32,39.01,39.69,3667396
5-Apr-12,40.77,40.77,39.33,39.74,6521940
4-Apr-12,41.15,41.36,40.72,41.28,2736989
3-Apr-12,41.90,42.17,41.14,41.63,3018833
2-Apr-12,41.36,42.03,40.70,41.91,3887071
30-Mar-12,42.09,42.36,41.09,41.39,4052604
29-Mar-12,42.41,42.52,41.34,42.01,3199589
28-Mar-12,42.41,42.80,41.62,42.17,3466836
27-Mar-12,42.75,43.10,42.34,42.46,3178360
26-Mar-12,42.76,42.81,42.03,42.60,4458191
23-Mar-12,42.04,42.77,41.63,42.44,6032083
22-Mar-12,40.36,42.40,39.98,42.06,10889516
21-Mar-12,39.05,39.68,39.01,39.45,3374594
20-Mar-12,37.83,39.25,37.75,39.08,4313746
19-Mar-12,38.41,38.65,38.06,38.19,2691736
16-Mar-12,38.84,38.99,38.05,38.26,5279826
15-Mar-12,39.68,40.00,38.82,38.87,6144627
14-Mar-12,40.23,40.50,39.16,39.63,3645239
13-Mar-12,40.05,40.33,39.60,40.15,3181019
12-Mar-12,40.15,40.32,39.49,39.63,4026669
9-Mar-12,39.07,40.51,38.65,40.32,6801272
8-Mar-12,38.20,39.04,38.13,38.98,2894152
7-Mar-12,37.39,37.97,37.38,37.87,2538828
6-Mar-12,37.74,37.93,36.96,37.22,3065138
5-Mar-12,38.76,39.06,37.95,38.47,4476671
2-Mar-12,40.00,40.79,38.46,38.93,6287820
1-Mar-12,39.39,40.09,39.13,39.86,4016075
29-Feb-12,40.06,40.92,38.96,39.25,6331951
28-Feb-12,38.99,39.68,38.42,39.38,5181587
27-Feb-12,39.40,39.78,38.21,38.79,4271945
24-Feb-12,39.75,40.21,39.60,39.78,1378069
23-Feb-12,39.45,39.88,38.87,39.70,2147986
22-Feb-12,40.04,40.28,39.56,39.56,2003514
21-Feb-12,40.45,40.73,39.95,40.24,1818893
17-Feb-12,40.65,40.70,39.77,40.45,2771545
16-Feb-12,38.41,40.70,38.32,40.59,4573152
15-Feb-12,39.26,39.50,38.23,38.30,2625152
14-Feb-12,38.01,39.37,37.97,39.14,3060981
13-Feb-12,38.87,39.08,37.82,38.17,2994041
10-Feb-12,38.55,38.81,38.19,38.57,2825075
9-Feb-12,39.77,39.86,38.68,39.19,3000710
8-Feb-12,39.39,40.58,39.29,39.77,4710385
7-Feb-12,38.40,39.23,38.33,38.88,3003388
6-Feb-12,38.46,38.74,37.89,38.72,2389654
3-Feb-12,37.92,38.73,37.82,38.58,2329441
2-Feb-12,38.08,38.08,37.42,37.57,3396348
1-Feb-12,37.83,38.50,37.75,38.03,7320556
31-Jan-12,37.14,37.19,36.04,36.35,3492426
30-Jan-12,36.74,36.94,36.24,36.87,2129036
27-Jan-12,37.06,37.22,36.50,37.05,2779419
26-Jan-12,37.49,37.59,36.70,37.01,3211225
25-Jan-12,36.79,37.46,36.10,37.40,5239920
24-Jan-12,36.03,37.85,35.92,36.88,13129167
23-Jan-12,34.70,34.99,33.87,34.71,5108058
20-Jan-12,33.93,34.67,33.93,34.65,4677486
19-Jan-12,33.72,34.35,33.64,33.95,4243231
18-Jan-12,33.12,33.82,32.99,33.66,2986522
17-Jan-12,33.68,33.96,32.88,33.09,3520012
13-Jan-12,33.35,33.35,33.35,33.35,0
12-Jan-12,33.37,33.92,33.30,33.86,3560270
11-Jan-12,33.39,33.47,32.78,33.36,3448156
10-Jan-12,34.18,34.64,33.50,33.53,5062616
9-Jan-12,33.37,34.02,33.06,33.75,4427757
6-Jan-12,32.86,34.03,32.58,33.49,4514525
5-Jan-12,32.44,33.48,32.27,32.76,7084008
4-Jan-12,30.86,31.36,30.49,31.30,4370626
3-Jan-12,31.38,31.66,30.94,30.98,2761312
30-Dec-11,30.95,30.95,30.95,30.95,0
29-Dec-11,30.83,31.16,30.53,31.10,1447990
28-Dec-11,31.34,31.68,30.41,30.76,2444174
27-Dec-11,31.94,32.06,31.14,31.23,2502530
23-Dec-11,32.14,32.14,32.14,32.14,0
22-Dec-11,31.47,32.10,31.46,31.71,2216492
21-Dec-11,31.70,31.70,30.63,31.40,2510666
20-Dec-11,31.08,32.20,31.00,31.89,3020879
19-Dec-11,31.14,31.35,30.46,30.64,2229334
16-Dec-11,30.94,31.67,30.81,30.95,3949697
15-Dec-11,30.95,31.14,30.49,30.67,2423738
14-Dec-11,31.08,31.08,30.03,30.51,3340356
13-Dec-11,32.08,32.20,30.86,31.06,3346700
12-Dec-11,32.18,32.34,31.24,31.94,3819646
9-Dec-11,31.57,32.78,31.45,32.38,3182730
8-Dec-11,31.49,32.17,31.16,31.53,4883094
7-Dec-11,31.49,32.04,30.93,31.82,4235632
6-Dec-11,32.09,32.24,31.32,31.68,4453090
5-Dec-11,32.08,32.60,31.78,32.01,8272191
2-Dec-11,32.50,33.40,31.09,31.44,13343616
1-Dec-11,28.88,29.36,28.50,29.25,4622700
30-Nov-11,28.45,29.22,28.38,29.07,7198596
29-Nov-11,27.17,27.99,26.90,27.51,6093439
28-Nov-11,25.77,26.88,25.77,26.56,3790954
25-Nov-11,25.44,25.74,24.96,25.00,1595889
23-Nov-11,25.59,25.59,25.59,25.59,0
22-Nov-11,25.94,26.05,25.43,25.78,3645142
21-Nov-11,25.98,26.53,25.16,26.11,5188090
18-Nov-11,25.56,26.64,25.56,26.04,5636375
17-Nov-11,26.77,26.80,24.99,25.26,6998344
16-Nov-11,25.76,27.56,25.45,26.82,10541705
15-Nov-11,25.53,25.76,25.02,25.05,7368782
14-Nov-11,26.45,26.74,26.13,26.34,1826465
11-Nov-11,26.09,26.81,25.98,26.62,2733465
10-Nov-11,26.37,26.42,25.02,25.79,5448353
9-Nov-11,27.11,27.31,25.91,26.01,4635084
8-Nov-11,27.89,28.08,27.26,27.79,5848411
7-Nov-11,27.86,28.07,27.27,27.68,5752952
4-Nov-11,28.04,28.39,27.68,27.95,5066159
3-Nov-11,27.54,28.59,27.38,28.44,5686355
2-Nov-11,27.00,27.60,26.42,27.31,6718354
1-Nov-11,25.69,26.86,25.58,26.50,6657313
31-Oct-11,26.94,27.68,26.64,26.64,4426506
28-Oct-11,27.42,27.68,26.96,27.30,5785304
27-Oct-11,28.76,28.96,26.77,27.42,9339462
26-Oct-11,26.94,28.31,26.54,27.91,7399622
25-Oct-11,26.90,27.16,26.27,26.36,3771965
24-Oct-11,26.01,27.36,25.99,27.25,6528249
21-Oct-11,25.31,26.75,25.20,25.97,9147876
