Date,Open,High,Low,Close,Volume
15-Nov-12,17.91,18.10,17.30,17.75,996474
14-Nov-12,18.75,19.00,17.32,17.48,2445426
13-Nov-12,19.16,19.56,18.46,18.50,1044341
12-Nov-12,19.10,19.77,18.95,19.65,596540
9-Nov-12,19.31,19.60,18.78,18.87,592043
8-Nov-12,19.59,19.92,19.22,19.23,733885
7-Nov-12,19.73,20.15,19.63,19.82,616524
6-Nov-12,19.88,20.29,19.64,19.96,584864
5-Nov-12,19.92,20.30,19.65,20.03,568643
2-Nov-12,19.98,20.35,18.97,19.61,1424766
1-Nov-12,19.98,20.58,19.80,20.27,1258147
31-Oct-12,19.70,20.00,19.45,19.80,859097
26-Oct-12,20.32,20.74,19.64,19.87,695943
25-Oct-12,20.76,20.81,20.33,20.58,963869
24-Oct-12,20.17,20.75,20.06,20.31,1264077
23-Oct-12,19.22,20.00,19.02,19.87,652547
22-Oct-12,19.84,19.93,19.30,19.53,411495
19-Oct-12,20.33,20.55,19.39,19.60,1100258
18-Oct-12,20.60,20.85,20.07,20.42,735956
17-Oct-12,20.82,20.86,20.39,20.64,736874
16-Oct-12,20.05,20.99,19.96,20.94,1696108
15-Oct-12,19.99,20.38,19.70,20.02,483614
12-Oct-12,20.01,20.22,19.72,19.95,630029
11-Oct-12,19.33,20.09,19.02,19.98,1217968
10-Oct-12,19.31,19.31,18.68,19.07,870748
9-Oct-12,19.45,19.72,18.80,19.16,1107132
8-Oct-12,19.86,19.97,19.21,19.52,1022657
5-Oct-12,19.75,20.06,19.49,19.72,1052254
4-Oct-12,18.96,19.60,18.71,19.53,1472688
3-Oct-12,19.10,19.17,18.63,18.88,1486449
2-Oct-12,18.90,19.09,18.37,19.09,833525
1-Oct-12,18.67,18.92,18.35,18.70,972782
28-Sep-12,18.12,18.60,18.02,18.39,667188
27-Sep-12,17.36,18.56,17.31,18.33,2518514
26-Sep-12,17.26,17.91,17.00,17.56,2122676
25-Sep-12,18.22,18.40,17.48,17.54,1216576
24-Sep-12,18.34,18.88,18.12,18.18,1253073
21-Sep-12,18.81,18.94,18.37,18.57,1787437
20-Sep-12,18.53,18.76,18.25,18.57,1629117
19-Sep-12,19.60,19.68,18.57,18.88,2289610
18-Sep-12,19.05,20.08,18.97,19.32,4861424
17-Sep-12,20.85,20.95,18.74,18.76,3306954
14-Sep-12,19.71,21.15,19.71,20.89,4331927
13-Sep-12,18.41,19.60,18.07,19.47,2144880
12-Sep-12,18.89,19.17,18.41,18.79,2563610
11-Sep-12,17.41,18.07,17.36,17.85,856629
10-Sep-12,17.56,17.80,17.10,17.29,952574
7-Sep-12,16.86,18.09,16.76,17.84,2018589
6-Sep-12,16.10,16.86,15.83,16.73,1224427
5-Sep-12,16.17,16.30,15.90,16.00,960705
4-Sep-12,16.65,16.91,15.85,16.32,1766130
31-Aug-12,17.16,17.25,16.69,16.79,1003282
30-Aug-12,17.35,17.48,16.93,16.99,922306
29-Aug-12,17.29,17.51,17.25,17.46,827816
28-Aug-12,17.55,17.97,17.29,17.30,714421
27-Aug-12,18.07,18.24,17.53,17.71,1328388
24-Aug-12,17.75,18.37,17.60,18.24,1387114
23-Aug-12,17.73,17.94,17.56,17.78,1032484
22-Aug-12,17.64,17.91,17.41,17.61,770687
21-Aug-12,18.39,18.42,17.60,17.60,1334216
20-Aug-12,18.60,18.65,18.03,18.08,845531
17-Aug-12,18.35,18.54,18.20,18.52,82710
16-Aug-12,18.18,19.33,18.13,18.23,413563
15-Aug-12,17.51,18.16,17.47,18.03,111226
14-Aug-12,18.34,18.68,17.42,17.62,274217
13-Aug-12,18.50,18.75,17.81,18.19,187250
10-Aug-12,18.16,19.37,18.08,18.54,1160617
9-Aug-12,18.59,18.75,18.12,18.51,136273
8-Aug-12,18.49,18.82,17.89,18.32,161212
7-Aug-12,18.17,18.91,18.05,18.89,1354405
6-Aug-12,17.88,18.28,16.81,17.98,397968
3-Aug-12,16.20,16.80,15.84,16.37,209170
2-Aug-12,16.40,16.49,15.46,15.71,1365071
1-Aug-12,17.20,17.20,16.40,16.42,1092625
31-Jul-12,16.93,17.34,16.40,17.01,1432791
30-Jul-12,18.00,18.00,16.50,16.90,1519748
27-Jul-12,16.89,18.02,16.60,18.00,921718
26-Jul-12,16.84,17.19,16.34,16.72,550076
25-Jul-12,17.02,17.23,16.58,16.65,464652
24-Jul-12,17.06,17.29,16.55,17.02,959112
23-Jul-12,16.65,16.84,16.27,16.70,690953
20-Jul-12,17.13,17.56,17.02,17.25,598685
19-Jul-12,17.33,18.28,17.28,17.50,1967207
18-Jul-12,16.03,17.29,16.00,17.21,3574384
17-Jul-12,17.95,17.99,16.00,16.03,3545565
16-Jul-12,18.50,18.85,17.71,18.01,761214
13-Jul-12,18.69,19.50,18.50,18.92,1305938
12-Jul-12,17.65,18.84,17.48,18.50,2014281
11-Jul-12,19.06,19.07,17.22,18.21,3575428
10-Jul-12,20.35,20.44,18.81,19.07,1497710
9-Jul-12,20.92,21.29,20.00,20.09,1051106
6-Jul-12,20.25,20.79,20.01,20.29,740390
5-Jul-12,20.58,20.99,20.28,20.54,1324403
3-Jul-12,20.51,20.94,20.29,20.82,820521
2-Jul-12,21.49,21.59,20.18,20.18,1991469
29-Jun-12,21.54,21.93,21.02,21.68,866413
28-Jun-12,21.62,22.18,20.65,20.96,1347718
27-Jun-12,21.45,22.26,21.27,21.92,2117601
26-Jun-12,21.00,21.63,20.96,21.37,1535637
25-Jun-12,22.30,22.39,20.86,21.00,1610210
22-Jun-12,23.19,23.41,22.18,22.55,1056903
21-Jun-12,24.04,24.26,23.02,23.05,1583865
20-Jun-12,24.08,24.53,23.86,24.06,1355467
19-Jun-12,24.28,24.48,24.02,24.31,832105
18-Jun-12,24.01,24.63,23.75,24.17,1030255
15-Jun-12,23.93,24.41,23.74,24.37,1106945
14-Jun-12,25.58,25.58,23.63,23.89,1971618
13-Jun-12,24.31,25.54,24.25,25.54,1516134
12-Jun-12,24.31,24.31,23.59,24.12,703936
11-Jun-12,23.99,24.15,23.51,23.73,694462
8-Jun-12,23.37,23.82,23.01,23.72,584022
7-Jun-12,24.07,24.39,23.21,23.72,915956
6-Jun-12,23.34,23.72,23.15,23.57,1082529
5-Jun-12,22.92,23.77,22.86,23.10,889887
4-Jun-12,21.87,23.16,21.71,23.00,1089113
1-Jun-12,23.01,23.24,21.88,21.89,1684734
